"ID50(locs), created by Plot Digitizer, 2.6.11"
"Date: 19/07/2024, 19:24:04"


27
locs,ID50
196.878,10.2058,
210.859,13.7482,
203.754,68.6264,
196.746,77.8555,
187.718,118.761,
191.704,146.825,
199.710,135.032,
206.710,135.142,
219.715,124.360,
212.691,181.879,
208.666,266.096,
197.663,277.246,
216.649,343.359,
211.635,424.049,
206.616,569.970,
195.633,441.560,
190.644,372.563,
187.586,905.974,
196.608,646.395,
202.572,1121.49,
221.591,835.737,
214.591,835.055,
215.611,620.978,
210.611,620.616,
203.613,594.408,
200.622,523.335,
202.525,2303.18,
