"ID50(locs), created by Plot Digitizer, 2.6.11"
"Date: 19/07/2024, 19:28:27"


27
locs,ID50
278.966,2.65894,
264.960,2.88913,
271.820,25.0447,
258.784,43.3562,
284.781,45.3682,
288.745,78.6953,
279.748,75.3544,
269.759,63.5427,
262.759,63.4908,
256.751,72.0377,
263.740,85.3986,
265.720,114.879,
277.718,120.014,
283.707,142.257,
276.696,168.367,
264.685,199.152,
259.698,161.069,
281.673,236.365,
288.660,292.320,
256.646,359.881,
255.616,573.236,
266.605,679.873,
277.607,652.530,
289.605,681.699,
263.547,1653.27,
278.536,1961.73,
281.530,2135.80,
