,Day since infection,"Proba Neut Min
 vs. Wuhan-Hu-1 antigen","Proba Neut Max
 vs. Wuhan-Hu-1 antigen"
0,1,0.398102682258491,0.7032623977352848
1,2,0.6108276773417339,0.867724059498306
2,3,0.7335330605986308,0.924938152477977
3,4,0.8087588668964591,0.950111777496389
4,5,0.8572270169126208,0.9630029398107582
5,6,0.8897713348906401,0.9703132607365895
6,7,0.9123961474172092,0.9747540272292111
7,8,0.928596379373135,0.9775737997158468
8,9,0.9404932286348172,0.9794075912332522
9,10,0.9494215162195235,0.9806048132372329
10,11,0.9562481366115624,0.9813704252791479
11,12,0.9615519423955472,0.9818311973010927
12,13,0.965729079647716,0.9820691098341023
13,14,0.9690566659717652,0.982139219803468
14,15,0.9717323950605959,0.9820797110191145
15,16,0.9738998051998584,0.9820222539098878
16,17,0.9756647767224451,0.9821270507442438
17,18,0.9771065304632994,0.982127769514552
18,19,0.9782851011940875,0.9820418367800893
19,20,0.9789960249843759,0.9821009746485415
20,21,0.9779619478838647,0.982139219803468
21,22,0.9767950317638732,0.9821044593794643
22,23,0.9754954328018337,0.9820696420180199
23,24,0.9740622347608192,0.982131802117469
24,25,0.9724937168046687,0.9821320844900151
25,26,0.9707875572794106,0.9820773031638059
26,27,0.9689409918597951,0.982114545680131
27,28,0.9669509386653158,0.982139219803468
28,29,0.9648140991039182,0.9821160964286979
29,30,0.9625270406080162,0.9820494375526296
30,31,0.9600862656526865,0.981942812252658
31,32,0.9574882702147975,0.9817992221618557
32,33,0.9547295939668476,0.9816212013168657
33,34,0.9518068638843039,0.9814108961692998
34,35,0.9487168325031202,0.9811701301248024
35,36,0.9454564117430437,0.9809004559261421
36,37,0.9420227029770385,0.9806031984202794
37,38,0.9384130238533683,0.9802794896692367
38,39,0.934624932247733,0.9799302979276732
39,40,0.9306562476264734,0.9795564516785333
40,41,0.9265050700298247,0.9791586596647424
41,42,0.9221697968304741,0.97873752765993
42,43,0.9176491373828759,0.9782935725701374
43,44,0.9129421256496879,0.9778272343407408
44,45,0.90804813087091,0.9773388860505368
45,46,0.9029668663270475,0.9768288425021434
46,47,0.8976983962384765,0.9762973675601736
47,48,0.8922431408381025,0.975744680442628
48,49,0.8866018796525093,0.9751709611341155
49,50,0.8807757530273954,0.9745763550598378
50,51,0.8747662619356437,0.9739609771352851
51,52,0.8685752661103601,0.9733249152871027
52,53,0.8622049805502876,0.9726682335246785
53,54,0.8556579704507742,0.9719909746289804
54,55,0.8489371446196837,0.9712931625144514
55,56,0.8420457474440204,0.9705748043109227
56,57,0.8349873494793739,0.9698358922051737
57,58,0.8277658367404158,0.9690764050756695
58,59,0.8203853987764074,0.9682963099489184
59,60,0.812850515620911,0.9674955633016364
60,61,0.8051659437095109,0.9666741122293254
61,62,0.7973367008632662,0.965831895498868
62,63,0.7893680504387888,0.9649688445001947
63,64,0.7812654847481957,0.9640848841099339
64,65,0.7730347078537427,0.9631799334781231
65,66,0.764681617842655,0.9622539067475154
66,67,0.7562122886875711,0.9613067137136834
67,68,0.7476329517971172,0.9603382604330005
68,69,0.7389499773594528,0.9593484497846092
69,70,0.7301698555792386,0.9583371819916545
70,71,0.7212991779054041,0.9573043551063553
71,72,0.7123446183433992,0.9562498654628688
72,73,0.7033129149413772,0.95517360810138
73,74,0.6942108515350061,0.9540754771663903
74,75,0.6850452398304607,0.952955366281792
75,76,0.6758229018996267,0.9518131689049706
76,77,0.6665506531557593,0.9506487786618895
77,78,0.6572352858718327,0.9494620896648518
78,79,0.6478835532976545,0.9482529968144213
79,80,0.6385021544255975,0.9470213960867848
80,81,0.6290977194485259,0.9457671848076818
81,82,0.6196767959472781,0.9444902619138779
82,83,0.6102458358389384,0.943190528203034
83,84,0.6008111831111149,0.9418678865727192
84,85,0.591379062361634,0.9405222422492155
85,86,0.5819555681574508,0.9391535030066847
86,87,0.5725466552212217,0.9377615793771955
87,88,0.5631581294489099,0.9363463848520468
88,89,0.5537956397570103,0.9349078360747692
89,90,0.544464670753543,0.9334458530261419
90,91,0.5351705362228036,0.9319603592015193
91,92,0.52591837341011,0.9304512817807286
92,93,0.516713138089323,0.9289185517907684
93,94,0.5075596003928284,0.9273621042615116
94,95,0.4984623413809348,0.9257818783745944
95,96,0.48942575032521496,0.924177817605652
96,97,0.4804540226782673,0.9225498698600471
97,98,0.47155115870059383,0.9208979876022185
98,99,0.4627209627138783,0.9192221279787709
99,100,0.4539670429487743,0.91752225293541
100,101,0.44529281195446424,0.9157983293278227
101,102,0.4367014875366365,0.9140503290265919
102,103,0.42819609419017357,0.9122782290162298
103,104,0.4197794649927187,0.9104820114884097
104,105,0.41145424392536223,0.9086616639294688
105,106,0.40322288858696487,0.9068171792022537
106,107,0.39508767326908967,0.9049485556223766
107,108,0.3870506923591007,0.9030557970289474
108,109,0.37911386403973746,0.9011389128498462
109,110,0.3712789342543369,0.8991979181615978
110,111,0.36354748090782607,0.8972328337439128
111,112,0.35592091827468464,0.8952436861289537
112,113,0.3484005015861812,0.8932305076453897
113,114,0.340987331770394,0.8911933364573023
114,115,0.33368236031975185,0.8891322165980015
115,116,0.32648639426210413,0.887047197998818
116,117,0.3194001012126241,0.8849383365129342
117,118,0.3124240144851478,0.8828056939343172
118,119,0.3055585382428766,0.8806493380118222
119,120,0.298803952669655,0.878469342458531
120,121,0.29216041914435,0.8762657869563945
121,122,0.285627985402119,0.874038757156249
122,123,0.27920659066760145,0.8717883446732779
123,124,0.2728960707462973,0.8695146470779891
124,125,0.26669616306156674,0.8672177678827842
125,126,0.2606065116258407,0.864897816524194
126,127,0.2546266719357302,0.8625549083408579
127,128,0.24875611578178092,0.8601891645473243
128,129,0.24299423596463698,0.8578007122037532
129,130,0.23734035091034145,0.855389684181603
130,131,0.23179370917841613,0.8529562191253814
131,132,0.22635349385723835,0.8505004614105489
132,133,0.22101882684204643,0.848022561097658
133,134,0.2157887729916772,0.8455226738828148
134,135,0.21066234416086327,0.8430009610445546
135,136,0.2056385031055893,0.8404575893872159
136,137,0.2007161672596358,0.8378927311809102
137,138,0.19589421238102234,0.8353065640981724
138,139,0.19117147606759255,0.8326992711473917
139,140,0.18654676114149116,0.8300710406031123
140,141,0.18201883890271964,0.8274220659333003
141,142,0.17758645225238534,0.8247525457236736
142,143,0.1732483186866297,0.8220626835991907
143,144,0.1690031331625529,0.8193526881427946
144,145,0.1648495708377734,0.8166227728115134
145,146,0.160786289685514,0.8138731558500105
146,147,0.15681193298736362,0.8111040602016899
147,148,0.15292513170607047,0.8083157134174503
148,149,0.14912450674090127,0.8055083475621927
149,150,0.14540867106826816,0.8026821991191764
150,151,0.1417762317704664,0.7998375088923286
151,152,0.13822579195545748,0.7969745219066047
152,153,0.13475595257075001,0.7940934873064991
153,154,0.13136531411449237,0.7911946582528101
154,155,0.12805247824694255,0.788278291817754
155,156,0.12481604930553547,0.7853446488785323
156,157,0.12165463572677337,0.7823939940094482
157,158,0.11856685137820011,0.7794265953726738
158,159,0.11555131680369657,0.7764427246077636
159,160,0.11260666038533707,0.7734426567200159
160,161,0.10973151942502435,0.7704266699677739
161,162,0.10692454114907535,0.7673950457487684
162,163,0.10418438363891802,0.7643480684855946
163,164,0.10150971669098408,0.7612860255104167
164,165,0.09889922260884965,0.7582092069489982
165,166,0.09635159693061623,0.7551179056041456
166,167,0.09386554909445011,0.7520124168386604
167,168,0.09143980304515087,0.7488930384578897
