,Day since infection,"Proba Neut Min
 vs. B2.A antigen","Proba Neut Max
 vs. B2.A antigen","Proba Neut Min
 vs. D antigen","Proba Neut Max
 vs. D antigen"
0,1,0.31994911689887395,0.6039632981440186,0.7455283240519273,0.9524950116975849
1,2,0.512462881321434,0.7877990184079019,0.9116980630352216,0.9915225297114333
2,3,0.6353919186194402,0.8636116780767964,0.9626066242508151,0.9972541920498315
3,4,0.7176539128795509,0.9010690064505951,0.9817534071018017,0.9987434733870276
4,5,0.7748370368337458,0.9218829934360313,0.9900871032642928,0.9992809146883873
5,6,0.8158602173665355,0.934399102323146,0.9941380119137675,0.9995200370022155
6,7,0.8460807091578093,0.942332268675065,0.9962859104272065,0.9996423625230948
7,8,0.8688497649642323,0.9475273130572699,0.9975077439334117,0.9997110643037541
8,9,0.8863374596300199,0.9509816635190732,0.9982443172699829,0.9997520011824111
9,10,0.8999915301327269,0.9532726340184152,0.9987104738909955,0.99977713331457
10,11,0.910803280475818,0.9547535938632304,0.9990178823985122,0.9997925435985908
11,12,0.9194672250827037,0.9556511657105506,0.999227837294368,0.9998015689145511
12,13,0.9264799482628736,0.9561165169817054,0.9993755963790213,0.9998061556308554
13,14,0.9322030215223828,0.9562539018257411,0.9994822823855726,0.9998074977435454
14,15,0.9369040352214143,0.9561372832793907,0.9995610084747751,0.9998063588476481
15,16,0.9407839503795984,0.9560247639487752,0.9996201748559783,0.9998052562486713
16,17,0.943995696229776,0.9562300475370159,0.9996653141951062,0.9998072651031497
17,18,0.946657045131746,0.9562314564034946,0.9997001614149035,0.9998072788477829
18,19,0.9488596735165231,0.9560631047957588,0.9997272935661471,0.9998056323705384
19,20,0.9502007942160027,0.9561789437971906,0.9997430705044585,0.999806766156233
20,21,0.9482532121231876,0.9562539018257411,0.999719975431662,0.9998074977435454
21,22,0.9460790347178415,0.9561857722248668,0.9996927867941166,0.9998068328687741
22,23,0.9436853873900544,0.9561175593959056,0.9996611015905539,0.9998061658347903
23,24,0.9410774988176966,0.9562393609601125,0.9996244430516507,0.9998073559524753
24,25,0.9382591993793952,0.9562399144704528,0.9995822603749386,0.9998073613509928
25,26,0.9352332969674805,0.9561325663836311,0.9995339269061283,0.999806312699576
26,27,0.9320018637294423,0.956205538216163,0.9994787372092102,0.9998070259029134
27,28,0.9285664571635917,0.9562539018257411,0.9994159033255833,0.9998074977435454
28,29,0.9249282921737092,0.9562085774092378,0.999344550434003,0.9998070555735543
29,30,0.9210883760127165,0.9560779885810169,0.9992637120675525,0.9998057782648657
30,31,0.9170476147960823,0.955869318488063,0.999172325008793,0.9998037269642056
31,32,0.9128068979769437,0.9555887228337852,0.9990692239622906,0.9998009486555759
32,33,0.9083671655424443,0.9552415015415073,0.9989531360901835,0.9997974788785784
33,34,0.903729461512513,0.9548322379551488,0.9988226754884459,0.9997933438209214
