,Day since infection,"Proba Neut Min
 vs. Lineage 1 antigen","Proba Neut Max
 vs. Lineage 1 antigen","Proba Neut Min
 vs. Lineage 2 antigen","Proba Neut Max
 vs. Lineage 2 antigen"
0,1,0.7455283240519273,0.9524950116975849,0.7455283240519273,0.9524950116975849
1,2,0.9116980630352216,0.9915225297114333,0.9116980630352216,0.9915225297114333
2,3,0.9626066242508151,0.9972541920498315,0.9626066242508151,0.9972541920498315
3,4,0.9817534071018017,0.9987434733870276,0.9817534071018017,0.9987434733870276
4,5,0.9900871032642928,0.9992809146883873,0.9900871032642928,0.9992809146883873
5,6,0.9941380119137675,0.9995200370022155,0.9941380119137675,0.9995200370022155
6,7,0.9962859104272065,0.9996423625230948,0.9962859104272065,0.9996423625230948
7,8,0.9975077439334117,0.9997110643037541,0.9975077439334117,0.9997110643037541
8,9,0.9982443172699829,0.9997520011824111,0.9982443172699829,0.9997520011824111
9,10,0.9987104738909955,0.99977713331457,0.9987104738909955,0.99977713331457
10,11,0.9990178823985122,0.9997925435985908,0.9990178823985122,0.9997925435985908
11,12,0.999227837294368,0.9998015689145511,0.999227837294368,0.9998015689145511
12,13,0.9993755963790213,0.9998061556308554,0.9993755963790213,0.9998061556308554
13,14,0.9994822823855726,0.9998074977435454,0.9994822823855726,0.9998074977435454
14,15,0.9995610084747751,0.9998063588476481,0.9995610084747751,0.9998063588476481
15,16,0.9996201748559783,0.9998052562486713,0.9996201748559783,0.9998052562486713
16,17,0.9996653141951062,0.9998072651031497,0.9996653141951062,0.9998072651031497
17,18,0.9997001614149035,0.9998072788477829,0.9997001614149035,0.9998072788477829
18,19,0.9997272935661471,0.9998056323705384,0.9997272935661471,0.9998056323705384
19,20,0.9997430705044585,0.999806766156233,0.9997430705044585,0.999806766156233
20,21,0.999719975431662,0.9998074977435454,0.999719975431662,0.9998074977435454
21,22,0.9996927867941166,0.9998068328687741,0.9996927867941166,0.9998068328687741
22,23,0.9996611015905539,0.9998061658347903,0.9996611015905539,0.9998061658347903
23,24,0.9996244430516507,0.9998073559524753,0.9996244430516507,0.9998073559524753
24,25,0.9995822603749386,0.9998073613509928,0.9995822603749386,0.9998073613509928
25,26,0.9995339269061283,0.999806312699576,0.9995339269061283,0.999806312699576
26,27,0.9994787372092102,0.9998070259029134,0.9994787372092102,0.9998070259029134
27,28,0.9994159033255833,0.9998074977435454,0.9994159033255833,0.9998074977435454
28,29,0.999344550434003,0.9998070555735543,0.999344550434003,0.9998070555735543
29,30,0.9992637120675525,0.9998057782648657,0.9992637120675525,0.9998057782648657
30,31,0.999172325008793,0.9998037269642056,0.999172325008793,0.9998037269642056
31,32,0.9990692239622906,0.9998009486555759,0.9990692239622906,0.9998009486555759
32,33,0.9989531360901835,0.9997974788785784,0.9989531360901835,0.9997974788785784
33,34,0.9988226754884459,0.9997933438209214,0.9988226754884459,0.9997933438209214
34,35,0.9986763376770844,0.9997885619422244,0.9986763376770844,0.9997885619422244
