,date,Spike. A,Spike. AP.1,Spike. AY.10,Spike. AY.105,Spike. AY.109,Spike. AY.4.2,Spike. AZ.1,Spike. B.1.1.144,Spike. B.1.1.234,Spike. B.1.1.3,Spike. B.1.143,Spike. B.1.177.10,Spike. B.1.177,Spike. B.1.351,Spike. B.1.36.23,Spike. B.1.617.1,Spike. B.1.77,Spike. BA.1.1,Spike. BA.1,Spike. C.30,Wuhan-Hu-1
0,2020-04-01,99.21874999880926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22321428999732118,0.5580357099933029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2020-04-02,99.62406015095335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3759398529511552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-04-03,99.0643274851268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9356725153739821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-04-04,99.32065217099334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6793478300067944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-04-05,97.6973684208793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4934210500044409,1.8092105300162835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-04-06,98.3766233774083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.432900430125609,1.1904761928670697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-04-07,98.22485207541348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4733727822925751,1.3017751513045817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-04-08,97.94933654911839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12062725999891426,1.9300361899826282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-04-09,96.55172414096552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0057471300100576,2.4425287400244255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-04-10,97.8436657731874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40431267241515584,1.7520215671143726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-04-11,96.82274247806262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6688963183412636,2.5083612012922805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-04-12,98.38709677078732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17921147000143411,1.433691760011473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
