lineages_l,number_genomes_per_lineage
A,68
A.1,24
A.11,1
A.12,1
A.2,83
A.2.2,3
A.2.3,205
A.2.4,1
A.2.5,3
A.2.5.1,4
A.2.5.2,2
A.21,4
A.23.1,182
A.25,7
A.26,13
A.27,21
A.28,6
A.29,90
A.3,1
A.5,68
AA.1,9
AA.2,130
AA.3,37
AA.4,111
AA.5,62
AA.6,61
AA.7,109
AA.8,45
AC.1,25
AD.2,4324
AE.1,4
AE.5,1
AH.3,7
AK.1,78
AM.1,1
AM.2,1
AM.3,30
AN.1,1
AP.1,626
AS.1,83
AS.2,61
AT.1,1
AV.1,155
AY.1,67
AY.10,1138
AY.100,432
AY.101,43
AY.102,274
AY.103,685
AY.103.1,2
AY.104,53
AY.105,25
AY.106,57
AY.107,147
AY.108,82
AY.109,997
AY.11,666
AY.110,74
AY.111,6257
AY.112,970
AY.112.1,2
AY.112.2,22
AY.113,50
AY.114,16
AY.116,46
AY.116.1,7
AY.117,29
AY.118,102
AY.119,140
AY.119.1,2
AY.119.2,16
AY.12,10
AY.120,26161
AY.120.1,68
AY.120.2,54
AY.120.2.1,46
AY.121,1704
AY.121.1,287
AY.122,9448
AY.122.1,5
AY.122.2,32
AY.122.4,1
AY.122.6,19
AY.123,36
AY.123.1,9
AY.124,730
AY.124.1,20
AY.124.1.1,36
AY.125,1005
AY.126,2056
AY.127,3338
AY.127.1,10
AY.128,51
AY.129,406
AY.13,3
AY.131,15
AY.132,5
AY.133,31
AY.134,25
AY.14,27
AY.16,29
AY.16.1,3
AY.17,190
AY.19,1
AY.20,167
AY.20.1,10
AY.22,17
AY.23,71
AY.23.1,4
AY.23.2,4
AY.24,29
AY.25,364
AY.25.1,577
AY.25.1.2,6
AY.25.2,1
AY.25.3,6
AY.26,103
AY.27,15
AY.28,13
AY.29,18
AY.29.1,5
AY.3,1689
AY.3.1,6
AY.3.3,2
AY.30,23
AY.31,1
AY.32,18
AY.33,877
AY.33.1,11
AY.33.2,21
AY.34,2146
AY.34.1,1649
AY.34.2,279
AY.35,10
AY.36,3140
AY.36.1,247
AY.37,27
AY.38,25
AY.39,2946
AY.39.1,46
AY.39.1.2,3
AY.39.1.4,89
AY.39.2,2
AY.4,715819
AY.4.1,410
AY.4.10,433
AY.4.11,711
AY.4.12,349
AY.4.13,166
AY.4.14,223
AY.4.15,383
AY.4.16,6
AY.4.17,20
AY.4.2,75252
AY.4.2.1,16856
AY.4.2.2,27605
AY.4.2.3,1527
AY.4.2.4,2
AY.4.2.5,770
AY.4.3,223
AY.4.4,384
AY.4.5,1193
AY.4.6,213
AY.4.7,84
AY.4.8,4199
AY.4.9,481
AY.40,2
AY.41,66
AY.42,988
AY.43,35111
AY.43.3,38
AY.43.4,9
AY.43.5,1
AY.43.6,70
AY.43.8,104
AY.43.9,8
AY.44,356
AY.45,241
AY.46,1279
AY.46.1,2
AY.46.2,71
AY.46.3,3
AY.46.4,23
AY.46.5,11263
AY.46.6,747
AY.46.6.1,2
AY.47,201
AY.48,2
AY.5,41012
AY.5.1,6
AY.5.2,13
AY.5.3,17
AY.5.4,178
AY.5.5,102
AY.5.6,3
AY.50,38
AY.51,40
AY.52,1
AY.53,100
AY.54,58
AY.55,4
AY.56,1
AY.57,8
AY.58,447
AY.59,12
AY.6,24174
AY.60,64
AY.61,22
AY.63,2
AY.65,36
AY.66,11
AY.68,13
AY.69,4
AY.7,5025
AY.7.1,80
AY.7.2,136
AY.70,116
AY.71,39
AY.72,21
AY.73,49
AY.74,34
AY.75,100
AY.75.2,3
AY.76,9
AY.77,41
AY.78,23
AY.79,3
AY.8,1625
AY.80,53
AY.81,4
AY.82,5
AY.83,28
AY.84,35
AY.85,28
AY.86,23
AY.87,899
AY.88,195
AY.9,11827
AY.9.2,3897
AY.9.2.2,1
AY.90,1808
AY.91,89
AY.91.1,1
AY.92,126
AY.93,4
AY.94,152
AY.95,17
AY.98,39135
AY.98.1,1386
AY.98.1.1,27
AY.99,110
AY.99.1,2
AY.99.2,8
AZ.1,1
AZ.2,10
AZ.4,50
AZ.5,20
B,1946
B.1,8277
B.1.1,13832
B.1.1.1,1587
B.1.1.10,463
B.1.1.101,1
B.1.1.107,31
B.1.1.109,24
B.1.1.111,2
B.1.1.114,15
B.1.1.115,112
B.1.1.117,2
B.1.1.119,29
B.1.1.12,120
B.1.1.120,30
B.1.1.121,4
B.1.1.122,1
B.1.1.123,55
B.1.1.125,98
B.1.1.128,1
B.1.1.129,1
B.1.1.13,20
B.1.1.130,65
B.1.1.132,1
B.1.1.133,18
B.1.1.134,73
B.1.1.135,1
B.1.1.136,1
B.1.1.137,72
B.1.1.138,164
B.1.1.14,58
B.1.1.141,3
B.1.1.142,6
B.1.1.144,3
B.1.1.145,21
B.1.1.147,12
B.1.1.148,1
B.1.1.149,61
B.1.1.15,63
B.1.1.153,46
B.1.1.154,25
B.1.1.155,14
B.1.1.159,12
B.1.1.16,11
B.1.1.160,10
B.1.1.161,10
B.1.1.162,3
B.1.1.163,2
B.1.1.164,175
B.1.1.165,65
B.1.1.166,27
B.1.1.168,30
B.1.1.170,96
B.1.1.171,241
B.1.1.174,7
B.1.1.178,24
B.1.1.182,6
B.1.1.187,14
B.1.1.189,90
B.1.1.190,17
B.1.1.192,7
B.1.1.193,11
B.1.1.194,95
B.1.1.196,170
B.1.1.197,26
B.1.1.198,473
B.1.1.200,119
B.1.1.201,2
B.1.1.203,22
B.1.1.204,86
B.1.1.208,77
B.1.1.209,26
B.1.1.213,47
B.1.1.216,46
B.1.1.217,267
B.1.1.218,45
B.1.1.219,9
B.1.1.220,224
B.1.1.221,1
B.1.1.222,3
B.1.1.227,230
B.1.1.228,1
B.1.1.232,20
B.1.1.234,44
B.1.1.236,98
B.1.1.237,175
B.1.1.240,202
B.1.1.241,66
B.1.1.242,1
B.1.1.243,15
B.1.1.249,14
B.1.1.25,86
B.1.1.253,387
B.1.1.254,11
B.1.1.255,318
B.1.1.256,75
B.1.1.257,66
B.1.1.262,48
B.1.1.263,5
B.1.1.266,17
B.1.1.269,176
B.1.1.27,1
B.1.1.270,97
B.1.1.272,14
B.1.1.274,86
B.1.1.275,5
B.1.1.277,225
B.1.1.279,896
B.1.1.28,30
B.1.1.280,5
B.1.1.286,342
B.1.1.288,7
B.1.1.289,480
B.1.1.29,97
B.1.1.291,2
B.1.1.294,122
B.1.1.296,52
B.1.1.297,2
B.1.1.298,1
B.1.1.299,79
B.1.1.3,110
B.1.1.300,90
B.1.1.301,815
B.1.1.302,21
B.1.1.303,358
B.1.1.304,1
B.1.1.305,100
B.1.1.306,38
B.1.1.307,2129
B.1.1.308,83
B.1.1.309,159
B.1.1.310,66
B.1.1.311,2698
B.1.1.312,1
B.1.1.315,30
B.1.1.317,42
B.1.1.318,308
B.1.1.319,1
B.1.1.323,36
B.1.1.325,2
B.1.1.326,3
B.1.1.329,3
B.1.1.33,15
B.1.1.333,1
B.1.1.339,10
B.1.1.34,1
B.1.1.341,15
B.1.1.347,5
B.1.1.348,3
B.1.1.349,5
B.1.1.351,20
B.1.1.352,1
B.1.1.353,4
B.1.1.354,11
B.1.1.355,49
B.1.1.360,33
B.1.1.361,21
B.1.1.363,164
B.1.1.364,4
B.1.1.365,177
B.1.1.366,1
B.1.1.369,2172
B.1.1.37,4857
B.1.1.370,2
B.1.1.371,27
B.1.1.372,1223
B.1.1.373,2
B.1.1.374,2
B.1.1.375,6
B.1.1.378,40
B.1.1.379,31
B.1.1.38,16
B.1.1.380,2
B.1.1.39,81
B.1.1.391,1
B.1.1.392,1
B.1.1.395,18
B.1.1.397,4
B.1.1.398,3
B.1.1.4,333
B.1.1.406,85
B.1.1.408,18
B.1.1.409,32
B.1.1.41,156
B.1.1.410,2
B.1.1.411,1
B.1.1.413,33
B.1.1.417,1
B.1.1.419,87
B.1.1.420,27
B.1.1.421,4
B.1.1.425,8
B.1.1.43,66
B.1.1.433,12
B.1.1.434,147
B.1.1.438,1
B.1.1.44,317
B.1.1.442,2
B.1.1.447,1
B.1.1.45,59
B.1.1.46,19
B.1.1.462,2
B.1.1.47,9
B.1.1.48,3
B.1.1.482,4
B.1.1.485,1
B.1.1.487,44
B.1.1.49,57
B.1.1.5,26
B.1.1.50,56
B.1.1.500,4
B.1.1.51,566
B.1.1.519,22
B.1.1.521,18
B.1.1.523,13
B.1.1.525,4
B.1.1.529,52
B.1.1.54,3
B.1.1.55,74
B.1.1.58,4
B.1.1.59,151
B.1.1.63,3
B.1.1.67,214
B.1.1.7,266845
B.1.1.70,140
B.1.1.71,24
B.1.1.74,227
B.1.1.75,1
B.1.1.8,188
B.1.1.82,25
B.1.1.83,310
B.1.1.84,2
B.1.1.86,26
B.1.1.88,1
B.1.1.89,130
B.1.1.92,30
B.1.1.95,42
B.1.1.97,34
B.1.1.99,2
B.1.104,206
B.1.105,99
B.1.110.2,6
B.1.110.3,2
B.1.111,12
B.1.115,11
B.1.117,77
B.1.12,33
B.1.120,130
B.1.128,2
B.1.13,371
B.1.131,28
B.1.142,338
B.1.143,1
B.1.146,1
B.1.147,35
B.1.149,19
B.1.151,69
B.1.153,34
B.1.157,118
B.1.160,2120
B.1.160.10,3
B.1.160.12,1
B.1.160.23,197
B.1.160.26,4
B.1.160.33,199
B.1.160.7,416
B.1.164,2
B.1.165,66
B.1.167,14
B.1.168,37
B.1.170,3
B.1.173,36
B.1.177,45010
B.1.177.10,965
B.1.177.11,580
B.1.177.14,1
B.1.177.15,1477
B.1.177.16,1435
B.1.177.17,1183
B.1.177.18,793
B.1.177.19,575
B.1.177.2,204
B.1.177.20,646
B.1.177.21,19
B.1.177.23,1
B.1.177.24,2
B.1.177.26,143
B.1.177.29,1
B.1.177.3,119
B.1.177.30,343
B.1.177.31,1
B.1.177.32,10
B.1.177.33,67
B.1.177.35,4
B.1.177.38,1
B.1.177.39,4
B.1.177.4,4565
B.1.177.41,3
B.1.177.43,4
B.1.177.44,63
B.1.177.46,1
B.1.177.47,56
B.1.177.48,316
B.1.177.5,803
B.1.177.50,6
B.1.177.51,23
B.1.177.52,138
B.1.177.53,52
B.1.177.54,1381
B.1.177.55,322
B.1.177.56,1339
B.1.177.57,3413
B.1.177.58,690
B.1.177.59,3
B.1.177.6,907
B.1.177.60,37
B.1.177.63,354
B.1.177.65,1487
B.1.177.67,3
B.1.177.69,557
B.1.177.7,5846
B.1.177.73,5
B.1.177.74,8
B.1.177.75,19
B.1.177.77,27
B.1.177.8,1277
B.1.177.81,325
B.1.177.82,228
B.1.177.83,7
B.1.177.84,143
B.1.177.85,2
B.1.177.86,12
B.1.177.87,1237
B.1.177.9,675
B.1.179,11
B.1.180,2
B.1.189,1
B.1.190,2
B.1.195,9
B.1.198,14
B.1.2,72
B.1.201,161
B.1.208,3
B.1.210,11
B.1.213,4
B.1.214.2,20
B.1.214.3,1
B.1.215,101
B.1.218,32
B.1.22,21
B.1.220,21
B.1.221,507
B.1.221.1,320
B.1.221.2,2
B.1.222,537
B.1.223,234
B.1.225,60
B.1.229,71
B.1.23,2
B.1.231,30
B.1.232,79
B.1.234,5
B.1.235,392
B.1.236,79
B.1.238,69
B.1.239,1
B.1.240,25
B.1.240.2,32
B.1.241,1
B.1.243,5
B.1.248,34
B.1.249,13
B.1.250,66
B.1.251,46
B.1.252,145
B.1.254,39
B.1.256,58
B.1.258,2366
B.1.258.10,86
B.1.258.11,1
B.1.258.12,115
B.1.258.14,2
B.1.258.17,7
B.1.258.2,30
B.1.258.20,1
B.1.258.22,1
B.1.258.3,444
B.1.258.4,269
B.1.258.5,112
B.1.258.6,48
B.1.258.7,510
B.1.264,1
B.1.277,11
B.1.282,68
B.1.293,5
B.1.298,1
B.1.319,1
B.1.321,12
B.1.324,1
B.1.349,1
B.1.35,118
B.1.350,2
B.1.350.1,7
B.1.351,732
B.1.351.2,11
B.1.351.3,206
B.1.351.5,7
B.1.356,92
B.1.36,427
B.1.36.1,62
B.1.36.10,2
B.1.36.12,105
B.1.36.16,65
B.1.36.17,1892
B.1.36.18,1
B.1.36.2,87
B.1.36.20,44
B.1.36.21,4
B.1.36.22,7
B.1.36.23,44
B.1.36.24,112
B.1.36.26,6
B.1.36.28,169
B.1.36.29,65
B.1.36.31,121
B.1.36.33,6
B.1.36.34,27
B.1.36.35,38
B.1.36.37,2
B.1.36.38,38
B.1.36.39,276
B.1.36.7,104
B.1.36.8,26
B.1.36.9,259
B.1.360,1
B.1.362,23
B.1.362.1,15
B.1.362.2,186
B.1.367,285
B.1.369,6
B.1.372,3
B.1.375,1
B.1.377,11
B.1.378,2
B.1.379,59
B.1.381,3
B.1.383,100
B.1.389,787
B.1.39,4
B.1.390,1
B.1.391,779
B.1.395,91
B.1.398,25
B.1.40,51
B.1.400,1
B.1.406,7
B.1.407,26
B.1.408,126
B.1.409,2
B.1.411,4
B.1.413,2
B.1.416,26
B.1.416.1,94
B.1.418,63
B.1.420,1
B.1.427,10
B.1.428,2
B.1.428.2,3
B.1.428.3,1
B.1.429,10
B.1.431,25
B.1.438,24
B.1.438.1,3
B.1.439,31
B.1.44,120
B.1.441,26
B.1.446,1
B.1.453,1
B.1.459,2
B.1.460,47
B.1.462,5
B.1.465,183
B.1.466,2
B.1.466.1,17
B.1.466.2,8
B.1.467,3
B.1.468,4
B.1.469,77
B.1.470,2
B.1.471,234
B.1.474,5
B.1.480,24
B.1.483,1
B.1.489,20
B.1.491,17
B.1.499,2
B.1.503,1
B.1.504,3
B.1.505,35
B.1.509,2
B.1.513,1
B.1.520,2
B.1.523,189
B.1.525,501
B.1.526,18
B.1.527,9
B.1.531,13
B.1.532,161
B.1.540,1
B.1.549,21
B.1.551,2
B.1.555,1
B.1.557,20
B.1.559,40
B.1.561,1
B.1.562,6
B.1.563,24
B.1.568,2
B.1.575,6
B.1.575.1,4
B.1.577,1
B.1.582,3
B.1.595,1
B.1.596,1
B.1.6,2
B.1.600,2
B.1.604,1
B.1.606,1
B.1.607,17
B.1.609,3
B.1.610,279
B.1.617.1,477
B.1.617.2,28507
B.1.617.3,14
B.1.618,1
B.1.619,8
B.1.620,21
B.1.621,59
B.1.621.1,11
B.1.621.2,2
B.1.623,2
B.1.625,1
B.1.626,6
B.1.629,1
B.1.630,4
B.1.633,1
B.1.637,26
B.1.637.1,6
B.1.640.1,15
B.1.640.2,3
B.1.67,18
B.1.69,23
B.1.70,36
B.1.76,81
B.1.77,23
B.1.78,2
B.1.8,6
B.1.81,33
B.1.9,9
B.1.9.1,31
B.1.9.4,4
B.1.9.5,14
B.1.91,60
B.1.93,939
B.1.97,40
B.10,123
B.11,4
B.15,55
B.18,20
B.23,288
B.26,64
B.27,57
B.28,224
B.29,188
B.3,556
B.3.1,603
B.31,153
B.32,35
B.33,47
B.34,72
B.35,74
B.39,328
B.4,65
B.4.2,1
B.4.7,1
B.4.8,7
B.40,2034
B.41,2
B.45,261
B.47,24
B.52,79
B.55,92
B.57,62
B.58,49
B.6,11
B.60,53
B.61,126
BA.1,55814
BA.1.1,15318
BA.1.1.1,157
BA.1.1.10,3
BA.1.1.11,12
BA.1.1.12,309
BA.1.1.13,1016
BA.1.1.14,1147
BA.1.1.15,1478
BA.1.1.16,1
BA.1.1.18,44
BA.1.1.2,2
BA.1.1.3,1
BA.1.1.4,86
BA.1.1.6,3
BA.1.1.7,1
BA.1.1.8,1
BA.1.1.9,1
BA.1.10,429
BA.1.12,579
BA.1.13,37
BA.1.14,325
BA.1.14.1,1
BA.1.14.2,1
BA.1.15,7616
BA.1.15.1,13451
BA.1.15.3,5
BA.1.16,4009
BA.1.17,3130
BA.1.17.2,46862
BA.1.18,703
BA.1.19,72
BA.1.20,66
BA.1.21,13
BA.1.21.1,4
BA.1.4,1
BA.1.5,73
BA.1.6,1
BA.1.7,269
BA.1.8,16
BA.1.9,10
BA.2,41
BA.2.10,3
BA.2.3,3
BA.2.5,1
BA.2.9,4
BA.3,7
BB.2,1
BD.1,169
C.1,1
C.1.2,4
C.16,71
C.18,1
C.2,4
C.25,1
C.27,50
C.28,1
C.3,131
C.30,558
C.35,193
C.36,109
C.36.3,138
C.36.3.1,2
C.37,7
C.37.1,1
C.38,1
D.4,12
D.5,2
G.1,24
L.3,29
M.3,11
N.5,4
NONE,4
P.1,104
P.1.1,7
P.1.10,3
P.1.14,6
P.1.15,9
P.1.16,48
P.1.17,48
P.1.17.1,1
P.1.2,2
P.1.7,1
P.1.8,2
P.2,52
P.3,9
Q.1,157
Q.2,1
Q.3,2
Q.4,14
Q.6,1
Q.7,5
Q.8,7
R.1,23
S.1,5
U.1,75
U.3,1
UNASSIGNED,53
V.1,30
V.2,32
W.1,2
W.3,181
W.4,730
XA,45
XB,2
Y.1,3
Z.1,255
