,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2020-04-01,741.7210774218064,639.177404833445,559.4749877614441,496.95968445633883,447.23594199671277,750.3396191498176,646.7539240757176,565.6605331448746,501.7019136621303,450.60388971533735,758.3993579147715,654.0698207012873,571.8743451653464,506.73084210181696,454.4843154626465,765.9199421627561,661.0621529017051,577.9802508858436,511.84760444265197,458.6246989790567,772.9386032379098,667.7123303193607,583.9092621764212,516.9397929220854,462.8754642720664,779.4976017415419,674.0236010439154,589.6287171219881,521.9435655825467,467.14603036185395,785.6387376912104,680.0097440936,595.1260726161966,526.8233212781796,471.3809620532139,791.4010633271,685.6892219738456,600.4000375885798,531.5602980734235,475.54640955816245,796.8200796856692,691.0821128433884,605.4555686420285,536.1459422027025,479.62209694630576,801.9276194390313,696.2085055025482,610.3009804394005,540.5779374341163,483.5964362754834,806.7520355105124,701.0876828430108,614.9462523171399,544.8577716577424,487.4634682459068,811.3185112673315,705.7377364953751,619.4020293094187,548.9892181561052,491.2209041315856,815.6494035004382,710.1754182387082,623.6790349815492,552.9773751733152,494.86884968831157,819.7645766014977,714.4161203776471,627.7877321673764,556.8280534458505,498.4089612294019,823.6817099146107,718.4739241617323,631.7381346434098,560.547384274065,501.8438810858371
1,2020-04-02,1744.6176270564035,1554.8083893883784,1397.2608289502919,1267.1788583712105,1159.4376158853847,1759.5574072376971,1568.9857896182468,1409.549319211612,1277.0551970031113,1166.721088145572,1773.4573440635884,1582.6102093899112,1421.843520201327,1287.4942584247826,1175.092141443832,1786.3658300742707,1595.5724916427116,1433.8752585149325,1298.0795092885917,1183.999642963616,1798.3594872382446,1607.8468182668792,1445.5122363412975,1308.5779095093455,1193.11857028735,1809.5214056142224,1619.4475085271572,1456.6950215544098,1318.8591946927,1202.253508258697,1819.9319258818598,1630.4075276436474,1467.4040591125809,1328.8525618223603,1211.2861304520725,1829.6650243716458,1640.7675214065273,1477.6417176911727,1338.5224043998571,1220.1453041802968,1838.787238284319,1650.570171047705,1487.4222306469953,1347.8542404742884,1228.7894330281554,1847.35772779966,1659.8573215420276,1496.7659437224338,1356.846322345071,1237.1957040805305,1855.4288158474585,1668.6685862003478,1505.6959865604047,1365.5045235575,1245.3533717421958,1863.046693988719,1677.0407455171212,1514.2363423800816,1373.8391710316287,1253.2594742662861,1870.2521488022257,1685.0075724817668,1522.4107397584764,1381.8630600167069,1260.916054750504,1877.0812444019873,1692.5998825502625,1530.2420346136807,1389.5902026178092,1268.3283336624424,1883.5659361493172,1699.8456961474683,1537.7518867175509,1397.035039029915,1275.503494735446
2,2020-04-03,2864.323460157955,2609.874036465535,2389.0147269522126,2199.772187205634,2038.1649019389731,2883.4067941240937,2628.917519771966,2406.2309521609895,2214.1008447660943,2049.042552588776,2901.1123747278507,2647.1645638652494,2423.4083498180016,2229.2109006516703,2061.521806786834,2917.5125493557316,2664.4762427590063,2440.1738876985364,2244.4959613370706,2074.774233133247,2932.713931856881,2680.8256791414947,2456.347045440702,2259.619344926817,2088.312950624014,2946.8296744032964,2696.2391551463056,2471.849929637448,2274.3950894617205,2101.8468567318378,2959.9679550866454,2710.767007225737,2486.6603299722497,2288.724094137023,2115.201135173827,2972.227641494312,2724.4689110285394,2500.7862697653622,2302.5583878209663,2128.2719755031776,2983.697164980709,2737.406403747053,2514.2518228888775,2315.880454647605,2140.999838537697,2994.454801547314,2749.6391548966385,2527.0890603477606,2328.6909480703735,2153.353196423163,3004.569520723809,2761.2232154109347,2539.3334335094823,2341.0012365332555,2165.318397883425,3014.102011464514,2772.2103190579946,2551.021130324043,2352.828810856393,2176.8932226825546,3023.1057063114804,2782.647739883504,2562.1875848502373,2364.194426526146,2188.0827151997582,3031.6277278511216,2792.578435568954,2572.866669152076,2375.1203182972167,2198.8964568420915,3039.709730614965,2802.0413281771243,2583.09029137958,2385.629087941206,2209.3467639678856
3,2020-04-04,4048.099885812837,3745.9500373161964,3475.250770676612,3236.8397840162056,3028.398911557344,4069.9310219695353,3768.503494900618,3496.271967129448,3254.8029738582527,3042.3478350165574,4090.15402437756,3790.0739235453852,3517.2072618539178,3273.7146056720485,3058.329071108378,4108.858655662054,3810.5027857511086,3537.603662703202,3292.812830644111,3075.275361147844,4126.172638468162,3829.764232672775,3557.244951992387,3311.677036779293,3092.5611253657685,4142.230005781392,3847.8947373616043,3576.0406020111986,3330.0769633916702,3109.8139340864714,4157.158119714461,3864.9584682383093,3593.967864385852,3347.8917288041694,3126.811550435719,4171.072906161627,3881.0298888262614,3611.040463331358,3365.064567525677,3143.423258739193,4184.077735686579,3896.184992971355,3627.291215096702,3381.576687539844,3159.5752366888123,4196.263881011928,3910.4969928631886,3642.7622090257687,3397.4317741290533,3175.2295171411097,4207.7115948722185,3924.034343793935,3657.4992163682805,3412.646619053369,3190.370896941034,4218.491366205553,3936.8600023306353,3671.5485180820215,3427.2453715373936,3204.998629973156,4228.665155442212,3949.031328987574,3684.9551403515748,3441.2559800607496,3219.1210729023433,4238.287526299812,3960.600316758785,3697.761918599517,3454.707984576512,3232.7521923050695,4247.406646863817,3971.613971244735,3710.009051282443,3467.631153532357,3245.9092670576824
4,2020-04-05,5268.434101180301,4930.713534667501,4621.025834138988,4342.502047517182,4094.445678272092,5292.1134130585515,4955.791976367068,4644.939254347994,4363.357817331315,4110.934935694414,5314.028619536749,4979.749144242856,4668.724991954328,4385.288694151539,4129.807591871891,5334.2814919028415,5002.413134438127,4691.8698193621285,4407.408911831347,4149.797756613544,5353.014173920758,5023.75953352205,4714.131164899023,4429.231488624144,4170.164944578752,5370.374907597897,5043.832739919434,4735.409700028191,4450.491594070366,4190.469772222484,5386.504078091505,5062.707359184905,4755.683004420834,4471.051767404432,4210.451334774899,5401.529171455232,5080.468883341324,4774.969777357645,4490.84897652599,4229.957308997312,5415.563668885922,5097.204015697988,4793.3100236933205,4509.864082272285,4248.902714291308,5428.707629535707,5112.995954907147,4810.753900627576,4528.103773186106,4267.244879687516,5441.048927213805,5127.922271549765,4827.355397536905,4545.589668497381,4284.967887583996,5452.664664874806,5142.054145984608,4843.168774033426,4562.351654064361,4302.072720181134,5463.62255453572,5155.456312342167,4858.246598327331,4578.423774484812,4318.570922614707,5473.982175499882,5168.187355134757,4872.638723689775,4593.841697490041,4334.480480625832,5483.796083794275,5180.300166417973,4886.391816712512,4608.641159456757,4349.823118040621
5,2020-04-06,6515.942669116551,6150.722689968394,5809.872610168423,5498.304078372858,5216.710862623534,6540.92102062949,6177.67118459084,5836.018958275696,5521.4737878716805,5235.29562253126,6564.026068378725,6203.395301521017,5862.003223653144,5545.817025567466,5256.550617115049,6585.36791193452,6227.713390746429,5887.265899578719,5570.348836974516,5279.045544991989,6605.098740440917,6250.602238181037,5911.544370306562,5594.529374315686,5301.94506587832,6623.376712128236,6272.11222345368,5934.732814934754,5618.066493354034,5324.754761565788,6640.351311281848,6292.325769963994,5956.8093381746685,5640.809836440959,5347.182149812891,6656.1581079583975,6311.336605569658,5977.796712796007,5662.6917070840655,5369.057446159009,6670.917658676574,6329.239417175989,5997.740687160601,5683.693002320521,5390.286827839706,6684.73617501486,6346.1248390834035,6016.697806025201,5703.823086990638,5410.824083389143,6697.706870042818,6362.077222700786,6034.728532499831,5723.107676459155,5430.653013275166,6709.911482775437,6377.173861608424,6051.893390286627,5741.58144391579,5449.776297671526,6721.421758541848,6391.4849678305045,6068.250854160355,5759.283477031086,5468.208349724509,6732.300795355856,6405.074020300819,6083.856262638347,5776.254484483749,5485.970676398893,6742.604228838269,6417.9982799959935,6098.761329679794,5792.535092393892,5503.088845159694
6,2020-04-07,7781.832051311197,7395.210084976048,7029.311735817484,6690.463848274485,6380.527396325635,7807.716125716819,7423.544160668939,7057.182572671225,6715.480617253074,6400.831992151665,7831.650898306867,7450.577188707863,7084.863726953648,6741.747891342829,6424.040583875167,7853.752224127987,7476.120346393214,7111.76005618867,6768.201511591201,6448.587604466653,7874.179258080468,7500.1513531633145,7137.593607367616,6794.259557580848,6473.559828425748,7893.097044770153,7522.72505828781,7162.253688504059,6819.608269977599,6498.4177912594605,7910.661393302705,7543.929708577033,7185.718938638641,6844.087196796509,6522.843289099021,7927.013496761753,7563.865158876812,7208.015386837053,6867.625108580263,6546.652425709025,7942.278835802657,7582.632031086433,7229.193309281837,6890.203102068094,6569.74433880094,7956.567905797193,7600.326484462031,7249.314259539365,6911.832826934651,6592.070114054882,7969.97763890648,7617.037906974531,7268.443762126198,6932.543395073677,6613.613503442383,7982.593004556521,7632.848131604705,7286.64722848424,6952.373408117026,6634.378742025077,7994.488559379974,7647.831437090697,7303.987735458808,6971.366068990315,6654.382737193524,8005.7298546624625,7662.054935148748,7320.524890399443,6989.566184956865,6673.6500069726435,8016.374673740273,7675.579128971085,7336.314331499536,7007.018347348253,6692.209377166666
7,2020-04-08,9060.092109864581,8656.716746597946,8270.570161913252,7909.1291841978655,7575.226286432045,9086.60158016421,8686.076253150703,8299.772731329074,7935.618528788352,7596.938196553626,9111.109504830189,8714.078031434736,8328.763915294528,7963.418937476875,7621.744422407257,9133.735649119531,8740.527937918772,8356.921093617011,7991.403093574446,7647.968523121757,9154.643927857742,8765.40437070989,8383.954524186714,8018.955601766538,7674.63352458336,9174.004102837565,8788.765476236158,8409.749807838818,8045.745568126392,7701.163176537289,9191.976322119597,8810.703802166077,8434.286044799019,8071.6045966865095,7727.218343882851,9208.705640490272,8831.32373051693,8457.591820104468,8096.458739250316,7752.603712578145,9224.320923192989,8850.730269817015,8479.720940715835,8120.289339185924,7777.212787802807,9238.935612155314,8869.023663736634,8500.73885616178,8143.109943469956,7800.994562222116,9252.649199244383,8886.297024218502,8520.71502218635,8164.952436187382,7823.932854579371,9265.54887844697,8902.635541120504,8539.718643022668,8185.858605033397,7846.033265813602,9277.711143290002,8918.116500877806,8557.816364058504,8205.874978888942,7867.314825417082,9289.203236044008,8932.80970233074,8575.07110094045,8225.049670065771,7887.804584910899,9300.084420967161,8946.778047142356,8591.541531742614,8243.430462116847,7907.534095819038
8,2020-04-09,10345.78978104991,9929.297607638518,9526.741585692593,9146.558635406878,8792.39016061409,10372.722247463415,9959.409639311714,9556.967862329744,9174.217500628192,8815.24882963141,10397.618272439246,9988.122622796705,9586.966030357444,9203.235151174804,8841.356345914919,10420.600169713887,10015.238465631051,9616.092357420117,9232.434108597445,8868.945817099297,10441.834994393561,10040.736020412516,9644.048049026978,9261.172426360867,8896.988316654033,10461.495635746447,10064.675814600534,9670.715864524762,9289.10565007257,8924.877664786214,10479.7451269795,10087.153519405096,9696.075264986886,9316.059124275893,8952.257739175975,10496.731096020796,10108.27681222646,9720.156804796474,9341.956787767438,8978.923997612612,10512.584667025747,10128.153898752924,9743.017008255414,9366.780220557413,9004.765429670953,10527.42125117392,10146.888002235783,9764.724321823684,9390.544511348107,9029.729390880362,10541.34205305724,10164.574953154495,9785.351224553142,9413.283775304459,9053.799815406283,10554.435756709863,10181.302393279708,9804.969836918508,9435.042354872947,9076.983470527608,10566.78015425212,10197.149806993955,9823.649547787023,9455.869440570707,9099.301160905356,10578.443622670118,10212.188957653398,9841.455815973763,9475.815786117475,9120.782041848604,10589.486420794598,10226.484501084147,9858.449656137353,9494.931723835989,9141.459919335039
9,2020-04-10,11639.441104651425,11212.425552444742,10796.231459754124,10400.177962118565,10028.599884552226,11666.669124263168,11243.109108527342,10827.266608150438,10428.785161370492,10052.407490315094,11691.836216834039,11272.362518498321,10858.060770413249,10458.789981356314,10079.591737193356,11715.066468657826,11299.984622120766,10887.95349829921,10488.974276896328,10108.310874862162,11736.52912889115,11325.95455594646,10916.638797067586,10518.67456539487,10137.492991829338,11756.399276581995,11350.334605587634,10943.997132513423,10547.535383424156,10166.507153942033,11774.841967969853,11373.222775065768,10970.008206704295,10575.376984033048,10194.9831963136,11792.00663716269,11394.729214205781,10994.704091938644,10602.121576435595,10222.708954291284,11808.025995292319,11414.964533996048,11018.143427517403,10627.750917130874,10249.569693139792,11823.016837969966,11434.034203571053,11040.397001395479,10652.28133093656,10275.511424113114,11837.081574589949,11452.03610553432,11061.53965977666,10675.748729562152,10300.518185461086,11850.309937774942,11469.059734798735,11081.6458098439,10698.199516049346,10324.597716475877,11862.780633931538,11485.186238678496,11100.786994063972,10719.685029585904,10347.772296205048,11874.562839144497,11500.488868180351,11119.030669309108,10740.25815748433,10370.072825009398,11885.71751285411,11515.033608588546,11136.439687478167,10759.971291708816,10391.534977568597
