,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2020-04-01,665.8787639333542,567.669655423401,493.10635012418527,435.5571848626499,390.3131242796656,674.2652761489218,574.8333975012065,498.84339839955334,439.895975267842,393.3636214509131,682.1282286937869,581.7639272619317,504.61475686002774,444.50173684366916,396.8807679049425,689.4831271866623,588.4002374578754,510.29387588689275,449.19290464967025,400.63647408948964,696.3630583748563,594.723119689594,515.8161160247637,453.8665517434043,404.49548168297315,702.8065200174784,600.7341014852998,521.150392850265,458.46395630341806,408.3757243261028,708.8520314932541,606.4448341452049,526.2842722565927,462.9521360574196,412.22683538895126,714.5358366018941,611.8715805757465,531.2158044354536,467.31348709750864,416.0179324310694,719.8910511844751,617.0323052081516,535.948905370734,471.5397536308408,419.73040022479,724.9474873798011,621.9451375444269,540.4906825103167,475.6284131865708,423.35348814954693,729.731785991433,626.6275790763951,544.8498615938136,479.5804579323459,426.88155181061995,734.2676768290144,631.0961188556852,549.0358541493003,483.3990072646382,430.31228613660784,738.5762791826552,635.3660752496613,553.0582054435135,487.0884283112401,433.64557254224076,742.6764004525326,639.4515619761349,556.9262724649861,490.6537732085633,436.88271543674864,746.5848140070789,643.3655209117736,560.6490422841575,494.1004177080693,440.02593063771155
1,2020-04-02,1596.3383869864163,1406.2993296799812,1252.7624826220374,1128.449504561328,1026.9923413881459,1611.5410264616355,1420.275559966825,1264.6060197150427,1137.8097997222167,1033.806923835965,1625.7239486465141,1433.7354783596995,1276.4747460102456,1147.7157742866823,1041.6460994291244,1638.9290680413224,1446.5678720048234,1288.1093724436157,1157.7735514788546,1049.9959424140006,1651.228090261025,1458.743478283727,1299.3806149884435,1167.761926347607,1058.5529020386914,1662.7004085262624,1470.2728753891593,1310.2291260488153,1177.556507832041,1067.1340031301474,1673.423596161579,1481.1854522835547,1320.6340092444173,1187.0890196603416,1075.6280263566432,1683.4695639869444,1491.5186188115715,1330.5956507823732,1196.3244900985549,1083.9677302573573,1692.9033126382624,1501.3122065038328,1340.1260733268387,1205.248010222152,1092.113443110096,1701.7828647157748,1510.6055857391366,1349.243399453302,1213.8568266416776,1100.043065983646,1710.15970747822,1519.4362362652441,1357.9686320203605,1222.1555128544585,1107.7458233903665,1718.079425961925,1527.8391050589614,1366.3237745173135,1230.1529697193912,1115.2182725944797,1725.5823747113072,1535.8463909825664,1374.3307416767263,1237.8605394605377,1122.461710536943,1732.7043190357572,1543.487557524598,1382.010743135043,1245.2908115932512,1129.4804652042098,1739.4770174455352,1550.7894625452818,1389.3839527018717,1252.456866014586,1136.280757717289
2,2020-04-03,2654.938852974721,2391.803129608749,2169.7029115755395,1983.3744049588663,1826.8471846149732,2674.9583748247746,2411.158756338951,2186.7932838040606,1997.3416842804966,1837.298932127441,2693.5818462443544,2429.745391364191,2203.875028724726,2012.0907005787544,1849.30160084911,2710.875445003425,2447.4164690058974,2220.5763656729664,2027.0316636818313,1862.0620763724644,2726.9427847707593,2464.139103393321,2236.7152083491856,2041.8356902371286,1875.1133856233523,2741.8958435929517,2479.9348973374417,2252.2109514702715,2056.3198756021857,1888.1754926702088,2755.8426944742823,2494.850563586313,2267.0383369410533,2070.385623119365,1901.079472914861,2768.8827255418164,2508.9429810047172,2281.202387821169,2083.9841163993683,1913.7243388672682,2781.105247346484,2522.271533872572,2294.7243950395577,2097.09631720268,1926.0515451196814,2792.5896099882543,2534.8942390249686,2307.6339269730556,2109.721057646868,1938.0294727504659,2803.4059504946954,2546.865883658069,2319.9642229271535,2121.867797933684,1949.6437481078815,2813.6161555724584,2558.237240601054,2331.749534947218,2133.5521505966653,1960.8910768164767,2823.274846803901,2569.054859283723,2343.0236122641663,2144.7930845314604,1971.7752504147809,2832.4303034641794,2579.3611576927115,2353.818865030543,2155.6111692595787,1982.3045258791553,2841.1252906611294,2589.1946631379255,2364.165934674187,2166.027473839266,1992.489889251263
3,2020-04-04,3787.5191001798216,3467.317617764122,3188.2656035758705,2947.7407768507246,2741.041966668347,3810.917101655896,3490.7725070449033,3209.6229561337013,2965.6552468105124,2754.7448558750443,3832.646505311142,3513.253037368113,3230.9305340255937,2984.5420071636404,2770.4607591557296,3852.7924903418925,3534.5877670935,3251.72606561245,3003.6428714609724,2787.145129486128,3871.482655195113,3554.74306758377,3271.786103900947,3022.5373257140595,2804.184488985307,3888.853092678363,3573.7507209947116,3291.0144464475484,3040.9934720279807,2821.2124294764003,3905.0342452009822,3591.6721376263,3309.3838809733834,3058.888042911511,2838.0092436106097,3920.1455276970323,3608.5802633295266,3326.904618607861,3076.1616592120713,2854.4447502768753,3934.2938835112454,3624.550383132369,3343.606711220726,3092.792953729508,2870.444542928876,3947.574071038539,3639.655532257615,3359.53007437461,3108.7832030458217,2885.9694688188106,3960.0696555709433,3653.964338949109,3374.7187722583185,3124.1470099223097,2901.002844711117,3971.854226628999,3667.540160883354,3389.2177485258317,3138.9065679535875,2915.542331392615,3982.992620902328,3680.4409055442397,3403.0709855984333,3153.0880966164186,2929.5946854243566,3993.5420561510928,3692.719202348148,3416.3205088418686,3166.719617057683,2943.1723265176156,4003.5531420832417,3704.422744131302,3429.0058931410686,3179.8295688583203,2956.29107223734
4,2020-04-05,4963.746400097279,4599.131916118833,4273.544493380439,3986.8929641000996,3736.0057547901424,4989.505352512686,4625.663545118694,4298.286066305771,4008.0804808582657,3752.5049643452526,5013.402560842772,4651.060993836535,4322.938000424978,4030.391329305677,3771.4092022825807,5035.537129015711,4675.135118286615,4346.966844363015,4052.927422071648,3791.4564864278136,5056.0539315410115,4697.852662070181,4370.117235617021,4075.1926923434125,3811.907100514487,5075.106312241036,4719.253855753703,4392.281532307918,4096.9153403981745,3832.3206439320784,5092.840651536393,4739.411813449806,4413.43183771972,4117.95245252966,3852.43428658676,5109.390592865127,4758.412087516441,4433.58323918855,4138.236685708028,3872.0933964915125,5124.875579787892,4776.342338064584,4452.773387992611,4157.745473254846,3891.2105996528594,5139.401274317333,4793.287225152398,4471.050953721917,4176.482769786699,3909.7409088523505,5153.060729664783,4809.326047000258,4488.46904222444,4194.4680103050805,3927.6662484593758,5165.93579312206,4824.531831275404,4505.081454863773,4211.729334868354,3944.985635387543,5178.098500847812,4838.971188902285,4520.940602371763,4228.29939373894,3961.7088505062043,5189.612363584714,4852.704555659336,4536.096393350765,4244.212743131958,3977.852310395228,5200.5335085435945,4865.7866165233745,4550.595699635863,4259.504236417639,3993.4363517390107
5,2020-04-06,6172.5068836759065,5772.420012908252,5408.3103540445245,5082.288669793164,4792.669666874889,6199.969530417862,5801.3049689066365,5435.755921094604,5106.18638847004,4811.554774285709,6225.430868883364,5828.931848374341,5463.076937731655,5131.328931292275,4833.176238194259,6249.000079609961,5855.098267348558,5489.683362337704,5156.702263896393,4856.085896583583,6270.834526719609,5879.771535126972,5515.294733000145,5181.748009232111,4879.43621906507,6291.100021094044,5902.998584057794,5539.794678476197,5206.16172327161,4902.723871469471,6309.954459235455,5924.861676456643,5563.155130933261,5229.784657937164,4925.649574305331,6327.541764427347,5945.456164588102,5585.395400082657,5252.543294431175,4948.038231509774,6343.990410919614,5964.879298993165,5606.559484656332,5274.414453710794,4969.791807011321,6359.413937707941,5983.224730073178,5626.703277822838,5295.404643337089,4990.860715824674,6373.912252195119,6000.579995112836,5645.887298451236,5315.537589282839,5011.226041234667,6387.573167203712,6017.025579395315,5664.172579860895,5334.846602826946,5030.888266753049,6400.473919923885,6032.634799113025,5681.618393250848,5353.369868682259,5049.860025889997,6412.68256735211,6047.474098832188,5698.281048737903,5371.147530982686,5068.161382700363,6424.259222779115,6061.603541343589,5714.213331973537,5388.219902277315,5085.81673521357
6,2020-04-07,7403.515531954801,6975.074160514464,6579.064053786537,6219.525781162529,5896.153674373031,7432.188954988511,7005.74914384469,6608.6595044028645,6245.652566659694,5917.056157464647,7458.761526811424,7035.070879009891,6638.100932700862,6273.121955832001,5940.973132491006,7483.349639570559,7062.827059572752,6666.753455463661,6300.8244917681195,5966.29859933515,7506.119579940267,7088.985568837939,6694.316873813611,6328.1507014836925,5992.0938066001545,7527.246059573689,7113.598562531956,6720.66810135786,6354.769530701761,6017.802340629831,7546.895194118904,7136.755366861352,6745.779141186865,6380.509468466285,6043.094327442681,7565.2182421880225,7158.55887473166,6769.672840335428,6405.292167406489,6067.777625775725,7582.350120983823,7179.113701806756,6792.398396988155,6429.094172551226,6091.745443419156,7598.409988737171,7198.520393753637,6814.017574996082,6451.924291299473,6114.944551897925,7613.5026418941625,7216.872800767416,6834.59689250065,6473.809951465125,6137.355545133925,7627.720148055661,7234.257117850656,6854.20321949096,6494.788864627539,6158.980343871084,7641.143453591635,7250.751791577397,6872.901352877458,6514.903891892184,6179.834166574874,7653.843857444327,7266.427861400661,6890.752750710115,6534.199878112124,6199.940311627361,7665.884315128432,7281.349500529801,6907.814948199749,6552.721713828951,6219.3267407849025
7,2020-04-08,8649.057359355142,8197.995265981757,7775.586765952102,7387.57605695057,7034.909926628991,8678.572330599189,8230.018434286025,7806.879785150381,7415.523659998795,7057.505011601614,8705.917205913775,8260.616263010623,7837.994585421391,7444.8924494930625,7083.346643793738,8731.213389109776,8289.569033708281,7868.260957265465,7474.494988746508,7110.6961296654345,8754.633370493444,8316.84512233637,7897.363234457285,7503.680160231014,7138.538147357321,8776.358051722567,8342.500672176353,7925.173149002173,7532.095317670939,7166.271838411854,8796.55926537861,8366.630374947259,7951.662870847979,7559.5586817762,7193.5418076573205,8815.393372959326,8389.342840495865,7976.858136805791,7585.988111844639,7220.141781135165,8832.999774292559,8410.748262466715,8000.812332491212,7611.360064165928,7245.957788655688,8849.501537454624,8430.95240503425,8023.591925767379,7635.685344706468,7270.933702930595,8865.006860992296,8450.053893687464,8045.268228487136,7658.994508328438,7295.049850584692,8879.61077338856,8468.143240663372,8065.9127660190925,7681.328948867295,7318.309485284486,8893.396802415262,8485.302770402766,8085.594736760751,7702.73542159635,7340.730105411744,8906.438503288527,8501.606994441903,8104.3796950881415,7723.262673537109,7362.3378192550335,8918.800809721679,8517.123191166917,8122.328952279386,7742.95938710428,7383.163661552859
8,2020-04-09,9904.468272349297,9435.331874079762,8990.998899579203,8578.747458440406,8200.65142380659,9934.557910019532,9468.365739745854,9023.629623292572,8608.179072078168,8224.662026337357,9962.430344876431,9499.920218007246,9056.062727113262,8639.095268013076,8252.112477510322,9988.210355280637,9529.770027536815,9087.60019378204,8670.24503995266,8281.152959858091,10012.074630310372,9557.88390872345,9117.914210937894,8700.943378710257,8310.704098886934,10034.208270054167,9584.32099069777,9146.872470596907,8730.82011487127,8340.127922849157,10054.786989594815,9609.179985288845,9174.447313651384,8759.685180692417,8369.047782632839,10073.970619051202,9632.573786777823,9200.666788257344,8787.453420512602,8397.245685831535,10091.90160742269,9654.616769860728,9225.587608656302,8814.101287389763,8424.601759247607,10108.70568394638,9675.418610786593,9249.279973520348,8839.641276424296,8451.0575446577,10124.493363884334,9695.08151524864,9271.818992092258,8864.106542739133,8476.593229267271,10139.361692936258,9713.699232569355,9293.279874524007,8887.541525058119,8501.213255715278,10153.395958174806,9731.356995050251,9313.735301055676,8909.996189230102,8524.93709373365,10166.67125316503,9748.131918060239,9333.254065021047,8931.522493448329,8547.793257370118,10179.253860766734,9764.093608789766,9351.90046231813,8952.172236282988,8569.815399142912
9,2020-04-10,11169.195035435598,10685.429823489945,10222.60931370667,9789.459385308031,9389.07909759668,11199.682905854526,10719.235222566187,10256.310379345527,9820.114581798442,9414.283347056802,11227.92098657229,10751.520191281756,10289.79844132086,9852.30653463913,9443.090164339643,11254.036358850686,10782.055148586836,10322.353216264815,9884.731824433273,9473.555972719802,11278.20859702727,10810.809065664986,10353.637151531435,9916.677507597447,9504.547382575392,11300.625694633634,10837.843312113697,10383.51468466795,9947.758979193875,9535.395150338865,11321.466047309685,10863.259638049078,10411.958273420083,9977.779349997669,9565.704740201581,11340.891883110717,10887.174184968893,10438.997798185246,10006.65098971448,9595.248317164132,11359.047761205973,10909.704501594388,10464.692622239007,10034.35035834917,9623.901068282827,11376.061253998398,10930.963237436566,10489.115917672385,10060.891351766586,9651.6026045828,11392.044482538819,10951.055321639942,10512.345822636633,10086.309275614354,9678.33302666904,11407.095891529229,10970.076967759487,10534.46048802249,10110.651084491237,9704.097806666647,11421.301988900515,10988.115623101265,10555.535374012046,10133.969395747967,9728.918099756107,11434.738936163409,11005.250387506845,10575.641860801628,10156.318818714215,9752.824468296236,11447.473953219125,11021.552643895238,10594.846628734329,10177.753724046486,9775.8527888779
