,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2020-04-01,665.9543931549431,567.7390077103478,493.1695288507837,435.6148679257807,390.366078117407,674.3413325140156,574.9032823168803,498.9070913409027,439.9540934350052,393.4169049301986,682.2046687876677,581.834316643577,504.67896071531504,444.5603132720456,396.93442954321694,689.5599113110861,588.4711000745368,510.3585761937728,449.2519439739424,400.69053728548676,696.4401510757959,594.7944240684461,515.8812930229847,453.92604834431813,404.54995504418355,702.88388994156,600.8058174803482,521.2160246099778,458.5238988938805,408.43060759391784,708.9296510128679,606.5169335783866,526.3503363487113,463.01251037502874,412.2821229915237,714.6136813959714,611.944037428103,531.2822788404674,467.374277428576,416.0736156203424,719.9690997904504,617.105095602654,536.0157689639136,471.6009437689477,419.7864684312859,725.0257208313632,622.0182396602297,540.5579152524665,475.689986992731,423.4099298337767,729.810187478166,626.7009729695885,544.9174446825424,479.64239964312213,426.93835501868296,734.3462313858686,631.1697863225972,549.1037699589446,483.4613016843776,430.3694388469446,738.654973451533,635.4399996376061,553.1264375290333,487.15106091629383,433.70306285428757,742.7552224866755,639.5257280361561,556.9948055062798,490.71673019327045,436.9405317721819,746.663753076123,643.4399146715148,560.7178619887044,494.1636859851593,440.08406177927407
1,2020-04-02,1596.4936860773998,1406.4498876815624,1252.9056432930802,1128.584635320643,1027.1196899256292,1611.6964890332804,1420.4266547216844,1264.7498618537738,1137.9455992526193,1033.934830731043,1625.8795297632253,1433.887065331671,1276.6192545939882,1147.8522714272294,1041.7746429543313,1639.0847295446165,1446.7199053874997,1288.2545181780736,1157.9107461799035,1050.1251573226662,1651.3838002152218,1458.895914336454,1299.5263625717196,1167.8998029877907,1058.6827977609078,1662.8561403387455,1470.4256737725104,1310.37543845945,1177.6950426580952,1067.2645741789077,1673.5793277572634,1481.3385764104291,1320.7808499417272,1187.22818497717,1075.759258547513,1683.6252770216122,1491.6720357915126,1330.7429848161664,1196.4642567000624,1084.0996044389726,1693.0589918617857,1501.4658868996305,1340.2738678631658,1205.3883488029799,1092.2459374721536,1701.9384974358788,1510.7595032395984,1349.391623909331,1213.9977085851826,1100.1761575155724,1710.3152831382079,1519.5903673516088,1358.117258126832,1222.296910688981,1107.8794887656168,1718.234935751539,1527.9934286806606,1366.4727761951572,1230.2948573342335,1115.3524887566232,1725.7378112978788,1536.000888282298,1374.480094912894,1238.0028921963092,1122.5964550238284,1732.8596763076146,1543.6422115698917,1382.1604258239809,1245.4336062672658,1129.6157163565501,1739.6322903425598,1550.9442580947161,1389.5339444940912,1252.6000808686126,1136.416494794529
2,2020-04-03,2655.166281687617,2392.0319447884935,2169.92727676931,1983.5915711733971,1827.0560901927397,2675.185434007062,2411.3877740883727,2187.018186571774,1997.5595107320164,1837.5084599005893,2693.808516271015,2429.9745673101656,2204.1004426100912,2012.3092070468924,1849.5118330128269,2711.1017137974854,2447.6457619286116,2220.8022537248985,2027.2508408727983,1862.2730454582666,2727.1686458148706,2464.368476607765,2236.9415303463684,2042.055513855576,1875.3250956207157,2742.121294421103,2480.1643189098227,2252.437667447218,2056.54031406031,1888.3879311222756,2756.0677355785447,2495.080006011408,2267.2654089294165,2070.6066418467226,1901.2926181023486,2769.1073595621415,2509.1724207481375,2281.42978054096,2084.2056802464226,1913.9381640717374,2781.3294784665204,2522.500950837115,2294.952076164793,2097.3183917942815,1926.2660212529074,2792.8134434810922,2535.123616099184,2307.861867068447,2109.9436100796365,1938.2445699397506,2803.6293924072093,2547.0952062619053,2320.19239534689,2122.090797140195,1949.8594366723707,2813.83921246434,2558.4664963197056,2331.9779155615975,2133.7755674834175,1961.107327869081,2823.497525574595,2569.284037564647,2343.2521792649413,2145.0168919844095,1971.992036164844,2832.6526111994976,2579.590249555453,2354.047598715012,2155.8353420918684,1982.5218198275472,2841.3472345598707,2589.423660942243,2364.3948172206815,2166.2519886853866,1992.7076662787194
3,2020-04-04,3787.810534387084,3467.618394875355,3188.5672682838913,2948.0384546072764,2741.333032865554,3811.207600099734,3491.0730148288594,3209.924836049084,2965.953405577918,2755.0364726444004,3832.9360828445747,3513.553242608383,3231.232594665563,2984.840649587927,2770.752992969864,3853.0811686458173,3534.8876444748635,3252.0282695607443,3003.941978343179,2787.4380013982595,3871.770459505692,3555.0425983042055,3272.088414831576,3022.836867427952,2804.4779944310762,3889.14004985911,3574.049891502859,3291.316830790988,3041.2934146456223,2821.5065495877802,3905.3203826000868,3591.970938559112,3309.686308574702,3059.188351572124,2838.3039518599626,3920.4308724286097,3608.8786886302782,3327.207062753943,3076.46229987367,2854.7400164198993,3934.578462046817,3624.8484293284123,3343.9091484839014,3093.093894090539,2870.740335352565,3947.8579089833456,3639.9531979371445,3359.8324842736392,3109.0844129396623,2886.265755934728,3960.3527775008947,3654.26162428124,3375.021137009173,3124.448461488836,2901.2995957701287,3972.1366560720066,3667.8370673004456,3389.5200526610865,3139.2082356075553,2915.839516947068,3983.2743802852738,3680.737435430921,3403.373215711868,3153.3899569373866,2929.892277550347,3993.8231668183644,3693.0153588656367,3416.622653328245,3167.0216486756563,2943.470298956271,4003.833624354762,3704.7185310033324,3429.307941960224,3180.131752281255,2956.5894003582885
4,2020-04-05,4964.0953677051475,4599.498428501874,4273.918282977618,3987.267375450875,3736.3766669642455,4989.852887644299,4626.029299140917,4298.6596743091695,4008.4550976133096,3752.8762651422207,5013.748712177835,4651.425972611647,4323.311387960042,4030.76613393142,3771.7809302436876,5035.881950672307,4675.49931707038,4347.339978629164,4053.3023866192025,3791.828646108931,5056.39747882529,4698.216083980621,4370.490089664643,4075.5677851829487,3812.279677916687,5075.448639446396,4719.616509092907,4392.654084438703,4097.290529716741,3832.6936152783496,5093.181810855182,4739.7737098715825,4413.8040707593755,4118.327708052238,3852.8076234533733,5109.730633879437,4758.773240861771,4433.955139781275,4138.61197949395,3872.4670687396338,5125.214549280514,4776.702763513739,4453.144945986472,4158.12077996371,3891.5845771765967,5139.739216253284,4793.646938652875,4471.422161588333,4176.858066698059,3910.1151625027956,5153.397685285998,4809.685064883307,4488.839894634354,4194.843277203407,3928.04075059352,5166.271801081102,4824.890169939182,4505.451948264973,4212.10455382697,3945.360360089123,5178.433597362398,4839.328864647611,4521.310734689524,4228.674548938146,3962.0837736795283,5189.94658261431,4853.061584551199,4536.466163724409,4244.58782063653,3978.2274097407726,5200.866881942127,4866.143014282141,4550.965108183413,4259.879223941401,3993.811606719892
5,2020-04-06,6172.908305550839,5772.846796952117,5408.751114838083,5082.735383846257,4793.116914363964,6200.369109993969,5801.73053879624,5436.196088061345,5106.632987507287,4812.002195191916,6225.828684280437,5829.356204842859,5463.516470286113,5131.775377152274,4833.623836545481,6249.396212901239,5855.52142686718,5490.1222351200295,5157.148521467383,4856.533658224239,6271.229058935651,5880.193522946781,5515.73293118342,5182.194047455495,4879.884120774197,6291.493029855932,5903.419430169752,5540.232194673756,5206.607515386823,4903.171886180221,6310.346017772057,5925.281413218285,5563.591963157433,5230.230181315261,4926.097674046328,6327.931941253947,5945.8748252326695,5585.831550254383,5252.988530215143,4948.486389025525,6344.379269837668,5965.296916735693,5606.994957558399,5274.8593863675405,4970.239996578507,6359.8015380527795,5983.64133757022,5627.138080310309,5295.849260226329,4991.308913649763,6374.298649092911,6000.995624115562,5646.321438870333,5315.98188028141,5011.67422561002,6387.958411880452,6017.440260548921,5664.606067631047,5335.290559936377,5031.336418008834,6400.858060032185,6033.0485618774055,5682.051238519209,5353.8134857203695,5050.30812633943,6413.065647256869,6047.886971423658,5698.713262154017,5371.59080331871,5068.609416492947,6424.641283862081,6062.015550737722,5714.644924476424,5388.66282657597,5086.264688171889
6,2020-04-07,7403.965459780995,6975.556573677805,6579.567029258972,6220.0403265122895,5896.673311666577,7432.636719630347,7006.22994233677,6609.1614909094405,6246.166664623599,5917.575726298176,7459.207230369863,7035.550080482308,6638.601889726495,6273.635548589761,5941.492599581795,7483.793386743697,7063.30470036093,6667.2533663990125,6301.337538578985,5966.817931271571,7506.561472459695,7089.461694625036,6694.815736845902,6328.663173573857,5992.612971695299,7527.686193768432,7114.073223200223,6721.165924039107,6355.2814081226625,6018.3213099388995,7547.333660025449,7137.228613570172,6746.275937087341,6381.020737874761,6043.613075197609,7565.655123379509,7159.030758277202,6770.168626846621,6405.80282054009,6068.296129429613,7582.785494809575,7179.584271634095,6792.893193879661,6429.604205036508,6092.263683535575,7598.84392668991,7198.989697494346,6814.511403438186,6452.433701818407,6115.4625118642225,7613.935210071019,7217.340883966635,6835.089774412878,6474.318741038604,6137.873210909394,7628.151407603249,7234.724023840356,6854.695177045588,6495.297036130258,6159.497703687528,7641.573461156928,7251.217561489854,6873.392408217741,6515.411449620032,6180.351210675832,7654.272665570103,7266.892534212285,6891.242925697709,6534.706827452796,6200.457031990282,7666.31197265766,7281.813113157371,6908.304264288143,6553.228061024529,6219.8431309126345
7,2020-04-08,8649.552952818662,8198.529586330942,7776.147843130893,7388.154297414622,7035.498045203078,8679.065526078257,8230.55080565613,7807.439515036267,7416.101130992449,7058.092812675117,8706.408123697727,8261.146718129743,7838.552928721492,7445.4690752880215,7083.9340566423625,8731.70215097092,8290.09762631877,7868.817906376162,7475.0707243421875,7111.283102248702,8755.12009372172,8317.371915850526,7897.918800315054,7504.254980243334,7139.124640513973,8776.842846655327,8343.025733610353,7925.727353498985,7532.669209749002,7166.857822456386,8797.042234591154,8367.153771611604,7952.2157423426615,7560.131642504882,7194.1272601744295,8815.87461124783,8389.864638171073,7977.409707255893,7586.56014399179,7220.726685445305,8833.47936903679,8411.268524435869,8001.362635719668,7611.931174857133,7246.5421326272235,8849.979569162286,8431.47119163829,8024.140996288263,7636.255544098518,7271.517478114577,8865.483403857885,8450.571262130505,8045.8161008022025,7659.563808726426,7295.6330514798365,8880.085895886106,8468.659244990615,8066.459474102829,7681.897364053958,7318.892108808344,8893.87056779429,8485.817461573655,8086.140313782936,7703.302966309639,7341.312150412944,8906.910970102956,8502.120420490752,8104.924173233225,7723.829363142243,7362.9192862023465,8919.272032284642,8517.635397325523,8122.872362623304,7743.525237302334,7383.7445521827985
8,2020-04-09,9905.007527767348,9435.91517086247,8991.614613884334,8579.385713269188,8201.30436295228,9935.094606385705,9468.946819406436,9024.243677594235,8608.816258674859,8225.314404833643,9962.964615322457,9500.499125991619,9056.675083969865,8639.731294842431,8252.764188735611,9988.74233357013,9530.346832063817,9088.210854149096,8670.87985889889,8281.803934438518,10012.604444640747,9558.458687848737,9118.523197503111,8701.576968295041,8311.354291217911,10034.7360405307,9584.893825530315,9147.479818315438,8731.452470523564,8340.777303335046,10055.312827529708,9609.750956358683,9175.053064212992,8760.316308804982,8369.696332914384,10074.494627028183,9633.142972115493,9201.270986709354,8788.08333461063,8397.893395612087,10092.423879792414,9655.184244003929,9226.190301371746,8814.730005694026,8425.248624151158,10109.226307446514,9675.984444406553,9249.88120689673,8840.268820134464,8451.703564691528,10125.012418314098,9695.645775000079,9272.418811795062,8864.732934941265,8477.238407730847,10139.87925179385,9714.261981160105,9293.878324970914,8888.16678987089,8501.857598367524,10153.912089279584,9731.918291382732,9314.332425170647,8910.62035130234,8525.58060818432,10167.186019197006,9748.691817450803,9333.849904067545,8932.14557754795,8548.43595259257,10179.767319781082,9764.652163182991,9352.495055839956,8952.794267008492,8570.457285136696
9,2020-04-10,11169.776254268305,10686.059584987444,10223.276619090773,9790.154319969977,9389.793432704664,11200.261454871788,10719.862553252817,10256.97575543278,9820.80817667924,9414.99689059729,11228.497007647326,10752.145146941448,10290.461852642471,9852.998684307227,9443.802776083145,11254.60999392589,10782.677809121065,10323.014671538576,9885.4224784533,9474.26756736217,11278.77998172084,10811.42952094192,10354.29668388211,9917.36664853036,9505.257908970021,11301.194955731096,10838.461654574416,10384.172340552777,9948.446609961877,9536.104579539779,11322.033302079915,10863.875958847882,10412.614106232777,9978.46548626427,9566.413058186043,11341.457239473306,10887.788571931165,10439.65186442886,10007.335655120547,9595.955520156764,11359.611318258776,10910.3170382896,10465.344979234267,10035.033581452286,9624.6071596414,11376.62310275256,10931.574002797128,10489.766622165065,10061.57316401897,9652.307592714755,11392.604706611479,10951.664389876065,10512.99492998972,10086.989710049897,9679.036923478572,11407.654567877904,10970.684408481586,10535.108051717729,10111.33017480195,9704.800626568944,11421.859188455797,10988.721501568163,10556.181445403763,10134.647175690072,9729.619858843631,11435.294724447587,11005.854764820944,10576.2864890163,10156.995321692591,9753.525183816833,11448.028390863381,11022.155577359052,10595.48986062609,10178.42898282799,9776.552478802312
