,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2020-04-01,568.6590468891694,477.0415627164185,409.6565082078732,358.7969112202621,319.4627175256659,576.6481309440449,483.60997106170004,414.77986387470935,362.59838740060974,322.09747710356874,584.1636345089718,489.98096637406775,419.94388793337447,366.6395351571649,325.1383409352587,591.2158838181286,496.09678585159816,425.03527383186855,370.7617543812471,328.38908361475046,597.8325206006274,501.9378147824207,429.99550100679886,374.8747709899618,331.73315493897104,604.0469705804495,507.5035523116643,434.7958415397592,378.92675771439747,335.0996485642749,609.8932547408727,512.8029811117547,439.4242077320506,382.88831609657444,338.44487287346107,615.4037152230952,517.849535381938,443.87793174964577,386.74348523931,341.741882227889,620.6081176488506,522.6584221479202,448.1596700785102,390.4845038372409,344.9742921417284,625.5334086146025,527.2451899727872,452.27502285225114,394.1086655734915,348.1325047565424,630.2037791296309,531.6249763562106,456.23112632074395,397.61638480907163,351.21134203988066,634.64086177824,535.8121309324135,460.03581277215955,401.0099838726249,354.20852782711313,638.8639760431241,539.8200485868464,463.69710880670283,404.29292155374554,357.12369588808934,642.8903800995531,543.661119556394,467.22293868609734,407.4692974471705,359.95773169735503,646.7355093134647,547.3467435903159,470.62095370682147,410.54353175797473,362.7123302191511
1,2020-04-02,1402.7054506357003,1214.6866703881908,1067.9874021361068,952.2649494969047,859.6918884337247,1418.0549426518264,1228.2418434716412,1079.1383699382584,960.8809314294837,865.8547710187099,1432.4229439141986,1241.332424649144,1090.3377472073553,970.0146806202177,872.9530459583856,1445.8426986129843,1253.8460961381184,1101.3404130015363,979.3047815635941,880.5241054274795,1458.3788271934825,1265.7497447169087,1112.0224506374918,988.5472151895829,888.2941269461827,1470.1050698677316,1277.0492239253529,1122.3254170221342,997.6263337438232,896.0974725940614,1481.0945351942464,1287.769157143743,1132.2270863411088,1006.4778376340989,903.8329337611401,1491.4156210102105,1297.9425010507357,1141.725455458259,1015.0680129311418,911.4388496731694,1501.1305660176674,1307.6050749370158,1150.8297244609034,1023.3816620055807,918.8784089782637,1510.295220296645,1316.7927017170791,1159.5550943711721,1031.4148815128199,926.130688596776,1518.9593608124833,1325.5397555062386,1167.9197223797719,1039.1706399680158,933.1850452839744,1527.1672253564234,1333.8784777988922,1175.942928752893,1046.6560207098803,940.0375282838584,1534.9581073149866,1341.8387153837502,1183.6441451401092,1053.8804805934033,946.6885432012093,1542.3669370218436,1349.4478874015228,1191.0423087869049,1060.8547411548016,953.1413085973376,1549.4248175504092,1356.7310734243645,1198.1555278433605,1067.5900806097177,959.4008246339533
2,2020-04-03,2379.196730786051,2107.819909959432,1886.5951048719794,1705.9760540955288,1557.4943448966135,2400.2027355035057,2127.360074508356,1903.3391900819965,1719.3388096679805,1567.3036056249161,2419.80536365525,2146.174862209078,1920.1125737735429,1733.474773494585,1578.583618402242,2438.0620303544583,2164.109645960619,1936.5492058760467,1747.8213729822894,1590.59367635217,2455.0712510696944,2181.124280775186,1952.4670981759732,1762.0631222978332,1602.896602475022,2470.942168877627,2197.2341855958166,1967.7831753460266,1776.023004082565,1615.2291821133683,2485.7814490784185,2212.4809446683616,1982.4686658172518,1789.6041952323603,1627.4316942395367,2499.6879821827247,2226.9172413388583,1996.5247945881456,1802.7574157288363,1639.407810483617,2512.7511627620624,2240.5990514676955,2009.9691395494117,1815.4619835355813,1651.1009105756875,2525.0507937874204,2253.5816326801696,2022.8278100269117,1827.7145095000194,1662.4796564725805,2536.6576943211808,2265.917542212986,2035.1309056430391,1839.5220000389195,1673.5289786288963,2547.6345694698293,2277.65575227471,2046.9098704387839,1850.8975773005861,1684.2443237512662,2558.0369337024035,2288.841359314446,2058.1959637824693,1861.857791907042,1694.6279200121512,2567.9139923392395,2299.5156097935073,2069.01939869978,1872.4209245061763,1704.6863185834277,2577.3094421610854,2309.716087753736,2079.4088827180917,1882.6059114840389,1714.4287582215545
3,2020-04-04,3441.773818323966,3101.527819580455,2814.7108903740473,2574.055881307143,2371.757862721915,3466.965549996913,3125.896829680728,2836.271626101282,2591.7191377478757,2385.0065066988864,3490.428730161582,3149.313604599451,2857.829410552306,2610.3744614044717,2400.222371909031,3512.241516638163,3171.591870869827,2878.9150679526665,2629.2763618135455,2416.400482918225,3532.529851261423,3192.6882914957087,2899.2983207073466,2648.008948549691,2432.949082739566,3551.430939165867,3212.628218564511,2918.876758860302,2666.3407538382967,2449.513249063819,3569.077740434878,3231.4688063422996,2937.6177665004034,2684.14683638478,2465.878826371789,3585.592852600432,3249.2802215069396,2955.526960198005,2701.3651703587693,2481.917730115864,3601.0866570266903,3266.1359901912288,2972.6305370586383,2717.9713801647795,2497.555649703598,3615.657378181477,3282.1081014758165,2988.96520341381,2733.9636979097136,2512.7523937659635,3629.3919510909072,3297.2646389047104,3004.5723637986666,2749.353813100839,2527.4896265658417,3642.3671736874794,3311.6687693307235,3019.4947634572304,2764.161216320167,2541.7630569769394,3654.650899189165,3325.3784587913765,3033.774570835112,2778.4096645519935,2555.5773795684117,3666.30315958075,3338.446570020885,3047.4523163533413,2792.1249606196848,2568.9429547015384,3677.377177615153,3350.921150103862,3060.5663443136505,2805.3335595950925,2581.8736084121324
4,2020-04-05,4558.932432196223,4162.598677896543,3819.552933357148,3525.270280318065,3273.2621446173916,4587.175102330274,4190.766369986,3845.1232361194016,3546.675465870631,3289.611744016568,4613.446851768542,4217.794983621246,3870.6544529297867,3569.2549592721257,3308.370196806936,4637.842156894997,4243.474686326698,3895.5922372948676,3592.1037358912236,3328.2929263702868,4660.507926987297,4267.760939032057,3919.66718820619,3614.718984049153,3348.6485056745278,4681.60259286108,4290.688062797706,3942.7619496990974,3636.8226587720083,3368.9996095934016,4701.278882607849,4312.326433315553,3964.8417879637623,3658.2662694374494,3389.083578106949,4719.67714130516,4332.760772388393,3985.9169379200266,3678.9776099980404,3408.744391355374,4736.923410668755,4352.079065038409,4006.021602684336,3698.929937348817,3427.8925118367424,4753.1296249359375,4370.366990905593,4025.202015536346,3718.123654008106,3446.480463949568,4768.394686093863,4387.705274288172,4043.5095850189177,3736.5751925106974,3464.4876149927745,4782.805836109456,4404.168592643198,4060.9969601459134,3754.310165086339,3481.9104975326545,4796.440056255688,4419.825313592211,4077.715804153177,3771.3590993362695,3498.756554376004,4809.365375203411,4434.737661696007,4093.715580174267,3787.754772216356,3515.040044238833,4821.64204142209,4448.962095258458,4109.04294054024,3803.5305477201123,3530.7793368285247
5,2020-04-06,5714.871626661787,5272.614682635968,4881.555962922648,4539.908521313892,4242.748996137688,5745.348257308798,5303.763176002858,4910.431549940438,4564.519355486569,4261.839166559917,5773.674656000592,5333.622185708907,4939.2332380267,4590.455623164551,4283.724518522752,5799.957644055711,5361.964016197008,4967.33687061948,4616.67543495144,4306.947856408217,5824.359807622262,5388.743788671519,4994.441404140259,4642.601817691374,4330.654145132545,5847.055376753541,5414.003389931845,5020.417802151619,4667.917339509142,4354.333448187011,5868.211756146081,5437.824012016036,5045.230181497908,4692.453913724687,4377.68064271331,5887.982444148697,5460.302159384435,5068.89311013851,4716.131180503503,4400.515500483274,5906.505073227666,5481.537455410345,5091.447841340931,4738.920891359179,4422.73551919602,5923.9017134854075,5501.626558176679,5112.948841482173,4760.825773795857,4444.287256874188,5940.280106050789,5520.660300261701,5133.45608275519,4781.8667301312,4465.148484961474,5955.735200897579,5538.7225432350115,5153.030641477011,4802.074967559929,4485.316854738842,5970.350711162577,5555.889938563953,5171.73222564234,4821.487114005182,4504.802584618603,5984.200559148463,5572.232154687597,5189.617841981396,4840.142176687505,4523.623683356156,5997.35016824376,5587.812328476386,5206.741139920009,4858.079655378015,4541.80280244502
6,2020-04-07,6898.178393276751,6418.363346874628,5986.454279785771,5603.275318049182,5265.534750812518,6930.26923591515,6451.832654237108,6018.030428110694,5630.601613209659,5287.014268107145,6960.079256711642,6483.893360989255,6049.501314399128,5659.378195393025,5311.623085885277,6987.724391281515,6514.3041827111365,6080.185980830108,5688.447126902636,5337.718063274842,7013.378717927028,6543.020287391134,6109.757886549243,5717.168815134327,5364.3362958551415,7037.228017494247,6570.08972625266,6138.078824526438,5745.192797992651,5390.904698879665,7059.45040841629,6595.602343050117,6165.112318928104,5772.334760509665,5417.08141254919,7080.2089807758375,6619.6640055737935,6190.876782658014,5798.507798016111,5442.665435385712,7099.649812586836,6642.383552896149,6215.4194896535055,5823.682718884353,5467.5433003440585,7117.902354671252,6663.866315735981,6238.801852129158,5847.864514568213,5491.656685744833,7135.080781022581,6684.21109788179,6261.09102179111,5871.078129774611,5514.9822667873495,7151.285648518839,6703.508993205638,6282.355111836156,5893.359731179235,5537.518934631904,7166.605564969481,6721.843168898932,6302.660528408739,5914.751301930801,5559.279561237781,7181.118736137825,6739.289142537372,6322.070544987711,5935.297286137038,5580.2856293312225,7194.8943450931965,6755.915294159409,6340.644613106383,5955.042515909941,5600.563701349692
7,2020-04-08,8100.579943601772,7590.16942092059,7123.6082404948975,6704.184182065724,6330.217565691308,8133.810585375647,7625.42643547455,7157.372295114714,6733.790377072261,6353.759507917882,8164.6675968813615,7659.181968871273,7191.003946211389,6764.94966423568,6380.7173161317405,8193.273454461038,7691.184436930886,7223.776355635307,6796.406603769359,6409.286959689365,8219.81044249636,7721.389209981165,7255.342534495164,6827.46915988212,6438.412360098585,8244.472574377105,7749.849235708933,7285.557065272243,6857.759353962836,6467.466037272958,8267.445596497011,7776.66114800305,7314.383195803106,6887.079484410878,6496.074618598117,8288.899423179597,7801.938131663038,7341.842633479172,6915.337383456752,6524.019401162263,8308.986137934231,7825.796210504503,7367.987683495514,6942.503279769583,6551.17768572415,8327.840437496154,7848.3474660085,7392.885514637076,6968.584253352015,6577.487158644484,8345.581066289622,7869.696899552941,7416.609203131955,6993.608805852357,6602.92374996737,8362.312563396155,7889.941222901131,7439.232652877256,7017.617407662997,6627.487600649646,8378.127011845512,7909.168660629423,7460.8277708491105,7040.656657186998,6651.194031323898,8393.10565773569,7927.459267283816,7481.462969045644,7062.775664184138,6674.067661435516,8407.32035193367,7944.885487377844,7501.2024504164965,7084.023822981509,6696.138549072239
8,2020-04-09,9316.430610339847,8781.23259509421,8285.324942039035,7834.337431880191,7428.147767217066,9350.441833177934,8817.850946935936,8320.849331986572,7865.845898567468,7453.457999623825,9382.015518579356,8852.896457966584,8356.218479027473,7898.991973584473,7482.428568387726,9411.27867925629,8886.10978512781,8390.6687064974,7932.438822844519,7513.117243173319,9438.4192703761,8917.44653922365,8423.836690654507,7965.4507364607925,7544.388019750081,9463.636986815804,8946.963475205095,8455.571336407755,7997.626911451771,7575.566858018699,9487.12283530632,8974.76246569127,8485.835785000372,8028.758625436488,7606.253500541152,9509.051433889159,9000.962324883096,8514.654496779676,8058.749463520659,7636.214221888334,9529.57900385248,9025.684595796358,8542.083912871885,8087.569302495279,7665.318562922881,9548.843855174639,9049.046540536834,8568.195908008036,8115.22708149904,7693.5009344571945,9566.967879384176,9071.157913075824,8593.068387460373,8141.754371040686,7720.7367615844605,9584.058356878744,9092.119730699653,8616.779966195925,8167.1953190580825,7747.027376234487,9600.209762445631,9112.024091991529,8639.407020329743,8191.600448509647,7772.390303451025,9615.50543411107,9130.954525413423,8661.022132158776,8215.022824504893,7796.852943476337,9630.019057918293,9148.986586466932,8681.693357448154,8237.51570071836,7820.448430609054
9,2020-04-10,10542.699994695502,9987.517845486214,9466.717074927948,8988.197179236784,8553.333170082451,10577.230648824068,10025.165742356226,9503.654960107868,9021.290571014772,8580.156390427745,10609.28106780659,10061.186520090832,9540.418764548913,9056.091283672058,8610.848364516753,10638.981305091364,10095.314998603102,9576.215263134553,9091.194643302504,8643.348459047082,10666.523110950662,10127.50700552543,9610.668068942157,9125.828597040318,8676.452260519503,10692.109980529134,10157.822208985315,9643.621585616374,9159.573399232306,8709.445940266756,10715.936438212624,10186.366474250182,9675.038923582419,9192.211227179789,8741.90632102317,10738.180246949143,10213.26289996089,9704.946802807295,9223.642207015442,8773.586919521025,10759.000394195837,10238.637226678116,9733.405028114414,9253.835995142732,8804.350733317053,10778.537605148244,10262.610654693393,9760.489289509684,9282.803144108482,8834.129461209635,10796.915874773355,10285.296549584173,9786.28140085429,9310.577837236715,8862.898178645097,10814.244315464517,10306.799199632873,9810.863786174763,9337.207334494375,8890.659309845738,10830.619000223878,10327.213645991738,9834.316432254886,9362.745469614805,8917.432330254878,10846.124664786563,10346.626055245766,9856.71528870156,9387.248637890669,8943.247075320323,10860.836221214806,10365.114345016467,9878.13152064752,9410.773337931028,8968.139359698516
