,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2020-04-01,1145.7798383705313,1085.4537846488183,1024.27732673872,965.9873307950176,912.2823246046457,1150.0250986821939,1090.576637987046,1029.5280742254072,970.7565614771215,916.1403619706629,1153.888787380132,1095.4163372849525,1034.7137221149426,975.7496117119166,920.544633105253,1157.4029180978762,1099.9452508745314,1039.7234020039243,980.762378911515,925.1961181961826,1160.6044472582428,1104.1660794158477,1044.507436582358,985.6841618421878,929.920640183748,1163.529192946964,1108.0948983602505,1049.0481018226767,990.4561164348067,934.6155950971139,1166.2096595871199,1111.7530108040348,1053.344478190499,995.0489493348558,939.2207486661612,1168.6744933624925,1115.1629963172757,1057.4043440688142,999.4504760219731,943.7015696097551,1170.948602973554,1118.3468266716966,1061.2397405505183,1003.6584676202041,948.0393967074074,1173.0535259850408,1121.3250219338834,1064.8645158796564,1007.6764401224866,952.2254766033094,1175.0078586295351,1124.1163344657605,1068.292965904315,1011.5111320233599,956.2572663839379,1176.8276721169009,1126.7376986033114,1071.5390936927104,1015.1709761290749,960.1360989492646,1178.5268866126148,1129.2043091916346,1074.6162231699695,1018.6651690443177,963.8656877218691,1180.117595189826,1131.5297572534612,1077.536816937319,1022.0031064461829,967.4511593772702,1181.610339323355,1133.7261852093898,1080.3124108756656,1025.1940447923112,970.8984239792069
1,2020-04-02,2392.430561459539,2311.5032609191035,2224.782176819659,2137.841123057695,2053.9921395725473,2397.8791541071078,2318.464598547401,2232.310819933339,2145.021921643513,2060.0606794115115,2402.822168906512,2325.0162683292215,2239.7173812387437,2152.512999176293,2066.9678371314494,2407.304773327463,2331.1252488780647,2246.8454778430714,2160.0061930454262,2074.2389005234363,2411.3776036900667,2336.7994827151815,2253.627608987123,2167.33662886934,2081.5991436136896,2415.0890790260764,2342.064482120086,2260.0422065982875,2174.418620319118,2088.888411203734,2418.482765516929,2346.952211916919,2266.0914885178945,2181.211276431028,2096.0141599971384,2421.596817854242,2351.4957832528676,2271.7896908964026,2187.6993729322157,2102.9246466624095,2424.464246612062,2355.726985780228,2277.1566919548104,2193.88240605972,2109.5931319833458,2427.1134747160954,2359.6752324199547,2282.2145273637616,2199.768190714382,2116.0083316378696,2429.568953868921,2363.3672101242328,2286.985495639443,2205.3690577771026,2122.1685205296726,2431.8517472928975,2366.826877736516,2291.4911535383203,2210.6995750508436,2128.0778317196314,2433.980045850646,2370.0756261695155,2295.7518151192676,2215.7751789997947,2133.743903442455,2435.969610826462,2373.1325052930983,2299.7863364863233,2220.611359738497,2139.176370754149,2437.8341477135505,2376.014468516515,2303.6120614602437,2225.223185827838,2144.385894512406
2,2020-04-03,3665.4691439820735,3575.6183417596144,3476.9860346992214,3375.5713321654425,3275.3075744590133,3671.3984351861636,3583.3631588283224,3485.571476839971,3383.9680039273658,3282.5778447879406,3676.773376146533,3590.6421110922474,3494.0033621269204,3392.712166781245,3290.8396698429838,3681.644328257351,3597.4204602818836,3502.1048322044417,3401.4431667128188,3299.521684968192,3686.0673131559593,3603.708880835489,3509.800915480933,3409.969414574997,3308.2944449229653,3690.095700407819,3609.5373023565,3517.06903121429,3418.1925183742355,3316.967019945652,3693.7773956371084,3614.9425357881432,3523.9135282712195,3426.066599426203,3325.4300681354825,3697.15427956047,3619.962406542503,3530.3522034752073,3433.575701866375,3333.62332978355,3700.262535100443,3624.633054677504,3536.4090307443303,3440.7208991029433,3341.516495775353,3703.1332797562477,3628.9878037803896,3542.1102127124436,3447.5127794233163,3349.097663029077,3705.793256022045,3633.0568086753033,3547.482052840672,3453.967002949019,3356.3662257780043,3708.2654798550184,3636.8670825938802,3552.5498422808873,3460.101654101042,3363.328428170668,3710.5698127324786,3640.442698614844,3557.337317790089,3465.9356643350907,3369.994549010404,3712.7234510877106,3643.805060421684,3561.866441185507,3471.4878822622923,3376.377106596527,3714.7413386562425,3646.9731886030013,3566.1573582353194,3476.7765396414256,3382.4897107527977
3,2020-04-04,4958.235310476751,4863.447339651689,4758.097301743591,4648.2760551832625,4538.141913537115,4964.417322976656,4871.612242060194,4767.265129764766,4657.366703587751,4546.124642614137,4970.019657107923,4879.2814718294585,4776.261739759756,4666.82502367847,4555.188158586101,4975.095297838699,4886.419319480348,4784.899062203093,4676.2604334441285,4564.703556134059,4979.703018666989,4893.037872240394,4793.098081821014,4685.466228133257,4574.3089734502455,4983.898734767137,4899.169380877359,4800.835722108321,4694.336925687235,4583.7953919849315,4987.73259287061,4904.853214121773,4808.117555164238,4702.823958807361,4593.043719619491,4991.248404634102,4910.129691248486,4814.963376549684,4710.911094943555,4601.9888660710385,4994.484001657056,4915.037257169792,4821.39944364304,4718.600427094279,4610.598612043669,4997.471905302147,4919.611309830603,4827.45427384874,4725.904224922467,4618.8608723775305,5000.240054176491,4923.883845431045,4833.156390120254,4732.840128245225,4626.77586519433,5002.812485842441,4927.883500459891,4838.533149534996,4739.428292069715,4634.351222542339,5005.209937345308,4931.635774659571,4843.610179710255,4745.689692667675,4641.598903103788,5007.4503585255925,4935.16332472563,4848.411156321373,4751.645134605239,4648.533229473425,5009.549344082073,4938.4862725145495,4852.957769868339,4757.314685274084,4655.169638074291
4,2020-04-05,6254.631406526905,6156.234659248179,6046.569669725509,5931.547805374616,5815.294657461166,6261.027298616204,6164.677457089489,6056.090053529121,5941.05155016102,5823.706876746542,6266.826944565551,6172.608419012214,6065.430534993389,5950.935705554767,5833.253602265011,6272.0844793509295,6179.990660785897,6074.396152967251,5960.791955084687,5843.271270789561,6276.860127224103,6186.8366726068225,6082.905244790062,5970.404602046528,5853.378529036668,6281.211259454325,6193.179765380699,6090.934208518727,5979.663908873469,5863.355507234011,6285.189371356382,6199.060594698452,6098.489137169861,5988.519652009729,5873.077282727984,6288.839480547024,6204.520792269272,6105.590835686795,5996.955369521111,5882.475890982165,6292.200479670981,6209.600050260515,6112.266766561718,6004.973694551185,5891.51798911312,6295.305816937599,6214.334911905243,6118.546694788697,6012.587832558485,5900.191401106276,6298.184238689591,6218.758406450207,6124.460355064315,6019.816540494143,5908.496853204732,6300.860486664346,6222.900093364995,6130.036242660249,6026.681149320569,5916.4428195327955,6303.355912922709,6226.7862932842345,6135.30103429925,6033.203800971911,5924.04227220084,6305.689005826655,6230.440391625078,6140.279362118927,6039.406417783403,5931.310618718637,6307.875833211388,6233.883157054246,6144.993783126433,6045.3101180358635,5938.264391275971
5,2020-04-06,7567.644554829063,7466.232919915994,7352.9445991670755,7233.704063561626,7112.648111933267,7574.205212709287,7474.909584623159,7362.755905825365,7243.535153838937,7121.389804836858,7580.1548239631575,7483.060376807384,7372.380944133207,7253.75789373659,7131.3081176790465,7585.548779213455,7490.647393703589,7381.618926878235,7263.949914299318,7141.713077916577,7590.448742730942,7497.683464999592,7390.3858489726545,7273.888281173028,7152.208395579812,7594.913477060821,7504.202812673363,7398.657529574693,7283.459731075139,7162.56580561962,7598.9957377032415,7510.24720460152,7406.440368972955,7292.6125691957095,7172.655801625115,7602.741651393573,7515.859411296125,7413.755906308153,7301.330004046896,7182.408090025037,7606.191074311943,7521.080210512322,7420.632521292601,7309.614966565319,7191.788343113054,7609.378287244902,7525.947144804412,7427.100949220846,7317.48129239543,7200.784200827609,7612.332755136663,7530.494146657233,7433.191880190553,7324.948530350673,7209.3966763014,7615.079840508468,7534.751583930616,7438.9347158360715,7332.038865887967,7217.634799132975,7617.641433039386,7538.746497183688,7444.356974859539,7338.775301139671,7225.512240223881,7620.03648812841,7542.502911589814,7449.484062040377,7345.180592474738,7233.045171880194,7622.281480723851,7546.042164180383,7454.3392382746,7351.276649096733,7240.250909265325
6,2020-04-07,8888.009791064116,8784.48108648569,8668.59416797321,8546.287199464796,8421.710529193004,8894.677843785072,8793.316086663299,8678.607928247397,8556.349921830864,8430.68792562103,8900.72531294596,8801.61565557665,8688.430941276063,8566.812255723104,8440.872100997945,8906.208398530427,8809.34121520778,8697.858365615131,8577.241882775072,8451.554192624159,8911.189692661022,8816.505838029954,8706.804569415584,8587.410740979547,8462.327221676163,8915.728853821032,8823.14437357019,8715.24497383728,8597.203066939395,8472.956911162679,8919.879448532594,8829.29935120422,8723.186198358284,8606.56612074013,8483.310468791526,8923.688317010086,8835.014318962936,8730.650298393815,8615.482874988316,8493.315928398637,8927.195935016663,8840.330794424934,8737.66629689538,8623.956469717066,8502.938252141343,8930.437118558815,8845.287000348848,8744.265608961601,8632.001185720464,8512.164943543245,8933.441794384042,8849.917483297257,8750.479593550368,8639.637132028376,8520.997217202648,8936.23572395048,8854.253160265,8756.338286539994,8646.88709905758,8529.444497061877,8938.841142408392,8858.321560415878,8761.869795631143,8653.774698314668,8537.520951722074,8941.277305233487,8862.14714283379,8767.100065919078,8660.32327720669,8545.243298878919,8943.560948978036,8865.751629735483,8772.052850369182,8666.555305561209,8552.62941260905
7,2020-04-08,10211.948701707879,10106.76633549093,9988.925520337281,9864.34171311321,9737.156150742818,10218.701840917725,10115.717407896369,9999.08435852745,9874.569874938365,9746.302576626756,10224.827672525358,10124.126625769568,10009.04961425639,9885.203556890949,9756.677522783903,10230.382868381126,10131.954834995402,10018.61351856993,9895.803345767265,9767.558605567609,10235.430613596836,10139.215203241225,10027.689234937956,9906.137506584595,9778.531187081686,10240.03116126708,10145.942964927897,10036.251856346023,9916.08846989276,9789.356674248724,10244.238628426969,10152.181142800086,10044.308118089919,9925.602725645515,9799.899908040386,10248.100347435802,10157.97380025528,10051.880408284103,9934.663054294739,9810.087710165984,10251.657226876994,10163.362951801038,10058.998178211703,9943.272723037913,9819.884520249652,10254.944460681803,10168.387281239842,10065.693302010623,9951.446310605812,9829.277731177719,10257.992304746609,10173.081754326484,10071.997593996937,9959.204308440803,9838.26869002274,10260.82680733623,10177.477665059263,10077.941524220534,9966.569923601515,9846.867092691069,10263.470453830856,10181.602879761142,10083.553605282466,9973.567189387151,9855.087454884704,10265.942718742344,10185.482158221945,10088.860154926953,9980.219863758837,9862.946876800226,10268.260530795233,10189.137490710747,10093.885266451347,9986.550806995441,9870.463625705443
8,2020-04-09,11533.764978603973,11426.545768452539,11306.798711497144,11180.293164937737,11051.07215237351,11540.65394433648,11435.628943558586,11317.088275062348,11190.651515065709,11060.342883637373,11546.907381551648,11444.16551499716,11327.183660863197,11201.42127727764,11070.858782945816,11552.58215819254,11452.11528723537,11336.874336622557,11212.157522360003,11081.88767673289,11557.741948827797,11459.491151315138,11346.072167571128,11222.625568239346,11093.009335510615,11562.447592407056,11466.328435623522,11354.751718808908,11232.706311547803,11103.981968820915,11566.75379976776,11472.67043133737,11362.919608380496,11242.345503951728,11114.668620541845,11570.708466514074,11478.561544486574,11370.598324884253,11251.525641398053,11124.995149482067,11574.353018857024,11484.044154632613,11377.817531903349,11260.249965856829,11134.92553526893,11577.723118841224,11489.157306477486,11384.609368358078,11268.533176936402,11144.447015122796,11580.849442276689,11493.936309317529,11391.005932586595,11276.395966163474,11153.560963737571,11583.758412662599,11498.412777538051,11397.037979324112,11283.861780133955,11162.277213012338,11586.472850311588,11502.614872704746,11402.734296318451,11290.954907269339,11170.610476162716,11589.012528734314,11506.567624845251,11408.121461859708,11297.699362164962,11178.578083040818,11591.39464400469,11510.293270653327,11413.223812738779,11304.118255013595,11186.198544247789
9,2020-04-10,12867.300588190468,12758.454927660709,12636.773274465684,12508.158271135775,12376.704383067487,12874.263471815893,12767.656101765613,12647.205365652744,12518.666068067556,12386.115072857052,12880.583190197007,12776.30359136423,12657.440967671562,12529.59154250116,12396.789832263366,12886.31735515184,12784.3566332243,12667.266579705805,12540.48335379216,12407.985462770355,12891.530444962296,12791.828253270844,12676.5927817236,12551.10340847543,12419.275401877541,12896.284054710255,12798.754217631074,12685.393724405085,12561.330845558405,12430.414208879372,12900.633568969832,12805.178367477118,12693.67606311479,12571.110591328197,12441.26285343939,12904.627469222574,12811.145679743811,12701.462552635063,12580.424848015815,12451.746064800593,12908.30768559675,12816.699083044989,12708.783230639057,12589.27686704164,12461.827266735898,12911.7103118213,12821.878130788864,12715.670651952923,12597.681527285713,12471.493491170388,12914.866393307593,12826.718594474878,12722.157336525188,12605.659790605381,12480.74612109713,12917.802670510151,12831.252503863609,12728.274447218966,12613.235417921296,12489.595124978023,12920.542236235453,12835.508391708474,12734.051156846703,12620.433027937106,12498.05542713959,12923.105099099996,12839.51161890485,12739.514401425326,12627.276964886156,12506.144608927398,12925.508658711959,12843.28471678304,12744.688847146854,12633.790658441823,12513.881451226978
