,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2020-04-01,1145.7798383705256,1085.4537846488213,1024.2773267387372,965.9873307950262,912.2823246046514,1150.0250986821939,1090.5766379870347,1029.5280742254015,970.7565614771157,916.1403619706514,1153.888787380132,1095.416337284941,1034.713722114937,975.7496117118995,920.5446331052416,1157.4029180978819,1099.94525087452,1039.7234020039186,980.7623789114921,925.1961181961884,1160.604447258237,1104.1660794158363,1044.5074365823293,985.6841618421935,929.9206401837365,1163.5291929469583,1108.0948983602505,1049.0481018226767,990.4561164348012,934.6155950971253,1166.2096595870971,1111.7530108040175,1053.344478190499,995.0489493348557,939.2207486661669,1168.674493362481,1115.1629963172986,1057.4043440688201,999.4504760219788,943.7015696097666,1170.9486029735538,1118.3468266716964,1061.239740550507,1003.658467620181,948.0393967074074,1173.0535259850294,1121.325021933872,1064.8645158796796,1007.6764401224867,952.2254766033211,1175.0078586295467,1124.1163344657375,1068.292965904292,1011.5111320233715,956.2572663839264,1176.8276721169125,1126.7376986033116,1071.5390936927104,1015.1709761290866,960.1360989492183,1178.5268866126148,1129.2043091916114,1074.6162231699925,1018.6651690443177,963.8656877218807,1180.1175951898258,1131.5297572534728,1077.536816937307,1022.0031064461944,967.4511593772702,1181.6103393233434,1133.72618520939,1080.3124108756886,1025.1940447923112,970.8984239792184
1,2020-04-02,2392.430561459545,2311.503260919115,2224.782176819662,2137.841123057721,2053.9921395725646,2397.879154107102,2318.464598547401,2232.310819933339,2145.021921643519,2060.0606794115115,2402.822168906512,2325.0162683292097,2239.717381238749,2152.51299917627,2066.9678371314208,2407.304773327451,2331.12524887807,2246.845477843077,2160.006193045432,2074.2389005234477,2411.3776036900667,2336.799482715187,2253.627608987111,2167.336628869346,2081.599143613713,2415.089079026071,2342.0644821201086,2260.042206598293,2174.4186203191007,2088.888411203734,2418.482765516912,2346.952211916902,2266.0914885179,2181.2112764310227,2096.014159997121,2421.5968178542366,2351.495783252856,2271.7896908964085,2187.6993729322157,2102.9246466623977,2424.464246612062,2355.7269857801994,2277.156691954822,2193.8824060597426,2109.5931319833344,2427.1134747160954,2359.6752324199547,2282.214527363796,2199.7681907143933,2116.008331637881,2429.56895386891,2363.367210124198,2286.9854956394083,2205.3690577770913,2122.1685205296953,2431.8517472928975,2366.8268777365047,2291.4911535383317,2210.699575050855,2128.0778317196196,2433.980045850646,2370.0756261695155,2295.751815119279,2215.7751789997715,2133.743903442455,2435.969610826485,2373.1325052931097,2299.7863364863,2220.6113597385083,2139.1763707541377,2437.834147713562,2376.014468516561,2303.6120614603014,2225.2231858278265,2144.3858945124175
2,2020-04-03,3665.4691439820704,3575.6183417596176,3476.98603469923,3375.5713321654366,3275.3075744590187,3671.398435186161,3583.3631588283424,3485.5714768399744,3383.9680039273885,3282.5778447879525,3676.7733761465415,3590.642111092236,3494.0033621269204,3392.7121667812335,3290.839669842978,3681.6443282573396,3597.420460281895,3502.104832204436,3401.4431667128074,3299.521684968192,3686.0673131559593,3603.708880835489,3509.8009154809097,3409.969414574997,3308.2944449229594,3690.0957004077904,3609.5373023565053,3517.069031214284,3418.1925183742414,3316.967019945652,3693.777395637091,3614.9425357881087,3523.9135282712255,3426.066599426203,3325.43006813546,3697.15427956047,3619.9624065424914,3530.352203475219,3433.575701866369,3333.62332978355,3700.2625351004544,3624.633054677498,3536.4090307443184,3440.7208991029433,3341.516495775365,3703.1332797562304,3628.987803780378,3542.110212712455,3447.5127794233276,3349.097663029077,3705.7932560220684,3633.0568086752687,3547.482052840649,3453.967002949019,3356.3662257780043,3708.265479855053,3636.8670825938684,3552.549842280888,3460.101654101042,3363.3284281706565,3710.5698127324786,3640.442698614821,3557.337317790089,3465.9356643351134,3369.9945490104155,3712.723451087745,3643.8050604216955,3561.866441185461,3471.487882262281,3376.377106596527,3714.741338656231,3646.9731886030013,3566.157358235331,3476.7765396414484,3382.4897107527745
3,2020-04-04,4958.2353104767535,4863.4473396517005,4758.097301743605,4648.276055183257,4538.141913537115,4964.417322976647,4871.612242060197,4767.265129764761,4657.366703587762,4546.124642614142,4970.019657107911,4879.281471829441,4776.261739759773,4666.825023678452,4555.18815858609,4975.095297838704,4886.419319480359,4784.899062203099,4676.2604334441285,4564.70355613407,4979.703018666978,4893.037872240394,4793.098081821003,4685.466228133245,4574.308973450239,4983.89873476712,4899.169380877353,4800.835722108326,4694.33692568724,4583.795391984926,4987.732592870592,4904.853214121756,4808.117555164238,4702.82395880735,4593.043719619484,4991.24840463412,4910.129691248491,4814.963376549689,4710.911094943555,4601.988866071028,4994.484001657073,4915.037257169786,4821.399443643047,4718.600427094279,4610.598612043681,4997.471905302159,4919.6113098305805,4827.454273848763,4725.9042249224785,4618.860872377541,5000.240054176503,4923.883845430988,4833.1563901202435,4732.8401282451905,4626.775865194319,5002.812485842453,4927.8835004598795,4838.533149535019,4739.428292069715,4634.351222542316,5005.20993734532,4931.635774659549,4843.610179710255,4745.689692667652,4641.598903103799,5007.450358525616,4935.163324725654,4848.411156321362,4751.645134605228,4648.533229473425,5009.549344082038,4938.4862725145495,4852.957769868385,4757.314685274049,4655.169638074268
4,2020-04-05,6254.631406526899,6156.234659248194,6046.569669725523,5931.547805374621,5815.294657461178,6261.027298616204,6164.6774570894795,6056.090053529118,5941.0515501610425,5823.706876746542,6266.826944565553,6172.608419012208,6065.430534993396,5950.935705554743,5833.253602264982,6272.084479350924,6179.9906607859075,6074.396152967256,5960.791955084653,5843.271270789554,6276.860127224091,6186.836672606816,6082.905244790039,5970.404602046528,5853.378529036668,6281.211259454337,6193.179765380711,6090.934208518715,5979.663908873464,5863.355507234022,6285.189371356359,6199.060594698423,6098.4891371698905,5988.519652009752,5873.077282727962,6288.839480547024,6204.520792269295,6105.590835686818,5996.955369521117,5882.475890982165,6292.200479670998,6209.600050260526,6112.266766561701,6004.973694551209,5891.517989113109,6295.305816937599,6214.334911905243,6118.546694788732,6012.587832558485,5900.191401106299,6298.184238689591,6218.758406450195,6124.460355064315,6019.816540494119,5908.496853204744,6300.860486664346,6222.900093364995,6130.036242660238,6026.681149320569,5916.442819532773,6303.35591292272,6226.786293284188,6135.301034299285,6033.203800971911,5924.042272200851,6305.689005826679,6230.440391625089,6140.279362118938,6039.406417783414,5931.310618718648,6307.875833211365,6233.8831570542925,6144.993783126444,6045.310118035875,5938.264391275994
5,2020-04-06,7567.644554829043,7466.232919916011,7352.94459916707,7233.704063561638,7112.64811193326,7574.205212709289,7474.90958462315,7362.75590582535,7243.535153838931,7121.389804836846,7580.154823963148,7483.06037680739,7372.380944133235,7253.757893736561,7131.308117679036,7585.548779213438,7490.647393703601,7381.618926878235,7263.949914299313,7141.713077916584,7590.448742730942,7497.683464999581,7390.385848972625,7273.888281173023,7152.2083955798225,7594.913477060809,7504.202812673363,7398.657529574693,7283.459731075121,7162.565805619626,7598.99573770323,7510.247204601497,7406.440368972962,7292.6125691957095,7172.655801625103,7602.741651393579,7515.859411296107,7413.755906308153,7301.330004046913,7182.408090025032,7606.191074311955,7521.080210512334,7420.632521292589,7309.614966565307,7191.788343113065,7609.378287244907,7525.94714480439,7427.1009492208805,7317.48129239543,7200.784200827609,7612.332755136663,7530.494146657198,7433.191880190542,7324.948530350662,7209.3966763014,7615.079840508457,7534.751583930604,7438.934715836094,7332.038865887967,7217.634799132975,7617.641433039409,7538.746497183688,7444.356974859539,7338.775301139671,7225.512240223892,7620.036488128434,7542.502911589802,7449.484062040377,7345.1805924747605,7233.045171880182,7622.281480723839,7546.042164180418,7454.3392382746115,7351.2766490967215,7240.250909265336
6,2020-04-07,8888.009791064116,8784.481086485685,8668.594167973222,8546.287199464809,8421.710529193015,8894.677843785066,8793.316086663322,8678.607928247387,8556.34992183087,8430.687925621043,8900.725312945971,8801.615655576643,8688.430941276069,8566.812255723093,8440.87210099794,8906.208398530427,8809.341215207774,8697.858365615137,8577.241882775055,8451.554192624171,8911.189692661015,8816.50583802993,8706.804569415555,8587.410740979542,8462.327221676152,8915.728853821027,8823.144373570172,8715.244973837272,8597.203066939395,8472.956911162697,8919.87944853257,8829.299351204201,8723.186198358295,8606.56612074013,8483.31046879152,8923.688317010081,8835.014318962936,8730.65029839382,8615.482874988335,8493.315928398613,8927.195935016669,8840.330794424928,8737.666296895362,8623.956469717088,8502.938252141366,8930.437118558786,8845.287000348848,8744.265608961636,8632.001185720464,8512.164943543268,8933.441794384053,8849.917483297211,8750.479593550355,8639.637132028376,8520.997217202648,8936.235723950493,8854.253160264978,8756.33828653996,8646.88709905758,8529.444497061877,8938.841142408402,8858.321560415854,8761.869795631143,8653.774698314668,8537.520951722097,8941.277305233521,8862.14714283379,8767.100065919043,8660.323277206655,8545.24329887893,8943.56094897807,8865.751629735507,8772.052850369158,8666.55530556122,8552.629412609038
7,2020-04-08,10211.948701707874,10106.766335490942,9988.925520337285,9864.341713113205,9737.156150742825,10218.70184091772,10115.717407896376,9999.084358527443,9874.56987493836,9746.302576626756,10224.827672525355,10124.126625769557,10009.049614256402,9885.203556890938,9756.677522783903,10230.382868381126,10131.954834995426,10018.61351856993,9895.803345767265,9767.558605567627,10235.430613596824,10139.21520324122,10027.689234937974,9906.13750658459,9778.531187081679,10240.031161267074,10145.942964927903,10036.251856346005,9916.088469892755,9789.356674248716,10244.238628426934,10152.181142800067,10044.30811808994,9925.602725645504,9799.899908040405,10248.100347435795,10157.97380025528,10051.880408284122,9934.663054294768,9810.087710165977,10251.657226877,10163.362951801046,10058.998178211697,9943.272723037913,9819.884520249641,10254.944460681798,10168.387281239819,10065.6933020106,9951.446310605823,9829.277731177732,10257.992304746598,10173.08175432645,10071.997593996937,9959.204308440781,9838.268690022727,10260.82680733623,10177.47766505925,10077.941524220545,9966.569923601515,9846.867092691047,10263.47045383088,10181.602879761107,10083.553605282445,9973.567189387164,9855.087454884715,10265.942718742355,10185.482158221956,10088.860154926932,9980.219863758824,9862.94687680025,10268.260530795222,10189.13749071077,10093.885266451358,9986.550806995407,9870.463625705454
8,2020-04-09,11533.76497860397,11426.545768452539,11306.79871149716,11180.293164937755,11051.072152373534,11540.653944336489,11435.628943558586,11317.088275062337,11190.651515065723,11060.342883637373,11546.907381551651,11444.165514997161,11327.18366086321,11201.421277277626,11070.858782945797,11552.582158192528,11452.115287235376,11336.874336622534,11212.157522359985,11081.887676732878,11557.741948827803,11459.491151315133,11346.072167571105,11222.625568239357,11093.00933551058,11562.447592407056,11466.328435623527,11354.751718808895,11232.706311547816,11103.981968820928,11566.753799767741,11472.67043133736,11362.919608380484,11242.345503951728,11114.668620541832,11570.708466514063,11478.561544486609,11370.598324884266,11251.52564139806,11124.995149482078,11574.353018857024,11484.044154632613,11377.817531903325,11260.24996585684,11134.925535268909,11577.723118841224,11489.157306477486,11384.60936835809,11268.533176936402,11144.447015122796,11580.8494422767,11493.936309317505,11391.005932586595,11276.395966163487,11153.56096373756,11583.758412662623,11498.412777538075,11397.037979324123,11283.861780133966,11162.277213012327,11586.472850311577,11502.614872704722,11402.734296318462,11290.954907269315,11170.610476162716,11589.012528734314,11506.567624845273,11408.121461859686,11297.699362164973,11178.578083040818,11591.39464400469,11510.293270653303,11413.223812738803,11304.118255013595,11186.198544247824
9,2020-04-10,12867.300588190466,12758.454927660718,12636.7732744657,12508.158271135797,12376.704383067492,12874.263471815893,12767.65610176563,12647.205365652733,12518.666068067563,12386.115072857041,12880.583190196996,12776.303591364207,12657.440967671562,12529.591542501154,12396.789832263332,12886.317355151852,12784.3566332243,12667.266579705789,12540.483353792166,12407.985462770348,12891.530444962309,12791.82825327085,12676.592781723577,12551.103408475441,12419.275401877536,12896.284054710255,12798.754217631087,12685.393724405085,12561.330845558388,12430.414208879372,12900.633568969826,12805.178367477105,12693.676063114784,12571.110591328204,12441.262853439366,12904.62746922255,12811.145679743806,12701.462552635063,12580.424848015826,12451.746064800569,12908.307685596757,12816.699083044978,12708.783230639068,12589.276867041652,12461.827266735887,12911.710311821305,12821.878130788864,12715.670651952945,12597.681527285735,12471.49349117041,12914.866393307604,12826.718594474878,12722.157336525177,12605.659790605358,12480.746121097152,12917.802670510138,12831.25250386362,12728.274447218988,12613.235417921296,12489.595124977988,12920.542236235464,12835.508391708461,12734.05115684668,12620.433027937117,12498.055427139625,12923.10509910002,12839.511618904884,12739.514401425326,12627.27696488618,12506.144608927398,12925.50865871197,12843.284716783075,12744.688847146876,12633.790658441823,12513.881451227
