,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2020-04-01,113000722.34095311,113000813.95843728,113000881.3434918,113000932.20308878,113000971.53728247,113000714.35186906,113000807.39002894,113000876.22013612,113000928.4016126,113000968.90252289,113000706.83636549,113000801.01903363,113000871.05611207,113000924.36046484,113000965.86165906,113000699.78411618,113000794.90321414,113000865.96472616,113000920.23824562,113000962.61091639,113000693.1674794,113000789.06218521,113000861.00449899,113000916.12522902,113000959.26684506,113000686.95302942,113000783.49644768,113000856.20415846,113000912.07324229,113000955.90035143,113000681.10674526,113000778.19701889,113000851.57579227,113000908.1116839,113000952.55512713,113000675.59628478,113000773.15046462,113000847.12206826,113000904.25651476,113000949.25811777,113000670.39188235,113000768.34157786,113000842.84032992,113000900.51549616,113000946.02570786,113000665.46659139,113000763.75481002,113000838.72497715,113000896.89133443,113000942.86749524,113000660.79622087,113000759.37502365,113000834.76887368,113000893.3836152,113000939.78865796,113000656.35913822,113000755.18786907,113000830.96418723,113000889.99001613,113000936.79147217,113000652.13602395,113000751.17995141,113000827.3028912,113000886.70707844,113000933.8763041,113000648.1096199,113000747.33888045,113000823.77706131,113000883.53070255,113000931.0422683,113000644.2644907,113000743.65325642,113000820.37904629,113000880.45646824,113000928.28766978
1,2020-04-02,112999888.29454936,113000076.3133296,113000223.01259786,113000338.7350505,113000431.30811156,112999872.94505735,113000062.75815652,113000211.86163007,113000330.11906858,113000425.14522898,112999858.57705608,113000049.66757534,113000200.6622528,113000320.98531938,113000418.04695404,112999845.15730138,113000037.15390386,113000189.659587,113000311.69521843,113000410.47589457,112999832.6211728,113000025.25025529,113000178.97754936,113000302.4527848,113000402.70587306,112999820.89493014,113000013.95077607,113000168.67458297,113000293.37366626,113000394.9025274,112999809.90546481,113000003.23084286,113000158.77291366,113000284.52216236,113000387.16706625,112999799.58437899,112999993.05749895,113000149.27454454,113000275.93198706,113000379.56115033,112999789.86943398,112999983.39492506,113000140.17027554,113000267.61833799,113000372.12159102,112999780.7047797,112999974.20729828,113000131.44490562,113000259.58511849,113000364.8693114,112999772.04063919,112999965.46024449,113000123.08027762,113000251.82936004,113000357.81495471,112999763.83277464,112999957.1215222,113000115.05707125,113000244.34397928,113000350.96247172,112999756.04189269,112999949.16128461,113000107.35585485,113000237.11951941,113000344.3114568,112999748.63306297,112999941.5521126,113000099.95769121,113000230.14525884,113000337.85869141,112999741.57518245,112999934.26892658,113000092.84447215,113000223.4099194,113000331.59917536
2,2020-04-03,112998911.80326921,112999183.18009004,112999404.40489513,112999585.0239459,112999733.50565511,112998890.7972645,112999163.6399255,112999387.66080992,112999571.66119033,112999723.69639437,112998871.19463634,112999144.8251378,112999370.88742623,112999557.5252265,112999712.4163816,112998852.93796964,112999126.89035404,112999354.45079413,112999543.17862701,112999700.40632364,112998835.92874894,112999109.87571922,112999338.53290182,112999528.9368777,112999688.10339752,112998820.05783112,112999093.76581441,112999323.21682465,112999514.97699592,112999675.77081789,112998805.21855092,112999078.51905534,112999308.53133418,112999501.39580476,112999663.56830576,112998791.31201781,112999064.08275867,112999294.4752054,112999488.24258427,112999651.59218952,112998778.24883723,112999050.40094854,112999281.03086045,112999475.53801647,112999639.89908943,112998765.94920622,112999037.41836733,112999268.17218997,112999463.2854905,112999628.52034353,112998754.34230568,112999025.08245778,112999255.86909436,112999451.47799996,112999617.47102137,112998743.36543053,112999013.34424773,112999244.09012955,112999440.1024227,112999606.75567625,112998732.9630663,112999002.15864068,112999232.80403621,112999429.1422081,112999596.37207998,112998723.08600765,112998991.4843902,112999221.9806013,112999418.5790755,112999586.31368142,112998713.69055784,112998981.28391224,112999211.59111728,112999408.39408852,112999576.57124178
3,2020-04-04,112997849.22618167,112998189.47218043,112998476.28910963,112998716.9441187,112998919.24213728,112997824.03445001,112998165.10317032,112998454.7283739,112998699.28086226,112998905.9934933,112997800.57126984,112998141.6863954,112998433.17058945,112998680.6255386,112998890.7776281,112997778.75848337,112998119.40812913,112998412.08493204,112998661.72363819,112998874.59951708,112997758.47014874,112998098.31170851,112998391.70167929,112998642.99105145,112998858.05091727,112997739.56906083,112998078.37178144,112998372.12324114,112998624.65924616,112998841.48675093,112997721.92225957,112998059.53119366,112998353.3822335,112998606.85316361,112998825.12117364,112997705.4071474,112998041.7197785,112998335.4730398,112998589.63482964,112998809.08226988,112997689.91334297,112998024.86400981,112998318.36946294,112998573.02861984,112998793.4443503,112997675.34262182,112998008.89189853,112998302.03479658,112998557.03630209,112998778.24760623,112997661.60804892,112997993.7353611,112998286.4276362,112998541.6461869,112998763.51037343,112997648.63282631,112997979.33123067,112998271.50523654,112998526.83878368,112998749.23694302,112997636.34910081,112997965.6215412,112998257.22542916,112998512.59033544,112998735.42262043,112997624.69684042,112997952.55342998,112998243.54768364,112998498.87503938,112998722.0570453,112997613.62282239,112997940.0788499,112998230.43365568,112998485.6664404,112998709.12639159
4,2020-04-05,112996732.06756781,112997128.4013221,112997471.44706665,112997765.72971968,112998017.73785539,112996703.82489768,112997100.23363002,112997445.87676388,112997744.32453413,112998001.38825598,112996677.55314822,112997073.20501637,112997420.34554707,112997721.74504073,112997982.6298032,112996653.1578431,112997047.52531368,112997395.4077627,112997698.8962641,112997962.70707363,112996630.49207301,112997023.23906097,112997371.33281179,112997676.28101595,112997942.35149433,112996609.39740714,112997000.3119372,112997348.2380503,112997654.17734122,112997922.00039041,112996589.72111739,112996978.67356668,112997326.15821204,112997632.73373057,112997901.91642189,112996571.32285869,112996958.23922761,112997305.08306208,112997612.02239001,112997882.25560865,112996554.07658933,112996938.92093496,112997284.97839731,112997592.07006265,112997863.10748817,112996537.87037507,112996920.63300909,112997265.79798447,112997572.87634599,112997844.51953605,112996522.60531391,112996903.29472572,112997247.49041498,112997554.42480749,112997826.51238501,112996508.19416389,112996886.83140735,112997230.00303985,112997536.68983491,112997809.08950247,112996494.55994375,112996871.1746864,112997213.28419584,112997519.64090066,112997792.24344562,112996481.6346248,112996856.26233831,112997197.28441982,112997503.24522778,112997775.95995577,112996469.35795859,112996842.03790474,112997181.95705946,112997487.46945228,112997760.22066317
5,2020-04-06,112995576.12837334,112996018.38531737,112996409.44403708,112996751.09147869,112997048.25100386,112995545.6517427,112995987.23682399,112996380.56845006,112996726.48064451,112997029.16083343,112995517.325344,112995957.3778143,112996351.76676197,112996700.54437684,112997007.27548148,112995491.04235594,112995929.0359838,112996323.66312937,112996674.32456505,112996984.05214359,112995466.64019237,112995902.25621133,112996296.55859587,112996648.3981823,112996960.34585486,112995443.94462325,112995876.99661008,112996270.58219784,112996623.0826605,112996936.66655181,112995422.78824386,112995853.17598799,112996245.7698185,112996598.54608628,112996913.31935729,112995403.01755585,112995830.69784062,112996222.10688986,112996574.86881949,112996890.48449951,112995384.49492677,112995809.46254459,112996199.55215865,112996552.07910864,112996868.2644808,112995367.09828651,112995789.37344183,112996178.05115852,112996530.17422621,112996846.71274312,112995350.71989395,112995770.33969975,112996157.54391724,112996509.13326988,112996825.85151504,112995335.2647991,112995752.27745676,112996137.96935852,112996488.92503244,112996805.68314525,112995320.64928883,112995735.11006144,112996119.26777436,112996469.51288599,112996786.19741538,112995306.79944085,112995718.76784532,112996101.38215801,112996450.85782331,112996767.37631664,112995293.64983176,112995703.18767153,112996084.25886008,112996432.92034462,112996749.19719756
6,2020-04-07,112994392.82160673,112994872.63665313,112995304.54572022,112995687.72468194,112996025.46524918,112994360.73076409,112994839.16734576,112995272.96957189,112995660.39838679,112996003.9857319,112994330.92074329,112994807.10663901,112995241.4986856,112995631.62180461,112995979.37691411,112994303.27560872,112994776.69581729,112995210.81401917,112995602.5528731,112995953.28193672,112994277.62128207,112994747.9797126,112995181.24211346,112995573.83118486,112995926.66370414,112994253.7719825,112994720.91027375,112995152.92117548,112995545.80720201,112995900.09530112,112994231.54959159,112994695.39765695,112995125.88768107,112995518.66523948,112995873.91858745,112994210.79101923,112994671.33599442,112995100.12321734,112995492.49220198,112995848.33456461,112994191.3501874,112994648.6164471,112995075.58051035,112995467.31728111,112995823.45669965,112994173.09764533,112994627.13368426,112995052.19814788,112995443.13548543,112995799.34331426,112994155.91921897,112994606.78890212,112995029.90897821,112995419.92187023,112995776.01773322,112994139.71435148,112994587.49100679,112995008.64488816,112995397.64026882,112995753.48106536,112994124.39443503,112994569.1568311,112994988.3394716,112995376.24869807,112995731.72043876,112994109.88126387,112994551.71085747,112994968.92945501,112995355.70271386,112995710.71437067,112994096.10565491,112994535.08470584,112994950.3553869,112995335.9574841,112995690.43629865
7,2020-04-08,112993190.4200564,112993700.83057907,112994167.3917595,112994586.81581794,112994960.78243431,112993157.18941462,112993665.57356453,112994133.62770489,112994557.20962293,112994937.24049208,112993126.33240312,112993631.81803113,112994099.99605379,112994526.05033576,112994910.28268386,112993097.72654554,112993599.81556307,112994067.22364436,112994494.59339623,112994881.7130403,112993071.18955751,112993569.61079001,112994035.6574655,112994463.53084011,112994852.5876399,112993046.52742562,112993541.15076429,112994005.44293472,112994433.24064603,112994823.53396273,112993023.5544035,112993514.338852,112993976.6168042,112994403.92051558,112994794.9253814,112993002.10057682,112993489.06186834,112993949.15736651,112994375.66261654,112994766.98059884,112992982.01386206,112993465.2037895,112993923.01231651,112994348.49672022,112994739.82231428,112992963.1595625,112993442.652534,112993898.11448537,112994322.41574664,112994713.51284136,112992945.4189337,112993421.30310045,112993874.39079687,112994297.39119415,112994688.07625003,112992928.68743661,112993401.0587771,112993851.76734713,112994273.38259234,112994663.51239935,112992912.87298815,112993381.83133937,112993830.17222916,112994250.34334281,112994639.80596867,112992897.89434226,112993363.54073271,112993809.53703095,112994228.22433582,112994616.93233857,112992883.67964807,112993346.11451262,112993789.79754959,112994206.97617702,112994594.86145093
8,2020-04-09,112991974.56938966,112992509.7674049,112993005.67505796,112993456.66256812,112993862.85223278,112991940.55816682,112992473.14905307,112992970.15066801,112993425.15410143,112993837.54200038,112991908.98448142,112992438.10354203,112992934.78152098,112993392.00802642,112993808.5714316,112991879.72132075,112992404.89021488,112992900.33129351,112993358.56117715,112993777.88275683,112991852.58072962,112992373.55346078,112992867.16330935,112993325.54926354,112993746.61198024,112991827.36301318,112992344.03652479,112992835.4286636,112993293.37308855,112993715.43314198,112991803.87716469,112992316.23753431,112992805.164215,112993262.24137457,112993684.74649946,112991781.94856611,112992290.03767511,112992776.34550323,112993232.25053649,112993654.7857781,112991761.42099614,112992265.3154042,112992748.91608712,112993203.4306975,112993625.68143708,112991742.15614483,112992241.95345946,112992722.80409199,112993175.77291851,112993597.49906555,112991724.03212062,112992219.84208693,112992697.93161254,112993149.24562895,112993570.26323842,112991706.94164312,112992198.8802693,112992674.22003381,112993123.80468094,112993543.97262377,112991690.79023756,112992178.97590801,112992651.59297967,112993099.3995515,112993518.60969655,112991675.49456589,112992160.04547459,112992629.97786784,112993075.97717549,112993494.14705652,112991660.98094209,112992142.01341353,112992609.30664255,112993053.48429929,112993470.55156939
9,2020-04-10,112990748.3000053,112991303.48215452,112991824.28292507,112992302.80282076,112992737.66682991,112990713.76935117,112991265.83425765,112991787.34503989,112992269.70942898,112992710.84360957,112990681.7189322,112991229.81347992,112991750.58123545,112992234.90871632,112992680.15163548,112990652.0186949,112991195.6850014,112991714.78473687,112992199.8053567,112992647.65154095,112990624.47688904,112991163.49299447,112991680.33193105,112992165.17140296,112992614.54773948,112990598.89001948,112991133.17779101,112991647.37841438,112992131.42660077,112992581.55405973,112990575.06356178,112991104.63352574,112991615.96107642,112992098.78877282,112992549.09367898,112990552.81975305,112991077.73710003,112991586.05319719,112992067.35779299,112992517.41308048,112990531.9996058,112991052.36277333,112991557.59497188,112992037.16400486,112992486.64926669,112990512.46239485,112991028.3893453,112991530.5107105,112992008.19685589,112992456.87053879,112990494.08412522,112991005.70345041,112991504.71859914,112991980.42216276,112992428.10182135,112990476.75568454,112990984.20080037,112991480.13621382,112991953.79266551,112992400.34069015,112990460.38099977,112990963.786354,112991456.68356775,112991928.25453039,112992373.56766975,112990444.87533522,112990944.37394476,112991434.2847113,112991903.75136212,112992347.75292468,112990430.16377878,112990925.88565499,112991412.86847936,112991880.22666207,112992322.8606403
