,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2020-04-01,665.9543931508958,567.7390077088761,493.1695288489441,435.6148679198938,390.3660781129919,674.3413325110721,574.9032823154087,498.90709133795923,439.9540934309579,393.41690492467967,682.2046687869318,581.8343166421054,504.6789607120037,444.5603132665267,396.93442954027347,689.5599113096144,588.4711000745368,510.3585761919332,449.25194397063103,400.6905372814395,696.4401510713808,594.7944240621913,515.881293021145,453.92604834321435,404.5499550412401,702.8838899375128,600.8058174751972,521.2160246070343,458.5238988931447,408.4306075920782,708.9296510077169,606.5169335732355,526.3503363428243,463.0125103706136,412.2821229885802,714.613681393028,611.9440374207444,531.2822788404674,467.374277428576,416.07361561739896,719.9690997878749,617.1050955982389,536.0157689594985,471.60094376747594,419.78646843018214,725.0257208313632,622.0182396569184,540.5579152520986,475.6899869916272,423.4099298300974,729.8101874730149,626.700972967381,544.9174446810707,479.642399638707,426.938355013164,734.3462313770383,631.1697863174462,549.1037699560011,483.46130168217,430.3694388359067,738.6549734478538,635.4399996350306,553.1264375286654,487.1510609122466,433.7030628531838,742.7552224815245,639.5257280332127,556.9948055018647,490.716730190327,436.94053177144605,746.6637530753871,643.4399146634203,560.7178619850251,494.16368598148,440.08406177927407
1,2020-04-02,1596.4936860755602,1406.4498876808266,1252.9056432923444,1128.5846353169636,1027.1196899237896,1611.6964890292331,1420.4266547202126,1264.7498618519342,1137.9455992471003,1033.934830729571,1625.8795297599138,1433.8870653287277,1276.6192545906767,1147.8522714257576,1041.7746429521237,1639.0847295431447,1446.71990538566,1288.254518175866,1157.9107461754884,1050.1251573204586,1651.3838002126463,1458.8959143349823,1299.5263625687762,1167.8998029874228,1058.6827977539172,1662.8561403383776,1470.4256737684632,1310.3754384509875,1177.6950426566234,1067.2645741759643,1673.5793277521125,1481.3385764052782,1320.7808499358403,1187.2281849734907,1075.759258546041,1683.6252770194046,1491.6720357885692,1330.742984812855,1196.4642566982227,1084.099604437133,1693.058991859578,1501.4658868985266,1340.2738678543355,1205.3883487989326,1092.2459374677385,1701.938497434407,1510.759503236655,1349.3916239063876,1213.9977085818712,1100.1761575096855,1710.315283132321,1519.590367346458,1358.1172581246244,1222.2969106867733,1107.8794887619374,1718.2349357478597,1527.9934286762455,1366.4727761936854,1230.2948573323938,1115.3524887536798,1725.7378112919919,1536.0008882756754,1374.4800949103185,1238.0028921955734,1122.596455020885,1732.8596763065107,1543.6422115625332,1382.16042581883,1245.4336062599073,1129.615716352135,1739.6322903337295,1550.944258090301,1389.5339444940912,1252.6000808649333,1136.4164947930572
2,2020-04-03,2655.166281687249,2392.0319447881257,2169.9272767682064,1983.591571168614,1827.0560901886925,2675.185434007062,2411.387774085429,2187.0181865680947,1997.559510729073,1837.50845989691,2693.808516271015,2429.9745673097977,2204.100442606412,2012.3092070421094,1849.5118330098835,2711.1017137967497,2447.645761927876,2220.802253723427,2027.250840869119,1862.2730454542193,2727.168645811927,2464.3684766037177,2236.9415303397454,2042.0555138522645,1875.3250956111497,2742.1212944170557,2480.164318906511,2252.4376674428026,2056.540314059574,1888.3879311189642,2756.067735575601,2495.0800060077286,2267.2654089250013,2070.606641844147,1901.2926181019807,2769.1073595599337,2509.172420746666,2281.4297805402243,2084.205680244951,1913.9381640658505,2781.3294784661525,2522.5009508330677,2294.9520761596423,2097.3183917920737,1926.2660212525395,2792.8134434788844,2535.123616096976,2307.8618670651354,2109.943610075957,1938.2445699357033,2803.62939240353,2547.0952062589618,2320.192395340267,2122.0907971365154,1949.8594366712668,2813.8392124613965,2558.4664963145547,2331.9779155549745,2133.7755674786345,1961.1073278646659,2823.4975255709155,2569.2840375628075,2343.252179260526,2145.0168919822017,1971.9920361582213,2832.6526111994976,2579.5902495517735,2354.0475987128043,2155.8353420852454,1982.521819823132,2841.347234559135,2589.423660936356,2364.39481721921,2166.2519886809714,1992.7076662735685
3,2020-04-04,3787.810534387084,3467.6183948738835,3188.5672682831555,2948.0384546050686,2741.333032857827,3811.2076000971583,3491.073014824812,3209.9248360439333,2965.9534055723993,2755.036472641457,3832.936082843103,3513.553242606911,3231.23259465894,2984.8406495816726,2770.752992965449,3853.0811686450816,3534.88764447192,3252.0282695596406,3003.9419783402354,2787.43800139458,3871.770459505324,3555.04259830163,3272.088414826425,3022.8368674246403,2804.477994427397,3889.1400498569024,3574.049891496972,3291.316830786205,3041.2934146441507,2821.5065495818935,3905.3203825960395,3591.970938559112,3309.6863085713903,3059.1883515673408,2838.303951857755,3920.430872421619,3608.8786886243915,3327.207062751735,3076.4622998703585,2854.7400164191636,3934.5784620438735,3624.8484293254687,3343.9091484794862,3093.093894084652,2870.7403353496215,3947.8579089789305,3639.9531979327294,3359.8324842703278,3109.0844129326715,2886.2657559325203,3960.352777499423,3654.2616242779286,3375.0211370054935,3124.4484614866283,2901.299595764242,3972.13665606612,3667.8370672938227,3389.5200526588787,3139.2082356016685,2915.8395169389737,3983.274380277547,3680.737435430921,3403.3732157089244,3153.389956935915,2929.8922775488754,3993.823166816893,3693.0153588619573,3416.622653319783,3167.021648671241,2943.4702989533275,4003.8336243518183,3704.7185310033324,3429.3079419521296,3180.1317522805193,2956.5894003524018
4,2020-04-05,4964.095367702572,4599.498428497091,4273.9182829750425,3987.26737544646,3736.3766669620377,4989.852887639883,4626.029299140181,4298.659674304754,4008.45509761147,3752.8762651385414,5013.748712174892,4651.425972611647,4323.311387958202,4030.7661339273727,3771.780930235593,5035.881950671571,4675.499317068173,4347.339978627324,4053.3023866136837,3791.8286461078274,5056.397478822347,4698.216083979885,4370.4900896620675,4075.567785180005,3812.2796779133755,5075.448639441613,4719.61650908702,4392.654084434287,4097.2905297145335,3832.693615276142,5093.181810850767,4739.773709866799,4413.80407075496,4118.327708049295,3852.8076234456466,5109.730633876494,4758.773240858092,4433.955139779435,4138.611979491742,3872.467068737426,5125.214549274627,4776.7027635063805,4453.144945984264,4158.120779958559,3891.5845771721815,5139.739216251444,4793.646938652875,4471.422161587598,4176.858066696219,3910.11516250206,5153.397685283055,4809.685064876684,4488.839894630307,4194.843277196784,3928.040750588369,5166.271801077423,4824.890169932559,4505.451948261294,4212.104553824027,3945.3603600861793,5178.433597360191,4839.328864646875,4521.310734689156,4228.6745489333625,3962.0837736736416,5189.946582610631,4853.061584549359,4536.466163721466,4244.587820626964,3978.227409739301,5200.86688193992,4866.143014274046,4550.9651081804695,4259.879223939929,3993.8116067140054
5,2020-04-06,6172.908305548632,5772.846796951749,5408.751114834771,5082.735383842945,4793.116914359181,6200.369109989553,5801.730538794768,5436.196088060609,5106.632987502136,4812.002195188973,6225.828684277494,5829.356204839548,5463.516470280594,5131.77537715117,4833.623836542538,6249.396212898663,5855.521426863501,5490.122235118925,5157.148521463336,4856.5336582209275,6271.229058931972,5880.193522941629,5515.732931178269,5182.194047454023,4879.884120769046,6291.493029855196,5903.41943016644,5540.232194669708,5206.607515383144,4903.171886177278,6310.34601776985,5925.281413212766,5563.591963156698,5230.230181313053,4926.097674044857,6327.931941250268,5945.874825228991,5585.83155025144,5252.988530208889,4948.4863890225815,6344.379269834725,5965.296916733486,5606.994957555456,5274.859386360918,4970.239996573724,6359.801538052044,5983.641337567276,5627.138080305158,5295.849260223753,4991.30891364682,6374.2986490899675,6000.995624109675,5646.321438866654,5315.981880276258,5011.674225605604,6387.958411879348,6017.440260544506,5664.606067626632,5335.2905599334335,5031.336418007362,6400.858060024826,6033.048561877037,5682.051238515897,5353.813485718898,5050.308126336487,6413.065647251718,6047.886971417771,5698.713262147762,5371.590803310248,5068.609416490004,6424.641283855826,6062.0155507351465,5714.6449244727455,5388.662826573027,5086.264688170418
6,2020-04-07,7403.965459779155,6975.556573677437,6579.567029256765,6220.040326507138,5896.673311664737,7432.636719629611,7006.22994233677,6609.161490905393,6246.166664622127,5917.575726294865,7459.207230368759,7035.550080480468,6638.601889722448,6273.63554858645,5941.49259957554,7483.793386739281,7063.304700360562,6667.2533663990125,6301.337538572362,5966.817931265684,7506.561472453441,7089.4616946243,6694.815736839648,6328.663173573122,5992.612971689045,7527.68619376512,7114.073223197647,6721.165924036164,6355.281408119351,6018.321309936692,7547.333660020297,7137.22861356686,6746.2759370840295,6381.020737874025,6043.6130751924575,7565.65512337583,7159.0307582669,6770.168626845149,6405.802820535674,6068.296129425197,7582.785494807735,7179.5842716289435,6792.89319387451,6429.604205036508,6092.263683531528,7598.8439266862315,7198.989697494346,6814.511403435243,6452.4337018162,6115.462511861647,7613.935210066972,7217.340883961117,6835.0897744077265,6474.318741037132,6137.873210904243,7628.151407598098,7234.724023831525,6854.695177044484,6495.297036128786,6159.497703686056,7641.573461151776,7251.217561481392,6873.392408210015,6515.411449618192,6180.351210669209,7654.272665568263,7266.892534208606,6891.2429256921905,6534.70682744838,6200.457031984395,7666.311972656924,7281.813113151116,6908.30426428152,6553.228061023057,6219.843130908956
7,2020-04-08,8649.552952816453,8198.529586330942,7776.147843130525,7388.154297414622,7035.498045196455,8679.065526075314,8230.550805653555,7807.439515031116,7416.101130989506,7058.092812675117,8706.408123692943,8261.146718127535,7838.552928719652,7445.46907528287,7083.934056636475,8731.702150966135,8290.09762631509,7868.817906371746,7475.0707243374045,7111.283102248333,8755.120093720248,8317.371915849055,7897.918800307695,7504.2549802389185,7139.124640511397,8776.842846652751,8343.025733604098,7925.727353493467,7532.669209746059,7166.8578224538105,8797.042234588946,8367.153771609028,7952.215742333463,7560.131642501939,7194.127260170014,8815.874611241574,8389.864638165922,7977.409707250375,7586.560143986639,7220.726685441626,8833.479369035318,8411.268524432926,8001.362635717828,7611.931174846831,7246.542132626855,8849.979569160078,8431.471191637553,8024.1409962853195,7636.255544092631,7271.517478109426,8865.483403854205,8450.571262127194,8045.816100799995,7659.563808722747,7295.633051478365,8880.08589587838,8468.659244987672,8066.459474098413,7681.897364053222,7318.892108802457,8893.87056778546,8485.817461571447,8086.140313780728,7703.302966306327,7341.312150409265,8906.91097010038,8502.120420482657,8104.924173225866,7723.82936313562,7362.9192861957235,8919.272032280227,8517.635397320739,8122.872362621097,7743.525237299391,7383.744552176911
8,2020-04-09,9905.007527765876,9435.915170859895,8991.614613880287,8579.385713263302,8201.304362950441,9935.094606383129,9468.946819404227,9024.243677590188,8608.81625867302,8225.314404829964,9962.964615322457,9500.499125991619,9056.675083964714,8639.731294838384,8252.764188733772,9988.74233356829,9530.346832059402,9088.21085414652,8670.879858893004,8281.80393443447,10012.604444637436,9558.458687843586,9118.523197499431,8701.57696828989,8311.354291212025,10034.736040529964,9584.8938255259,9147.479818310287,8731.452470523196,8340.777303333942,10055.312827526765,9609.750956352796,9175.053064206737,8760.316308799831,8369.696332909232,10074.494627024873,9633.14297210887,9201.270986703468,8788.083334609893,8397.893395608407,10092.423879791677,9655.18424400172,9226.19030136733,8814.73000568777,8425.248624144535,10109.22630744541,9675.984444405816,9249.881206895994,8840.268820133728,8451.703564686377,10125.012418310418,9695.645774996769,9272.418811792119,8864.732934936113,8477.238407725328,10139.879251788698,9714.261981149803,9293.878324967234,8888.16678986905,8501.857598365315,10153.912089275904,9731.918291381628,9314.332425168808,8910.62035129866,8525.580608175489,10167.186019195167,9748.691817445651,9333.849904061659,8932.145577543166,8548.43595258889,10179.767319781082,9764.652163176368,9352.495055837013,8952.794267006284,8570.457285134487
9,2020-04-10,11169.776254266833,10686.059584986708,10223.276619088934,9790.154319964091,9389.793432699513,11200.261454867004,10719.862553252817,10256.9757554291,9820.808176675193,9414.996890594713,11228.497007645854,10752.145146938872,10290.46185263916,9852.998684302813,9443.802776079097,11254.609993921842,10782.677809118122,10323.014671536368,9885.42247845146,9474.267567360332,11278.779981718631,10811.42952093861,10354.296683877326,9917.366648529993,9505.257908964502,11301.194955729992,10838.461654572207,10384.172340547259,9948.446609960405,9536.104579534627,11322.03330207734,10863.875958839788,10412.614106229834,9978.465486263533,9566.413058182732,11341.45723946742,10887.788571930429,10439.651864425181,10007.335655115396,9595.955520152349,11359.611318258776,10910.317038289233,10465.34497923022,10035.033581450814,9624.607159639192,11376.62310275035,10931.57400279492,10489.76662216249,10061.573164016027,9652.30759270997,11392.604706605593,10951.664389867234,10512.994929985305,10086.989710048425,9679.036923476364,11407.65456787496,10970.684408474963,10535.108051713314,10111.330174799374,9704.800626563425,11421.859188452117,10988.721501560805,10556.181445403026,10134.6471756886,9729.619858840688,11435.294724444644,11005.854764817264,10576.286489008942,10156.995321686705,9753.525183813153,11448.028390855654,11022.155577354637,10595.489860623147,10178.428982825782,9776.552478802312
