,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2020-04-01,1156.891348244246,1099.4392112171329,1040.2268026772822,983.1753560856963,930.1861588338061,1160.887182445725,1104.359471089485,1045.3383993161863,987.8626547644373,934.0046539610518,1164.5172823179287,1109.0015507955795,1050.381666629923,992.7664623181727,938.3616500906649,1167.8132846046556,1113.339877633619,1055.2490018285112,997.6859993755395,942.9607011274775,1170.811199997217,1117.3780035352659,1059.8925926035524,1002.5126302475456,947.6292905987362,1173.5457099837608,1121.1322206326515,1064.2957815306684,1007.1888421156593,952.2659499751054,1176.0481633260297,1124.6237126361377,1068.4582421483208,1011.6862197417483,956.8112534861805,1178.3461076128904,1127.8747652641505,1072.3880571707784,1015.9931650702549,961.2312620397785,1180.463440355638,1130.906971741077,1076.0973927777648,1020.1078417689868,965.5077567304472,1182.4207838491513,1133.7404394458329,1079.600110067413,1024.0340261944673,969.632318949677,1184.2359129464535,1136.393502505035,1082.9104476600878,1027.7786254267128,973.6026613597273,1185.9241648566474,1138.8826873240746,1086.0423081832396,1031.3501761732762,977.4203128720279,1187.498804857277,1141.222799601429,1089.008889539753,1034.7579329959153,981.0891375371508,1188.9713417102428,1143.4270641033,1091.8225140760578,1038.0113165847656,984.6143774997465,1190.351794994058,1145.507281450004,1094.4945708889984,1041.119584870884,988.0020309446892
1,2020-04-02,2407.7887988800285,2331.9713722813726,2249.3966618852432,2165.655979216358,2084.1997847552416,2412.8374971904086,2338.551739066969,2256.610830617351,2172.6052293727944,2090.116941153431,2417.409497351105,2344.73653349358,2263.7008723795784,2179.8493626928253,2096.848227213339,2421.548575296236,2350.4958965267087,2270.517473107039,2187.0899205453306,2103.9299859586836,2425.3032065676775,2355.838658848647,2276.996793604931,2194.1676499672003,2111.094177703185,2428.7194769786897,2360.7901004863825,2283.1190628907107,2201.000166831672,2118.184821858496,2431.8387004218434,2365.3814151627994,2288.887247891424,2207.5485115911633,2125.1120360358927,2434.696959635074,2369.64470563287,2294.3157370149697,2213.7985568802715,2131.8257909597455,2437.325402946286,2373.6106743649257,2299.424221466194,2219.750376930103,2138.3004514764457,2439.750798693456,2377.307651277348,2304.2343614248894,2225.4120375076095,2144.5254351016597,2441.996136312591,2380.7612865545602,2308.7679811523894,2230.7959130198583,2150.499448661184,2444.081189226528,2383.9945682261214,2313.046118321313,2235.9164836806767,2156.22687353097,2446.023010489748,2387.027989745136,2317.08855546012,2240.789016712157,2161.71547038412,2447.8363563302764,2389.879777548829,2320.913624030123,2245.428783719282,2166.9749099180494,2449.5340426538587,2392.5661327826724,2324.5381612062165,2249.850606913901,2172.0158289693923
2,2020-04-03,3683.224266103058,3599.7286378149524,3506.6678726038363,3409.935830984221,3313.511256011362,3688.6821915192554,3606.991204952454,3514.821706229291,3417.9853048873656,3320.531499849677,3693.6213575582005,3613.8081911365534,3522.8220038724353,3426.361881577332,3328.5050526274863,3698.0901126670833,3620.1484618680697,3530.501404477976,3434.719587579361,3336.879306327152,3702.1416322661075,3626.023426191957,3537.789634384444,3442.875122631746,3345.3359769079802,3705.8263025103847,3631.462376908687,3544.666228123816,3450.7347861150242,3353.690932839328,3709.1891947713248,3636.5008608646144,3551.1362312350816,3458.255295326142,3361.8390211589244,3712.269610195763,3641.17519052474,3557.2173542481764,3465.422039807491,3369.722560411377,3715.1014316931687,3645.5199378417474,3562.933059287696,3472.2366801871563,3377.3128008602966,3717.7137462825567,3649.566900724305,3568.308816849504,3478.709929354506,3384.598742339316,3720.1315115926077,3653.3447972705753,3573.370097151328,3484.8572907772023,3391.580253591418,3722.376176473868,3656.8793120055457,3578.1413264151956,3490.6965243888244,3398.2637716475365,3724.4662255367157,3660.1933020024967,3582.6453847981024,3496.2461410296764,3404.659582870861,3726.417643389977,3663.3070645630187,3586.903408391392,3501.524518327395,3410.7800917668037,3728.2443046520025,3666.238616832524,3590.9347598953077,3506.5493959082155,3416.6387162890255
3,2020-04-04,4977.4701760493535,4889.836130999132,4791.013742247735,4686.933864092797,4581.743388434469,4983.1376780519095,4897.455808813485,4799.672586992039,4695.595369274123,4589.401089900637,4988.265010037777,4904.603995451667,4808.161853674644,4704.600988861326,4598.091236224741,4992.902795386374,4911.248839728856,4816.304540328068,4713.578350179899,4607.209605294703,4997.10657046988,4917.403052378208,4824.026972492406,4722.3308938047085,4616.408904704072,5000.928893433571,4923.097984565275,4831.30835919833,4730.758766118563,4625.4888800745475,5004.416740772665,4928.371426614346,4838.154899797396,4738.816417328272,4634.335745212062,5007.611050389861,4933.261866011371,4844.586117097374,4746.489090105288,4642.887595293396,5010.547099431197,4937.805877411305,4850.627518733635,4753.7794302558195,4651.114067426609,5013.255159677256,4942.037056071136,4856.306635783824,4760.699707278304,4659.004086530978,5015.761196357036,4945.985711943028,4861.650906167788,4767.267232803639,4666.558336646071,5018.087517480094,4949.678930156004,4866.686582160982,4773.501644685999,4673.784564560188,5020.253342872404,4953.1407966646975,4871.438211236977,4779.4232999982605,4680.694617946929,5022.2752888543955,4956.392686418588,4875.928437676157,4785.052336615106,4687.302565268509,5024.167775163014,4959.453562391488,4880.177981207133,4790.408141883793,4693.623500641087
4,2020-04-05,6275.775129659868,6184.945064847711,6082.354968559845,5973.738679844228,5863.177585798354,6281.638448437317,6192.812097129619,6091.323564987457,5982.763037798086,5871.214844688738,6286.946616092772,6200.193507640522,6100.1150376990045,5992.142575392407,5880.331784425877,6291.751259431227,6207.056361733827,6108.546335715945,6001.489353827067,5889.893517816393,6296.109204080841,6213.413690432905,6116.541458067967,6010.598938083964,5899.535534707076,6300.07431146189,6219.297753828461,6124.079147752712,6019.367761278045,5909.048020271969,6303.69477023923,6224.747457894482,6131.166055349189,6027.748841407637,5918.312072943784,6307.012605557743,6229.8024333857875,6137.822583124575,6035.7272386488285,5927.263285952693,6310.064053369079,6234.500344558861,6144.075289909247,6043.306088512986,5935.870338886546,6312.880224648381,6238.875789237063,6149.952795491689,6050.498494303785,5944.122107709061,6315.487817193392,6242.959983107928,6155.483595404121,6057.322757847356,5952.01975229994,6317.9097785786735,6246.780821658303,6160.69493545402,6063.799556469196,5959.571786113419,6320.165887934365,6250.363112395199,6165.612278968392,6069.950275776014,5966.790970989628,6322.273251945397,6253.728871491536,6170.259105254787,6075.796038628554,5973.692349371971,6324.246721576836,6256.89763166037,6174.656890565293,6081.3571574702455,5980.291996046564
5,2020-04-06,7590.169008190249,7496.767092546002,7391.043677904583,7278.753527315334,7163.984951559506,7596.172360495791,7504.83734434723,7400.267038847642,7288.065747886859,7172.313214443155,7601.607582009463,7512.409488165839,7409.3075106782235,7297.742879659229,7181.758210770037,7606.527451754588,7519.4497445346215,7417.976952400981,7307.384622213666,7191.66170116922,7610.990089959724,7525.971480646588,7426.19733201629,7316.780186506208,7201.645982202183,7615.050597418843,7532.007785704255,7433.946907698129,7325.82292177093,7211.493836638666,7618.75827892889,7537.598564534347,7441.232620216171,7334.464570115721,7221.0823327146445,7622.156137856458,7542.784464721447,7448.075533792748,7342.689919131317,7230.345026387416,7625.281257068185,7547.604116504607,7454.5030270417865,7350.502381763016,7239.249746583786,7628.165477212442,7552.093004849041,7460.544583714021,7357.915629147219,7247.785224183346,7630.836124195158,7556.28314575939,7466.229548098808,7364.948671227605,7255.952887936365,7633.316686956646,7560.203149915219,7471.585969966774,7371.622946798494,7263.761755293317,7635.627412428042,7563.878460885456,7476.640058650441,7377.96060644123,7271.225216817223,7637.785812819494,7567.331659416679,7481.41597737454,7383.98351364655,7278.359000161749,7639.807091904539,7570.582779207329,7485.935824958539,7389.712682434002,7285.179879891975
6,2020-04-07,8911.689144018597,8816.518776205514,8708.59217623698,8593.675729308246,8475.867285306578,8917.782587027395,8824.723985562669,8717.989819097971,8603.18872930832,8484.401080808622,8923.299733450196,8832.422750409645,8727.200544534553,8613.073392957347,8494.077781713748,8928.294080327989,8839.580746827844,8736.032735460269,8622.920791658855,8504.222652063272,8932.824557738913,8846.2115791963,8744.406980586606,8632.515702337785,8514.448665845723,8936.94704270587,8852.348898135964,8752.301217586068,8641.74932365882,8524.533373404036,8940.711539430775,8858.033279800897,8759.72259647929,8650.572509839458,8534.3509929747,8944.161664451687,8863.306052731443,8766.692644004912,8658.969861307025,8543.833638959155,8947.335031635357,8868.20649257834,8773.239308021804,8666.944987946106,8552.948537670014,8950.263939249244,8872.770675975094,8779.39267049654,8674.511960554739,8561.684316444744,8952.976107240122,8877.031151935576,8785.18266239949,8681.690286555862,8570.042593469318,8955.49536431105,8881.017006863458,8790.637888517038,8688.501939287693,8578.032742169251,8957.84225111033,8884.754106962077,8795.785072683962,8694.969606113182,8585.668597526568,8960.034534590708,8888.265407750774,8800.648849409026,8701.11567006738,8592.96637177114,8962.087640272772,8891.571275197135,8805.251746194053,8706.96163721844,8599.943334512831
7,2020-04-08,10236.86747723896,10140.281870939463,10030.689989967039,9913.83020948193,9793.786076090806,10243.036659805488,10148.588368582545,10040.213291432114,9923.486309804252,9802.466347940324,10248.623583546601,10156.382817510565,10049.547190764803,9933.519133653808,9812.30830468988,10253.682161269935,10163.63039296982,10058.497539618942,9943.513615849412,9822.625482712561,10258.271847159698,10170.344783653434,10066.98388841355,9953.251361508335,9833.02421912119,10262.44904438954,10176.559976750474,10074.983895430847,9962.622014039362,9843.278329976547,10266.26424460666,10182.316979276902,10082.504815176386,9971.575768604633,9853.259990866023,10269.761500307208,10187.657569535679,10089.568465963146,9980.09706591956,9862.900274636931,10272.978808925765,10192.621456678722,10096.20316936744,9988.189631568726,9872.165963290843,10275.948803749532,10197.245119435045,10102.439407083966,9995.867798896927,9881.04559597287,10278.699496612444,10201.561472320065,10108.307506140241,10003.151410129853,9889.540912453595,10281.254970579803,10205.599930395252,10113.836448647344,10010.06280230269,9897.661527638715,10283.63598834923,10209.38665372852,10119.053310075205,10016.625030334888,9905.421582283994,10285.86051121956,10212.944859915338,10123.9830484156,10022.86083457194,9912.837624233724,10287.944135335083,10216.295148494954,10128.648486476171,10028.792060574797,9919.927267312278
8,2020-04-09,11560.528314277124,11462.038438266933,11350.705181766876,11232.12986514501,11110.298032167124,11566.829792881244,11470.471562803157,11360.350292482379,11241.904011705567,11119.08886430732,11572.540842567918,11478.38812229324,11369.805592273118,11252.060371687934,11129.056280658786,11577.715591796843,11485.7522813514,11378.874344759071,11262.1788847902,11139.50513171855,11582.413994143471,11492.577453164482,11387.474871622266,11272.03847557373,11150.036786959194,11586.693043128851,11498.897706962294,11395.584319563219,11281.52738182075,11160.42221519575,11590.603825571614,11504.754301114028,11403.20981567683,11290.595112430054,11170.53198547654,11594.19095669616,11510.18933810538,11410.373256090314,11299.225833512248,11180.296303980467,11597.492949915695,11515.242874058762,11417.103146733481,11307.423232322133,11189.681532673565,11600.54290432412,11519.951731647525,11423.43020481159,11315.201737952913,11198.676061602446,11603.36924898077,11524.349153484036,11429.385012732222,11322.581361932353,11207.281645083172,11605.996439322997,11528.46486103078,11434.996810239276,11329.58464794496,11215.508009792984,11608.445570021442,11532.325297055886,11440.292922992328,11336.234873184781,11223.369463891902,11610.734898455674,11535.953938170811,11445.298546650205,11342.555002944575,11230.882752103531,11612.880285185138,11539.371620311897,11450.036726804565,11348.567102812249,11238.065698127231
9,2020-04-10,12895.168996145223,12795.357927107096,12682.379456162897,12561.975589874433,12438.193017698151,12901.526845226526,12803.890561079785,12692.148959257856,12571.88190243427,12447.108134254802,12907.287812984032,12811.900212448121,12701.726344190263,12582.175810091265,12457.21654798793,12912.506729885214,12819.350630911693,12710.912298960071,12592.431571215246,12467.813300886453,12917.244274219376,12826.255408325134,12719.624052376155,12602.42509812873,12478.494132328975,12921.558105903423,12832.649041859193,12727.83842203703,12612.043086595515,12489.026770439958,12925.49989655911,12838.573304309577,12735.562599354935,12621.234331021013,12499.279947014684,12929.114764049633,12844.070822101186,12742.818741767509,12629.982753904374,12509.182871772067,12932.441649968941,12849.18214959318,12749.635707358164,12638.292066373182,12518.701420522502,12935.5140170909,12853.9445674992,12756.044598554461,12646.176870461533,12527.823808569998,12938.360603461557,12858.391731992228,12762.076384822089,12653.657429771743,12536.551804938295,12941.00612759722,12862.553734354586,12767.760678407762,12660.75657756705,12544.89526447658,12943.471908847241,12866.45734640181,12773.125154867417,12667.497893379821,12552.868689163282,12945.77639717547,12870.126336859943,12778.195333854326,12673.904643031861,12560.489052885141,12947.93561885809,12873.581800884243,12782.994558371533,12679.99918250074,12567.774424635929
