,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2020-04-01,1145.779838367214,1085.4537846473495,1024.2773267350578,965.9873307928186,912.2823246024439,1150.0250986796184,1090.5766379826196,1029.5280742158354,970.756561470493,916.1403619662362,1153.8887873764527,1095.4163372816295,1034.7137221105218,975.7496117078522,920.5446331034018,1157.402918092731,1099.9452508712086,1039.723402001711,980.762378906341,925.196118193613,1160.6044472530862,1104.166079412157,1044.5074365779142,985.6841618329953,929.9206401785855,1163.529192944015,1108.094898356571,1049.0481018197333,990.4561164303859,934.6155950941819,1166.2096595804742,1111.7530107988666,1053.3444781853482,995.0489493311766,939.2207486639594,1168.6744933595376,1115.1629963099401,1057.4043440621972,999.4504760168279,943.701569602408,1170.948602963988,1118.3468266687532,1061.239740545356,1003.6584676157659,948.0393967037281,1173.0535259784067,1121.325021928721,1064.8645158701133,1007.6764401136563,952.2254765944906,1175.0078586236598,1124.1163344591148,1068.2929659035563,1011.511132020428,956.257266380983,1176.827672108818,1126.7376985974245,1071.53909368388,1015.1709761231996,960.1360989389165,1178.5268866023127,1129.2043091886683,1074.6162231685207,1018.6651690443177,963.8656877189371,1180.1175951868827,1131.5297572461143,1077.5368169255335,1022.0031064373641,967.451159372855,1181.6103393174565,1133.7261852035028,1080.3124108698016,1025.1940447849527,970.8984239733314
1,2020-04-02,2392.4305614562336,2311.5032609150676,2224.7821768159824,2137.8411230533056,2053.992139571829,2397.8791541056303,2318.4645985426178,2232.3108199281883,2145.0219216391038,2060.060679408568,2402.822168899889,2325.016268328474,2239.717381234334,2152.512999171487,2066.967837129949,2407.3047733215644,2331.1252488751265,2246.845477840869,2160.006193045432,2074.2389005197683,2411.3776036860195,2336.7994827137154,2253.627608982328,2167.336628864931,2081.599143606354,2415.0890790231274,2342.064482118269,2260.042206597557,2174.418620316157,2088.8884112000546,2418.482765511761,2346.9522119154303,2266.0914885149564,2181.2112764273434,2096.0141599956496,2421.59681784835,2351.4957832521204,2271.7896908942007,2187.6993729233855,2102.924646655039,2424.464246602496,2355.7269857728406,2277.1566919511424,2193.882406056799,2109.5931319767114,2427.113474713152,2359.6752324133317,2282.2145273608526,2199.7681907085066,2116.0083316297864,2429.568953863023,2363.367210120519,2286.9854956320496,2205.3690577719403,2122.1685205296953,2431.851747284803,2366.826877734297,2291.491153530973,2210.6995750449682,2128.077831712261,2433.9800458447594,2370.075626163629,2295.751815107505,2215.7751789924127,2133.7439034365684,2435.9696108235416,2373.1325052886946,2299.7863364833565,2220.611359729678,2139.1763707394207,2437.834147707675,2376.014468512146,2303.6120614558863,2225.2231858219398,2144.385894509474
2,2020-04-03,3665.4691439772873,3575.6183417548345,3476.9860346955506,3375.571332162493,3275.307574453132,3671.3984351843214,3583.3631588261346,3485.5714768289363,3383.968003925917,3282.5778447820658,3676.7733761410227,3590.6421110915003,3494.0033621243447,3392.712166773507,3290.8396698396664,3681.6443282529244,3597.4204602760083,3502.1048321992853,3401.4431667102317,3299.5216849623052,3686.0673131497047,3603.708880832545,3509.8009154764945,3409.9694145669023,3308.2944449222236,3690.0957004070547,3609.537302353194,3517.0690312117085,3418.1925183720336,3316.9670199412367,3693.777395632676,3614.9425357814857,3523.913528268282,3426.0665994232595,3325.430068128101,3697.154279556055,3619.9624065380763,3530.352203470804,3433.5757018648974,3333.623329776927,3700.2625350930957,3624.6330546760264,3536.409030740639,3440.7208990963204,3341.5164957724214,3703.1332797518153,3628.9878037715475,3542.1102127065683,3447.5127794189125,3349.0976630261334,3705.7932560169174,3633.056808672325,3547.482052831083,3453.9670029453396,3356.3662257750607,3708.265479849902,3636.867082585038,3552.5498422779438,3460.101654096627,3363.3284281559395,3710.5698127280634,3640.4426986059907,3557.3373177812587,3465.9356643292267,3369.994549004529,3712.7234510848016,3643.8050604128653,3561.866441176631,3471.487882254922,3376.3771065876967,3714.7413386459293,3646.9731886000577,3566.157358220614,3476.776539638505,3382.489710749831
3,2020-04-04,4958.235310471235,4863.447339647653,4758.097301740662,4648.276055182521,4538.141913534172,4964.417322974071,4871.612242053574,4767.265129759609,4657.366703581874,4546.124642605312,4970.019657106807,4879.281471825762,4776.261739750207,4666.825023675509,4555.188158582779,4975.095297834288,4886.419319478888,4784.899062197947,4676.260433441185,4564.703556131863,4979.703018661091,4893.037872233771,4793.098081817324,4685.4662281262545,4574.308973445088,4983.898734761969,4899.169380871466,4800.835722103175,4694.336925682825,4583.795391981247,4987.732592867649,4904.853214119548,4808.117555156144,4702.823958802935,4593.0437196158055,4991.248404626761,4910.129691242604,4814.963376540859,4710.911094934725,4601.9888660614615,4994.484001648243,4915.0372571690505,4821.399443636424,4718.6004270876565,4610.598612042209,4997.471905295536,4919.611309824693,4827.454273841404,4725.904224914384,4618.86087237239,5000.24005416988,4923.883845428781,4833.156390111413,4732.840128239303,4626.775865185488,5002.81248583583,4927.883500451049,4838.533149532076,4739.428292063828,4634.351222532014,5005.209937343849,4931.635774653661,4843.610179705839,4745.6896926588215,4641.598903094969,5007.450358516786,4935.163324719767,4848.4111563095885,4751.645134597869,4648.53322946901,5009.549344079095,4938.486272507191,4852.9577698610265,4757.3146852666905,4655.169638068381
4,2020-04-05,6254.63140652322,6156.234659246722,6046.569669719636,5931.547805370205,5815.294657458235,6261.027298613996,6164.677457087272,6056.0900535224955,5941.05155015442,5823.706876744334,6266.826944564082,6172.608419007793,6065.430534991188,5950.935705547385,5833.253602262775,6272.084479343565,6179.9906607837,6074.3961529628405,5960.791955076927,5843.271270784036,6276.860127220412,6186.836672603873,6082.905244785624,5970.404602044321,5853.378529028942,6281.211259450658,6193.179765377032,6090.93420851614,5979.663908866105,5863.355507229607,6285.189371354519,6199.060594694376,6098.489137165475,5988.519652007544,5873.077282725754,6288.8394805462885,6204.520792262672,6105.590835683139,5996.955369514494,5882.475890981429,6292.200479664375,6209.6000502546385,6112.266766557285,6004.973694546793,5891.51798910943,6295.305816927297,6214.334911903771,6118.546694786524,6012.587832546712,5900.191401101148,6298.184238681497,6218.75840644578,6124.4603550598995,6019.816540488968,5908.496853194442,6300.860486663611,6222.900093358372,6130.036242652879,6026.681149320569,5916.442819528357,6303.3559129168325,6226.7862932827165,6135.301034288983,6033.203800970439,5924.04227219202,6305.689005822263,6230.440391614788,6140.27936211305,6039.406417777527,5931.310618706874,6307.875833206949,6233.883157051349,6144.993783124973,6045.310118032932,5938.264391270107
5,2020-04-06,7567.644554821684,7466.232919915643,7352.944599161183,7233.704063557222,7112.648111931053,7574.205212707082,7474.909584617999,7362.7559058209345,7243.535153830837,7121.389804828016,7580.154823960205,7483.060376802238,7372.380944130292,7253.757893732145,7131.308117677564,7585.548779208655,7490.647393702129,7381.618926874187,7263.949914296737,7141.713077911432,7590.448742722848,7497.683464995902,7390.385848971154,7273.8882811664,7152.208395577983,7594.913477060073,7504.202812671523,7398.657529574325,7283.459731072178,7162.565805613739,7598.995737700287,7510.247204598186,7406.440368966339,7292.612569192031,7172.6558016199515,7602.741651388427,7515.8594112939,7413.755906304474,7301.330004041026,7182.40809001473,7606.191074300182,7521.080210504975,7420.632521280816,7309.6149665631,7191.788343108649,7609.378287244907,7525.947144803654,7427.100949215729,7317.481292391014,7200.784200823194,7612.332755129304,7530.494146653519,7433.191880189071,7324.948530350662,7209.396676299928,7615.079840501098,7534.751583924717,7438.934715829471,7332.03886588208,7217.634799122673,7617.64143303205,7538.746497179272,7444.356974850709,7338.775301129369,7225.512240218005,7620.036488125491,7542.502911583915,7449.484062035961,7345.180592467402,7233.045171872824,7622.281480713537,7546.042164177475,7454.339238265781,7351.27664908642,7240.25090925209
6,2020-04-07,8888.009791060436,8784.481086482005,8668.594167969542,8546.287199461129,8421.710529185657,8894.677843781386,8793.316086661851,8678.607928239293,8556.349921827927,8430.687925615157,8900.725312935301,8801.6156555737,8688.430941273125,8566.812255717206,8440.872100997203,8906.208398521596,8809.341215204464,8697.858365607042,8577.241882769904,8451.554192621596,8911.189692654025,8816.50583802625,8706.804569407093,8587.410740975862,8462.327221673944,8915.728853818819,8823.144373566493,8715.244973833962,8597.203066937924,8472.956911160858,8919.879448525948,8829.299351201258,8723.18619835388,8606.566120735715,8483.31046878784,8923.68831700493,8835.014318954105,8730.650298387935,8615.482874983183,8493.315928393462,8927.195935004895,8840.330794418305,8737.666296890948,8623.956469713408,8502.93825213548,8930.437118553635,8845.287000345168,8744.265608957956,8632.001185716785,8512.16494354106,8933.441794375958,8849.917483296475,8750.479593545204,8639.63713202249,8520.997217196762,8936.23572394755,8854.253160256883,8756.338286531865,8646.887099053165,8529.444497057462,8938.841142401045,8858.321560409968,8761.869795625256,8653.774698308782,8537.52095171474,8941.277305229107,8862.147142823487,8767.100065914628,8660.323277199297,8545.243298865684,8943.560948967768,8865.751629732564,8772.052850355913,8666.555305556805,8552.629412604623
7,2020-04-08,10211.948701703826,10106.76633548947,9988.925520333605,9864.341713111733,9737.156150739145,10218.701840916248,10115.71740789049,9999.084358525235,9874.569874933208,9746.302576620134,10224.827672524987,10124.126625765142,10009.04961425346,9885.203556890201,9756.677522781694,10230.382868378918,10131.954834990642,10018.613518566619,9895.803345763954,9767.558605565418,10235.430613589466,10139.215203238276,10027.689234931719,9906.137506582381,9778.531187081679,10240.03116126413,10145.942964918704,10036.251856340486,9916.088469888708,9789.356674245406,10244.238628422887,10152.181142798596,10044.308118087733,9925.602725644767,9799.899908038196,10248.100347432115,10157.9738002516,10051.880408281178,9934.663054290353,9810.087710154203,10251.657226868905,10163.362951797366,10058.99817821096,9943.272723030555,9819.88452024081,10254.944460677383,10168.387281233932,10065.69330200913,9951.446310598465,9829.277731168166,10257.992304745127,10173.081754323506,10071.997593991786,9959.204308433424,9838.268690017576,10260.826807328873,10177.477665057042,10077.941524217602,9966.569923594157,9846.867092677801,10263.470453826465,10181.602879758164,10083.55360527803,9973.56718938275,9855.087454878829,10265.942718730581,10185.48215821607,10088.860154916629,9980.219863755881,9862.946876792892,10268.26053079375,10189.137490704883,10093.885266442527,9986.550806992464,9870.46362569515
8,2020-04-09,11533.764978599922,11426.545768448124,11306.798711495689,11180.293164931869,11051.072152369119,11540.653944333546,11435.628943554906,11317.088275055714,11190.651515064987,11060.342883635165,11546.907381544293,11444.165514996424,11327.183660858795,11201.421277277626,11070.858782941383,11552.582158184434,11452.11528722949,11336.874336618119,11212.157522354833,11081.887676726623,11557.741948824123,11459.491151312925,11346.072167565586,11222.625568234205,11093.009335505429,11562.447592406688,11466.328435617641,11354.751718806687,11232.706311546344,11103.981968817985,11566.753799764798,11472.670431330736,11362.919608371285,11242.34550394952,11114.668620534474,11570.70846651112,11478.561544479251,11370.598324882058,11251.525641395117,11124.995149476192,11574.353018847458,11484.044154631876,11377.817531901854,11260.249965855368,11134.925535265966,11577.723118836073,11489.157306469391,11384.609368355881,11268.533176924628,11144.447015116173,11580.849442272285,11493.936309313825,11391.005932584387,11276.395966156864,11153.560963736089,11583.758412654528,11498.412777532189,11397.03797931382,11283.86178012808,11162.27721299908,11586.472850302745,11502.614872701779,11402.734296315519,11290.954907266372,11170.610476155358,11589.012528731371,11506.567624837915,11408.121461847912,11297.699362153198,11178.578083034932,11591.394643995858,11510.29327065036,11413.223812731445,11304.118255006237,11186.198544241937
9,2020-04-10,12867.300588187156,12758.454927654831,12636.77327445687,12508.158271132854,12376.704383063812,12874.263471814422,12767.656101760478,12647.20536564611,12518.666068067563,12386.115072852626,12880.583190188901,12776.303591361999,12657.44096766862,12529.591542498945,12396.789832261124,12886.317355149644,12784.356633220621,12667.266579699903,12540.483353790694,12407.985462764462,12891.530444956423,12791.82825326938,12676.592781715482,12551.103408473233,12419.275401868337,12896.284054706945,12798.7542176252,12685.393724403246,12561.330845557652,12430.414208871278,12900.633568967618,12805.178367474897,12693.676063111841,12571.11059131643,12441.262853434215,12904.62746921372,12811.14567974307,12701.462552629177,12580.424848012883,12451.746064795418,12908.307685582777,12816.699083042035,12708.783230634654,12589.276867038709,12461.827266730736,12911.71031181542,12821.878130786656,12715.670651949265,12597.681527276904,12471.493491160107,12914.866393306867,12826.718594473406,12722.15733651929,12605.659790598735,12480.746121092738,12917.802670499836,12831.252503854053,12728.274447210157,12613.235417913938,12489.595124972102,12920.542236228841,12835.508391704047,12734.051156836378,12620.43302793123,12498.055427132267,12923.105099097076,12839.511618894581,12739.51440141944,12627.276964883236,12506.144608914152,12925.508658704612,12843.284716774244,12744.68884714099,12633.790658432992,12513.881451218169
