,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2020-04-01,162.73697990224542,131.11266122319802,109.55076511274517,94.09255371548187,82.56953443952658,165.63826570869995,133.28641257981027,111.14517187208172,95.22556096148347,83.33026940332178,168.390535330579,135.4077919455784,112.75942164018758,96.43385798423989,84.21020198426284,170.99380670505488,137.45638594250553,114.35810524598368,97.67052301215328,85.1531825638655,173.45479799624812,139.42423323062954,115.92249676438438,98.90861591646934,86.12574807212576,175.7828213617911,141.3097463083203,117.44300681028764,100.13246255678315,87.10742423601731,177.98787100470818,143.1146085677722,118.91520243003394,101.33298670004098,88.08548832511718,180.07973634876367,144.84213220253017,120.33761305648561,102.5050881475879,89.05199802458534,182.0676107297782,146.49636851700524,121.710478457624,103.64611240289929,90.00203647027098,183.95994395635455,148.08162054988227,123.0350149705562,104.7549290355001,90.93264037718548,185.76441479102004,149.6021771333439,124.31297702358941,105.83136232806172,91.84212683276527,187.4879607453815,151.06217140454382,125.54639174424878,106.87583228194717,92.72966048313259,189.13683311157166,152.4655102208789,126.73739746225361,107.88912461999728,93.59496977878642,190.71666078582365,153.81584416145472,127.88814572878537,108.87224167658779,94.43815789735446,192.2325145776622,155.11656063432739,129.0007427454665,109.82630500350578,95.25957509135422
1,2020-04-02,437.3666511106184,360.2252278976651,305.5743855859171,265.3251434460761,234.724089088678,444.03713133736227,365.4830580445839,309.5686263940039,268.2367698937772,236.71694818689735,450.34166453624937,370.5991593166427,313.60340600815675,271.3366054975267,239.01926651196123,456.2841622605576,375.52572345431696,317.5902445304448,274.50361401434725,241.4832321964311,461.8834911075943,380.2452448104711,321.48291823677965,277.66863165019146,244.02092448619675,467.1639581348507,384.75556361584336,325.2582566195529,280.79170707404415,246.57872203214936,472.15095033785286,389.0622660896334,328.9060277398962,283.84995938327404,249.12346119195388,476.86896288942916,393.1746886954515,332.4233753452127,286.83076121171405,251.63457803276384,481.3407694443756,397.1037724058942,335.8116548579719,289.72776436508525,254.0994665954387,485.58714592738136,400.86090168996367,339.0745872798229,292.5385106006138,256.5106452802566,489.62686025363774,404.45728228512377,342.21716226034226,295.2629592899577,258.8639789148897,493.47678436780086,407.9036195202794,345.2449790846357,297.902562000097,261.15753733747954,497.15205607205434,411.2099661573265,348.16384951246965,300.45967193659135,263.39084849728505,500.66625423462506,414.38566601383377,350.9795600147387,302.937162971993,265.56440196225645,504.03156958111384,417.43935110346524,353.69773234628923,305.33818231852985,267.6793146769808
2,2020-04-03,792.8002019456884,664.9351560605618,571.3463028830146,500.7909372338219,446.2062661336642,803.2627528112475,673.5495314884579,578.0944600266102,505.82272497023655,449.71032370883285,813.1236041160206,681.9122158385043,584.8984629069628,511.1721471341318,453.7543092618642,822.3936856895522,689.9470383701027,591.6092122352999,516.6294117643198,458.0772623572439,831.1067817010186,697.6276818705453,598.1496269488747,522.0751291967603,462.52422490578584,839.3045369900004,704.9528500119055,604.4817869841758,527.4407665636754,467.00095787245226,847.0296744245387,711.9336989285309,610.5896466648388,532.6874512398656,471.44941791197544,854.3229932446067,718.5872653949632,616.4695466069498,537.7940754483456,475.83382753753654,861.2221589485977,724.9329641877006,622.1248326779855,542.7503682658102,480.1324467802347,867.7613503197136,730.9907128193731,627.5627282843282,547.5527375406116,484.33255252371254,873.971310249662,736.7799422335527,632.7924850763753,552.2017130909028,488.42729118970266,879.8795759310093,742.319098527646,637.8242790615117,556.7003441568817,492.41366083605504,885.5107764994377,747.625419317193,642.6685510067225,561.0531802992507,496.29119298097686,890.8869429460492,752.7148634715933,647.3356162411042,565.2656168272501,500.0610782247151,896.0278041125225,757.602125152962,651.8354398654704,569.3434721718471,503.7255791487781
3,2020-04-04,1208.5751722684738,1029.3387509424688,894.3367180007989,790.4266317399348,708.7707004139745,1222.491149235906,1041.2493107449518,903.9275253809849,797.7262561475396,713.9349769414798,1235.5780419189223,1052.7900915869495,913.5827809666106,805.477294099689,719.8896640765599,1247.8555068296719,1063.85829497065,923.0910992430278,813.3746739349149,726.2488272577446,1259.3729228297582,1074.4202546793322,932.344182005127,821.2454041629709,732.7836469561984,1270.1893888666102,1084.4767383255232,941.2896270710434,828.9907250688041,739.3553127039985,1280.364772592207,1094.045444111893,949.9061261400453,836.5550947316976,745.8786423169106,1289.9558207196183,1103.1518911047463,958.1898757904936,843.9087912277104,752.301407357272,1299.0146501245008,1111.824594913238,966.1468899226753,851.0377895609954,758.5921212201691,1307.5883658219884,1120.092508196008,973.7885461553191,857.9376946979418,764.732591258853,1315.7192009029852,1127.9836889229073,981.1289638628343,864.6100182182768,770.7132538265129,1323.444881185338,1135.5246453799616,988.1834478345011,871.059850366018,776.530186878589,1330.799067907392,1142.7400569249096,994.9675653381115,877.2943842109156,782.1831614910898,1337.8118072511284,1149.6527024881393,1001.4966059330645,883.3219713752851,787.6743518660895,1344.5099538021939,1156.2835015728217,1007.7852753029475,889.1515153183154,793.0074711666181
4,2020-04-05,1670.261696667765,1441.5453846236248,1264.76089450791,1126.1066289930154,1015.5822913925208,1687.145347396079,1456.5156614569737,1277.123403950763,1135.6952057697802,1022.4658880866685,1702.9953185290815,1470.9986344273539,1289.5527783127761,1145.8661719769377,1030.3968490913633,1717.840499034245,1484.8677834596997,1301.7771659403604,1156.21800981336,1038.859224314631,1731.745151026113,1498.0836683192229,1313.6583805747998,1166.5237510960148,1047.5475229184217,1744.7845939508961,1510.6499421680273,1325.1305333093,1176.6544432836565,1056.2768346094958,1757.034419758775,1522.5912259627607,1336.1678094855815,1186.538110954743,1064.9340576811283,1768.5658788530598,1533.9416383761459,1346.766841203644,1196.1367434587191,1073.4501723583553,1779.4441507113188,1544.7387546271423,1356.9367568447126,1205.4329164014216,1081.7838644309127,1789.7279677008075,1555.0204264508357,1366.6934330701667,1214.4217839369412,1089.911541869259,1799.4698566662544,1564.8231474929794,1376.0561234816298,1223.1061728206696,1097.8210865218198,1808.7166391386081,1574.1812665239017,1385.0454673013855,1231.4935217711495,1105.5078570669214,1817.5100145173872,1583.1266684490822,1393.6823163646195,1239.5939464573694,1112.9720856111044,1825.887142092418,1591.6887116747623,1401.9870551268768,1247.4190056755315,1120.2171570697258,1833.8811839192354,1599.8943024687976,1409.9792209893624,1254.980912047647,1127.2484589506105
5,2020-04-06,2167.4153859518888,1892.5270796535976,1674.9187474936268,1501.25671130458,1360.9883262398914,2186.74236711133,1910.2341564856843,1689.888293383719,1513.073686520595,1369.588622163103,2204.860614608101,1927.3426695535484,1704.9220947836498,1525.5971138535253,1379.4906914748015,2221.807887626953,1943.7056745953862,1719.6916602812505,1538.3313546652532,1390.048251952294,2237.6617820392803,1959.2793950029793,1734.031155144843,1550.9970095268884,1400.8791078229583,2252.51185862225,1974.0708274545605,1747.8625339848852,1563.436010453034,1411.7523787608125,2266.4473723309006,1988.1114506485837,1761.1562617476739,1575.5607239602055,1422.5272564098586,2279.5520909854117,2001.4436415553992,1773.9098555934067,1587.325420875554,1433.118176799554,2291.902411416382,2014.1135544389565,1786.1357951260375,1598.7097027231075,1443.4742514626291,2303.5670109020475,2026.1673977905734,1797.8545561609044,1609.7085929620387,1453.5667332735534,2314.6071909214716,2037.6495409247643,1809.0905382349913,1620.3264756496096,1463.3811771422932,2325.077503664685,2048.601620295039,1819.8696695615633,1630.573321343933,1472.912430076101,2335.0264624866854,2059.0621944016516,1830.218004552921,1640.4623068425442,1482.1613721295844,2344.4972421438056,2069.0666970383254,1840.1609177895136,1650.008302099629,1491.1327658022167,2353.528327206908,2078.64754807499,1849.7226601238333,1659.226906051225,1499.83382109126
6,2020-04-07,2692.058332127073,2375.125100827766,2118.5245092942387,1910.3840086270784,1740.1757395432066,2713.3179137988022,2395.208846124104,2135.8821111181924,1924.315622788111,1750.4470852304091,2733.225586713627,2414.592634352959,2153.297590471627,1939.0684981922568,1762.2659709566854,2751.827046995616,2433.1124143130205,2170.390775124166,1954.057496220183,1774.8588038592661,2769.2112178218836,2450.7212966885127,2186.9708916800932,1968.9535698101854,1787.7685974369986,2785.4795631660436,2467.4297806227573,2202.9491977571183,1983.5712641692126,1800.7197812080317,2800.732659777283,2483.275821380416,2218.293177966342,1997.8083804574244,1813.5447302251741,2815.0645888797167,2498.309409775994,2233.001551085053,2011.612165604643,1826.141973216841,2828.560950064197,2512.5845206910126,2247.090212250772,2024.959685063463,1838.451512684458,2841.2985512943255,2526.1549281298703,2260.584150534643,2037.8461004356052,1850.4397912069446,2853.3458469615643,2539.072096787308,2273.512737512798,2050.277508472348,1862.0902947917702,2864.7636749956814,2551.38420425447,2285.906967028852,2062.2664900161058,1873.3975529631584,2875.6060764053404,2563.1357807683403,2297.7978473759877,2073.829308882189,1884.36324012338,2885.921095637192,2574.3676825201846,2309.2154843875905,2084.9841361146487,1894.9936064898234,2895.7515176737943,2585.117239268694,2320.1885828182517,2095.7499224169323,1905.297766864374
7,2020-04-08,3237.889411328346,2883.508338461624,2590.332930589995,2348.813940654031,2148.981387402942,3260.6121395500622,2905.600673663835,2609.8304560201623,2364.7123824783775,2160.8482013232124,3281.871283861954,2926.9036469689618,2629.3768801610813,2381.5363979111025,2174.495574483738,3301.7192025527806,2947.239247846788,2648.5458911880723,2398.617453463236,2189.0279787849654,3320.2539459582817,2966.55847058245,2667.12469079514,2415.5804201816836,2203.9169146416993,3337.586439224736,2984.875244505344,2685.015313894114,2432.2145799532573,2218.844196473352,3353.8261915868975,3002.2334065368286,2702.182927106419,2448.404438108078,2233.616732096853,3369.0753806006005,3018.6897276746017,2718.627647586837,2464.090965253346,2248.11803612076,3383.4268029944483,3034.3050810415693,2734.3687149910747,2479.249111659909,2262.2795989006645,3396.9636058760075,3049.1398744076137,2749.435408828886,2493.8743900456793,2276.063452030353,3409.759805812395,3063.2517677571614,2763.8617673507997,2507.9746891974805,2289.451277376654,3421.881117295846,3076.694631358817,2777.6835039864304,2521.565193440243,2302.43745857274,3433.3858608508503,3089.5181786232597,2790.936219587052,2534.665191586548,2315.024570612261,3444.325843880523,3101.7679613338946,2803.6543899841936,2547.296058975135,2327.2204114138976,3454.747168580994,3113.485552473434,2815.8708217478315,2559.4799801161457,2339.0360276215765
8,2020-04-09,3799.787140136027,3412.813713222824,3085.8802450943776,2812.5015487393775,2583.7521439112083,3823.5597436792586,3436.5565214743065,3107.2568910030877,2830.1981202211923,2597.118253706573,3845.7864511043376,3459.433619798906,3128.6718709566567,2848.91353306805,2612.482477514071,3866.5248450739755,3481.25592032153,3149.6585018686164,2867.9028870575316,2628.8343713898366,3885.879897944787,3501.9730821976195,3169.984913360986,2886.7490080645,2645.5781446262017,3903.9696262365196,3521.6022215810985,3189.5453424196426,2905.2182617626054,2662.355614592663,3920.910190577659,3540.1923272732442,3208.3032117610323,2923.183213505827,2678.949877812723,3936.809770385362,3557.8060109576622,3226.2601318496195,2940.5793151445596,2695.2304925284716,3951.7664794479842,3574.510038786973,3243.438513062995,2957.379790868129,2711.1211120342036,3965.8681349408093,3590.370455822199,3259.8716048441447,2973.580663835446,2726.5797816630966,3979.192841264576,3605.4501667753157,3275.597716814288,2989.191630266184,2741.5866372003707,3991.8098892514286,3619.8078468592585,3290.6568545915284,3004.2304036523824,2756.136062077547,4003.7807318889263,3633.497573673293,3305.088777438768,3018.71916858077,2770.2316011779603,4015.1599261053793,3646.568844345247,3318.9319051172947,3032.682343120072,2783.882617290787,4025.9959939723535,3659.066790514145,3332.222736427352,3046.1451664701985,2797.102070548452
9,2020-04-10,4373.6145996797995,3959.004960679207,3601.387830667372,3297.9686536530294,3041.3059708299234,4398.090275612679,3984.0630493674416,3624.382438735865,3317.2839003076238,3056.061994262374,4420.963644460251,4008.1923955064203,3647.404096661156,3337.70017250062,3073.01658451827,4442.296057657774,4031.195387854912,3669.9514828529827,3358.4037215252115,3091.052480392987,4462.19734837509,4053.0209326202757,3691.7765277596227,3378.9395979009046,3109.511434315707,4480.790463735881,4073.688968142645,3712.7670020398295,3399.0536927418216,3127.9982292372874,4498.196163078196,4093.2528328331955,3732.885066537873,3418.6080069886066,3146.2739939393914,4514.526759301191,4111.7799984812855,3752.1338351786876,3437.533211202085,3164.1954821993345,4529.884017049316,4129.342098540182,3770.538639873162,3455.801152276225,3181.679223412489,4544.358952165288,4146.009811973368,3788.1363137395656,3473.4084736378572,3198.67970583277,4558.03246294211,4161.850339753105,3804.9689857283065,3490.3666418558564,3215.1757618094302,4570.976279892599,4176.926282351903,3821.0804775923793,3506.695773268686,3231.1618934684097,4583.253989225766,4191.295274475127,3836.514231264333,3522.420769306478,3246.6426519976967,4594.92201736325,4205.010022683819,3851.3121488656534,3537.5688827257736,3261.6289465619034,4606.030529333163,4218.118548472911,3865.51398155264,3552.168185373457,3276.1355960379074
10,2020-04-11,4955.697938099249,4518.463044844613,4133.434611623454,3802.0364971016,3518.7091430515943,4980.596404634132,4544.528556018848,4157.791303761933,3822.7854853654726,3534.7366299870123,5003.857898608548,4569.615342127422,4182.163720034729,3844.7067635805342,3553.1449717946034,5025.546195453157,4593.519503568979,4206.02148246089,3866.9255130154124,3572.718943257788,5045.774182399748,4616.189614219939,4229.103071661084,3888.9533896590383,3592.7430978219886,5064.667876913257,4637.647995488601,4251.291022987343,3910.518283810449,3612.788380549961,5082.350887244006,4657.9515081495765,4272.5466360977825,3931.472998515348,3632.5959191609472,5098.938077771443,4677.171507003228,4292.874473010734,3951.7441309449227,3652.0108725758923,5114.533460398514,4695.383486829202,4312.30248537952,3971.302460679967,3670.943378338928,5129.2300153129645,4712.66178587898,4330.8706615608135,3990.145319405591,3689.3447928580135,5143.110353134002,4729.076986347527,4348.624464020321,4008.2858654221213,3707.1928705675978,5156.247696942836,4744.6947696773395,4365.6110275910405,4025.7464520821272,3724.482326841493,5168.706935921391,4759.575556340524,4381.876979577146,4042.554482057111,3741.2187276889185,5180.545636682212,4773.774561518498,4397.467225732913,4058.739801203165,3757.4144809458885,5191.814964901177,4787.342061653417,4412.424316086434,4074.333061590159,3773.086180336667
