,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2020-04-01,113000549.27892257,113000651.82259516,113000731.52501224,113000794.04031555,113000843.76405801,113000540.66038086,113000644.24607593,113000725.33946685,113000789.29808635,113000840.39611028,113000532.60064209,113000636.9301793,113000719.12565483,113000784.2691579,113000836.51568455,113000525.08005784,113000629.9378471,113000713.01974912,113000779.15239556,113000832.37530102,113000518.06139676,113000623.28766969,113000707.09073782,113000774.06020708,113000828.12453572,113000511.50239827,113000616.97639896,113000701.37128288,113000769.05643442,113000823.85396963,113000505.3612623,113000610.9902559,113000695.87392738,113000764.17667873,113000819.61903796,113000499.59893668,113000605.31077802,113000690.59996241,113000759.43970193,113000815.45359045,113000494.17992032,113000599.91788717,113000685.54443136,113000754.8540578,113000811.37790306,113000489.07238057,113000594.7914945,113000680.69901957,113000750.42206256,113000807.40356372,113000484.24796449,113000589.91231716,113000676.05374768,113000746.14222834,113000803.53653176,113000479.68148874,113000585.2622635,113000671.5979707,113000742.01078185,113000799.77909587,113000475.3505965,113000580.82458177,113000667.32096502,113000738.02262484,113000796.1311503,113000471.2354234,113000576.58387962,113000663.21226783,113000734.17194656,113000792.59103878,113000467.3182901,113000572.52607584,113000659.26186536,113000730.45261574,113000789.15611891
1,2020-04-02,112999546.38237295,112999736.19161062,112999893.73917106,113000023.82114163,113000131.56238411,112999531.44259277,112999722.01421039,112999881.45068079,113000013.944803,113000124.27891186,112999517.54265593,112999708.38979061,112999869.1564798,113000003.50574158,113000115.90785857,112999504.63416992,112999695.42750837,112999857.1247415,112999992.92049071,113000107.00035705,112999492.64051276,112999683.15318173,112999845.48776366,112999982.42209049,113000097.88142972,112999481.47859439,112999671.55249147,112999834.30497845,112999972.1408053,113000088.74649176,112999471.06807412,112999660.59247236,112999823.59594089,112999962.14743818,113000079.71386956,112999461.33497563,112999650.2324786,112999813.35828231,112999952.4775956,113000070.85469583,112999452.21276172,112999640.42982896,112999803.57776935,112999943.14575954,113000062.21056698,112999443.6422722,112999631.14267847,112999794.23405628,112999934.15367766,113000053.80429593,112999435.57118416,112999622.3314138,112999785.30401345,112999925.49547644,113000045.64662826,112999427.95330602,112999613.95925449,112999776.76365763,112999917.16082896,113000037.74052574,112999420.74785121,112999605.99242753,112999768.58926025,112999909.13693999,113000030.08394524,112999413.9187556,112999598.40011746,112999760.75796539,112999901.40979739,113000022.67166634,112999407.43406385,112999591.15430386,112999753.24811329,112999893.96496098,113000015.49650528
2,2020-04-03,112998426.67653984,112998681.12596354,112998901.98527305,112999091.2278128,112999252.83509807,112998407.59320588,112998662.08248024,112998884.76904784,112999076.89915524,112999241.95744742,112998389.88762528,112998643.83543614,112998867.59165019,112999061.78909935,112999229.47819322,112998373.48745064,112998626.52375725,112998850.8261123,112999046.50403866,112999216.22576687,112998358.28606814,112998610.17432086,112998834.65295456,112999031.38065508,112999202.68704937,112998344.1703256,112998594.76084486,112998819.15007037,112999016.60491054,112999189.15314327,112998331.03204492,112998580.23299278,112998804.33967003,112999002.27590586,112999175.79886483,112998318.7723585,112998566.53108898,112998790.21373025,112998988.44161218,112999162.7280245,112998307.30283502,112998553.59359625,112998776.74817711,112998975.11954536,112999150.00016147,112998296.54519846,112998541.3608451,112998763.91093965,112998962.30905193,112999137.64680359,112998286.43047929,112998529.77678458,112998751.66656649,112998949.99876347,112999125.68160212,112998276.89798854,112998518.78968094,112998739.97886968,112998938.17118914,112999114.10677733,112998267.8942937,112998508.35226013,112998728.81241515,112998926.80557348,112999102.9172848,112998259.37227216,112998498.42156443,112998718.13333085,112998915.8796817,112999092.10354316,112998251.29026939,112998488.95867182,112998707.90970862,112998905.37091206,112999081.65323605
3,2020-04-04,112997242.9001142,112997545.04996268,112997815.74922933,112998054.16021599,112998262.60108845,112997221.06897803,112997522.4965051,112997794.72803287,112998036.19702615,112998248.65216498,112997200.84597562,112997500.92607646,112997773.79273815,112998017.28539433,112998232.6709289,112997182.14134434,112997480.49721424,112997753.3963373,112997998.18716936,112998215.72463886,112997164.82736154,112997461.23576733,112997733.755048,112997979.32296322,112998198.43887463,112997148.76999423,112997443.10526264,112997714.959398,112997960.92303662,112998181.18606591,112997133.84188029,112997426.04153177,112997697.03213562,112997943.1082712,112998164.18844956,112997119.92709385,112997409.97011118,112997679.95953667,112997925.93543248,112998147.57674126,112997106.92226432,112997394.81500703,112997663.70878491,112997909.42331247,112998131.42476332,112997094.736119,112997380.50300714,112997648.23779099,112997893.56822588,112998115.77048287,112997083.28840514,112997366.9656562,112997633.50078364,112997878.35338095,112998100.62910306,112997072.5086338,112997354.13999768,112997619.45148192,112997863.75462846,112998086.00137003,112997062.33484456,112997341.96867101,112997606.04485965,112997849.74401994,112998071.87892711,112997052.7124737,112997330.39968324,112997593.23808141,112997836.29201543,112998058.24780771,112997043.59335314,112997319.38602877,112997580.99094872,112997823.36884648,112998045.09073295
4,2020-04-05,112996022.56589882,112996360.28646533,112996669.97416586,112996948.49795249,112997196.55432174,112995998.88658695,112996335.20802364,112996646.06074566,112996927.64218268,112997180.06506431,112995976.97138047,112996311.25085576,112996622.27500805,112996905.71130586,112997161.19240813,112995956.7185081,112996288.58686556,112996599.13018064,112996883.59108818,112997141.20224339,112995937.98582609,112996267.24046648,112996576.8688351,112996861.76851137,112997120.83505543,112995920.6250924,112996247.16726008,112996555.59029998,112996840.50840594,112997100.53022778,112995904.49592191,112996228.29264082,112996535.31699558,112996819.94823259,112997080.54866523,112995889.47082855,112996210.53111666,112996516.03022264,112996800.15102348,112997061.042691,112995875.43633112,112996193.7959843,112996497.6899763,112996781.13591774,112997042.09728572,112995862.29237047,112996178.0040451,112996480.24609937,112996762.89622682,112997023.75512032,112995849.9510728,112996163.07772845,112996463.64460246,112996745.4103315,112997006.03211242,112995838.33533512,112996148.94585402,112996447.83122596,112996728.64834595,112996988.92727983,112995827.37744547,112996135.54368766,112996432.75340167,112996712.57622552,112996972.42907739,112995817.0178245,112996122.81264487,112996418.36127631,112996697.15830252,112996956.51951937,112995807.2039162,112996110.69983359,112996404.6081833,112996682.35884055,112996941.17688197
5,2020-04-06,112994775.05733089,112995140.27731003,112995481.12738983,112995792.69592163,112996074.28913738,112994750.07897937,112995113.32881542,112995454.98104173,112995769.52621213,112996055.70437747,112994726.97393163,112995087.60469848,112995428.99677634,112995745.18297444,112996034.44938289,112994705.63208807,112995063.28660926,112995403.73410043,112995720.65116303,112996011.95445502,112994685.90125956,112995040.39776182,112995379.45562969,112995696.47062568,112995989.05493413,112994667.62328787,112995018.88777655,112995356.26718506,112995672.93350665,112995966.24523844,112994650.64868872,112994998.67423004,112995334.19066183,112995650.19016355,112995943.81785019,112994634.84189205,112994979.66339444,112995313.20328721,112995628.30829293,112995921.94255385,112994620.08234133,112994961.76058283,112995293.25931284,112995607.30699769,112995900.71317217,112994606.26382498,112994944.87516092,112995274.30219398,112995587.17691301,112995880.17591661,112994593.29312997,112994928.9227773,112995256.2714675,112995567.89232354,112995860.34698673,112994581.08851723,112994913.82613839,112995239.10660972,112995549.4185561,112995841.22370233,112994569.57824145,112994899.51503217,112995222.74914585,112995531.71652298,112995822.79165028,112994558.69920465,112994885.9259797,112995207.14373736,112995514.74551553,112995805.02932361,112994548.39577118,112994873.00172001,112995192.23867032,112995498.46490762,112995787.91115485
6,2020-04-07,112993509.1679487,112993895.78991503,112994261.68826419,112994600.53615172,112994910.47260368,112993483.28387429,112993867.45583934,112994233.81742734,112994575.51938275,112994890.16800785,112993459.34910169,112993840.4228113,112994206.13627306,112994549.25210866,112994866.95941612,112993437.24777587,112993814.8796536,112994179.23994382,112994522.79848841,112994842.41239554,112993416.82074192,112993790.84864683,112994153.40639263,112994496.74044243,112994817.44017157,112993397.90295523,112993768.27494171,112994128.7463115,112994471.39173003,112994792.58220874,112993380.3386067,112993747.07029143,112994105.28106137,112994446.9128032,112994768.15671091,112993363.98650324,112993727.13484113,112994082.98461317,112994423.37489143,112994744.3475743,112993348.7211642,112993708.36796892,112994061.80669072,112994400.79689793,112994721.2556612,112993334.43209422,112993690.67351554,112994041.68574047,112994379.16717307,112994698.92988595,112993321.0223611,112993673.96209303,112994022.55623788,112994358.45660493,112994677.38649656,112993308.40699545,112993658.15186839,112994004.35277152,112994338.62659189,112994656.62125798,112993296.51144062,112993643.16856292,112993987.01226455,112994319.63393101,112994636.61726281,112993285.27014534,112993628.94506486,112993970.4751096,112994301.43381505,112994617.34999304,112993274.62532626,112993615.42087103,112993954.68566851,112994283.98165265,112994598.79062283
7,2020-04-08,112992230.90789014,112992634.2832534,112993020.42983809,112993381.87081581,112993715.77371357,112992204.39841984,112992604.92374685,112992991.22726868,112993355.38147122,112993694.06180345,112992179.89049517,112992576.92196856,112992962.2360847,112993327.58106253,112993669.2555776,112992157.26435088,112992550.47206208,112992934.07890639,112993299.59690642,112993643.03147689,112992136.35607214,112992525.59562929,112992907.04547583,112993272.04439823,112993616.36647542,112992116.99589717,112992502.23452377,112992881.25019217,112993245.25443187,112993589.83682346,112992099.02367789,112992480.29619785,112992856.71395521,112993219.39540333,112993563.78165612,112992082.29435952,112992459.67626949,112992833.40817991,112993194.54126075,112993538.39628743,112992066.6790768,112992440.26973018,112992811.27905929,112993170.71066082,112993513.7872122,112992052.06438786,112992421.97633627,112992790.26114385,112993147.89005654,112993490.00543778,112992038.35080075,112992404.70297578,112992770.28497781,112993126.04756382,112993467.06714542,112992025.45112155,112992388.36445889,112992751.28135698,112993105.14139497,112993444.96673419,112992013.28885671,112992372.88349913,112992733.18363595,112993085.12502111,112993423.68517458,112992001.79676396,112992358.19029766,112992715.92889906,112993065.95032994,112993403.1954151,112991990.91557904,112992344.22195286,112992699.45846826,112993047.5695379,112993383.46590419
8,2020-04-09,112990945.21021895,112991361.70239237,112991764.25841431,112992144.4413646,112992498.6098394,112990918.27775253,112991331.59036069,112991734.03213768,112992116.78249937,112992475.75117037,112990893.38172756,112991302.87737721,112991704.03396964,112992087.76484883,112992449.6436541,112990870.39983028,112991275.76153438,112991674.90764259,112992058.5658914,112992422.0541829,112990849.16500561,112991250.26397958,112991646.95195097,112992029.82757364,112992394.01168334,112990829.50436425,112991226.3241854,112991620.28413548,112992001.89434993,112992366.12233521,112990811.25487302,112991203.8464806,112991594.92473502,112991974.94087572,112992338.74226083,112990794.26890399,112991182.72318777,112991570.84319521,112991949.04321223,112992312.07600239,112990778.41533297,112991162.84610125,112991547.98299176,112991924.21977945,112992286.23457034,112990763.57874884,112991144.11199777,112991526.27567817,112991900.45548865,112992261.27060913,112990749.65794694,112991126.42504685,112991505.64877544,112991877.7162247,112992237.2001846,112990736.5642433,112991109.69760673,112991486.0301631,112991855.95764513,112992214.01652947,112990724.21984576,112991093.85019301,112991467.35045221,112991835.13055943,112992191.6988391,112990712.55637734,112991078.81104235,112991449.54418403,112991815.18421389,112992170.21795815,112990701.5135792,112991064.51549892,112991432.55034387,112991796.06827617,112992149.54008067
9,2020-04-10,112989651.55889535,112990078.57444756,112990494.76854025,112990890.82203789,112991262.40011546,112989624.33087574,112990047.89089148,112990463.73339185,112990862.21483864,112991238.59250969,112989599.16378316,112990018.63748151,112990432.9392296,112990832.21001865,112991211.40826282,112989575.93353134,112989991.01537788,112990403.04650171,112990802.02572311,112991182.68912514,112989554.4708711,112989965.04544406,112990374.36120294,112990772.32543461,112991153.50700818,112989534.60072342,112989940.66539441,112990347.00286749,112990743.46461658,112991124.49284606,112989516.15803203,112989917.77722494,112990320.9917933,112990715.62301597,112991096.0168037,112989498.99336284,112989896.27078581,112990296.29590806,112990688.87842357,112991068.29104571,112989482.97400472,112989876.035466,112990272.8565725,112990663.24908286,112991041.43030687,112989467.98316203,112989856.96579644,112990250.60299861,112990638.71866907,112991015.48857589,112989453.91842543,112989838.96389447,112990229.46034023,112990615.25127044,112990990.48181455,112989440.69006222,112989821.94026521,112990209.35419016,112990592.80048396,112990966.40228352,112989428.21936607,112989805.81376132,112990190.21300595,112990571.31497042,112990943.2277038,112989416.43716086,112989790.51113182,112990171.9693307,112990550.74184252,112990920.927175,112989405.28248715,112989775.96639141,112990154.56031252,112990531.0287083,112990899.46502243
