,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2020-04-01,113000281.89699803,113000371.06456588,113000450.25516984,113000518.7005415,113000577.27112931,113000275.0337012,113000363.99429001,113000443.78984624,113000513.30800106,113000573.185775,113000268.70229885,113000357.24131832,113000437.34981014,113000507.62578931,113000568.50026335,113000262.86991425,113000350.8547919,113000431.07495078,113000501.88261177,113000563.52616355,113000257.49230666,113000344.8420132,113000425.03230143,113000496.20522873,113000558.44656232,113000252.52390154,113000339.19068207,113000419.2501413,113000490.66344015,113000553.3708809,113000247.92182288,113000333.87983645,113000413.73579705,113000485.29423636,113000548.36477865,113000243.64730589,113000328.88534623,113000408.48528247,113000480.1153131,113000543.46719176,113000239.66596085,113000324.18267606,113000403.48866108,113000475.13289054,113000538.70039575,113000235.94755086,113000319.74823992,113000398.73308305,113000470.34635845,113000534.0761266,113000232.4655872,113000315.56001723,113000394.20451953,113000465.75109278,113000529.59939665,113000229.19688039,113000311.59777944,113000389.8887503,113000461.3401896,113000525.27092156,113000226.12110831,113000307.8431137,113000385.77191593,113000457.10554257,113000521.08868922,113000223.2204254,113000304.27934422,113000381.84081294,113000453.03851487,113000517.04898673,113000220.47911985,113000300.89140648,113000378.08303654,113000449.1303568,113000513.14707872
1,2020-04-02,112999095.82854101,112999232.7779896,112999362.38207985,112999480.65076,112999586.61627991,112999085.85911345,112999221.77045679,112999351.69486144,112999471.27019994,112999579.1951231,112999076.70098191,112999211.30391155,112999341.09421849,112999461.42164038,112999570.70836948,112999068.29748021,112999201.4474516,112999330.80830373,112999451.50471705,112999561.72758459,112999060.5771085,112999192.20514216,112999320.94287015,112999441.73813951,112999552.5867039,112999053.46796702,112999183.55136146,112999311.53920528,112999432.23993063,112999543.48344983,112999046.9033452,112999175.44800235,112999302.60424423,112999423.07049775,112999534.53482665,112999040.82350825,112999167.85297695,112999294.1267696,112999414.25668235,112999525.80876829,112999035.17585634,112999160.7243968,112999286.08634244,112999405.80561817,112999517.34281257,112999029.91442364,112999154.02254781,112999278.45829958,112999397.71291727,112999509.15543452,112999024.99915224,112999147.71072535,112999271.21656196,112999389.96759678,112999501.25308573,112999020.39513423,112999141.75548054,112999264.33519831,112999382.55508296,112999493.63464963,112999016.07190347,112999136.12656844,112999257.78927012,112999375.45905535,112999486.2943035,112999012.0028061,112999130.79675347,112999251.55525811,112999368.66257901,112999479.22337748,112999008.16445526,112999125.74155538,112999245.6112447,112999362.14879332,112999472.4115709
2,2020-04-03,112997853.203962,112998016.56927706,112998176.8096925,112998327.95591897,112998467.45930123,112997841.7044281,112998003.39680973,112998163.56606202,112998315.95518118,112998457.69093126,112997831.15914337,112997990.89940149,112998150.46016419,112998303.38292664,112998446.54024807,112997821.49826615,112997979.15505132,112998137.77228977,112998290.75149587,112998434.76402412,112997812.6357437,112997968.16410536,112998125.62978101,112998278.33905609,112998422.80270289,112997804.48586288,112997957.8919631,112998114.07989994,112998266.29379956,112998410.91546375,112997796.96954413,112997948.28973764,112998103.12760308,112998254.68985894,112998399.25426301,112997790.01625898,112997939.30438417,112998092.75578171,112998243.55847932,112998387.90607463,112997783.56409584,112997930.88361546,112998082.93635963,112998232.90593286,112998376.91779566,112997777.55908988,112997922.97817515,112998073.63645828,112998222.72406125,112998366.3113359,112997771.95431542,112997915.54275623,112998064.82182741,112998212.9965903,112998356.09296623,112997766.70895837,112997908.53622779,112998056.45872852,112998203.7029561,112998346.2592152,112997761.78745921,112997901.92151733,112998048.51493081,112998194.82063563,112998336.80064076,112997757.15875642,112997895.66533315,112998040.96019411,112998186.32656272,112998327.70426701,112997752.79563455,112997889.73782451,112998033.76645584,112998178.19797719,112998318.95516844
3,2020-04-04,112996579.50290638,112996759.10973404,112996939.18319373,112997112.69947061,112997276.08512507,112996567.14073074,112996744.63981913,112996924.31620237,112997098.944539,112997264.66959693,112996555.8136125,112996730.92742494,112996909.62342508,112997084.55364186,112997251.65396531,112996545.44420163,112996718.05543868,112996895.41781567,112997070.11464246,112997237.92584881,112996535.93818559,112996706.02157652,112996881.83984178,112997055.94510433,112997224.00051329,112996527.20202668,112996694.78552549,112996868.93998165,112997042.21282399,112997210.1799207,112996519.14964797,112996684.29167496,112996856.72141965,112997029.00049424,112997196.6400156,112996511.70442034,112996674.48020846,112996845.16286767,112997016.34171458,112997183.48053046,112996504.79917274,112996665.29244871,112996834.23103712,112997004.24164982,112997170.75433442,112996498.37542504,112996656.67329973,112996823.88753709,112996992.68915817,112997158.48519348,112996492.3823764,112996648.57220717,112996814.0926899,112996981.66403246,112997146.6787537,112996486.77588148,112996640.94336653,112996804.80760811,112996971.14137058,112997135.32945308,112996481.51750875,112996633.74556106,112996795.99527757,112996961.09422366,112997124.42492948,112996476.57371205,112996626.94183041,112996787.6210689,112996951.49519426,112997113.94885854,112996471.9151181,112996620.49907622,112996779.65292135,112996942.31738557,112997103.88278998
4,2020-04-05,112995293.56203742,112995483.9443154,112995677.35125001,112995866.34076436,112996046.77873515,112995280.65304969,112995468.65467803,112995661.42933577,112995851.40418443,112996034.21316953,112995268.8272396,112995454.17329974,112995645.7057539,112995835.78979889,112996019.89735748,112995258.00313795,112995440.58629163,112995630.51455773,112995820.13631895,112996004.81062162,112995248.08173251,112995427.88986616,112995616.00462069,112995804.78766829,112995989.5204691,112995238.96495935,112995416.0402565,112995602.22840738,112995789.92462075,112995974.35855316,112995230.56265165,112995404.97774598,112995589.18787058,112995775.63540605,112995959.51730984,112995222.79458717,112995394.63836533,112995576.85894765,112995761.95500103,112995945.10510235,112995215.59047788,112995384.95950885,112995565.20492183,112995748.88764434,112995931.17870168,112995208.88915324,112995375.8824845,112995554.18379278,112995736.4200331,112995917.76292525,112995202.6374924,112995367.3535022,112995543.75233932,112995724.52918625,112995904.86276685,112995196.7893468,112995359.32387246,112995533.86831908,112995713.18717813,112995892.47101776,112995191.30455077,112995351.74981767,112995524.49160634,112995702.36399713,112995880.57311743,112995186.14805204,112995344.59210834,112995515.58472036,112995692.02926315,112995869.1502685,112995181.28916453,112995337.81563564,112995507.11300604,112995682.1532416,112995858.18144637
5,2020-04-06,112993990.16795723,112994188.69404554,112994392.19978255,112994592.97122696,112994786.53033964,112993976.86444,112994172.8051634,112994375.5034849,112994577.1592082,112994773.10095322,112993964.67898895,112994157.76077558,112994359.02234766,112994560.63801132,112994757.80866306,112993953.52721067,112994143.64954165,112994343.10599145,112994544.08398707,112994741.70167255,112993943.30672213,112994130.4667479,112994327.90957531,112994527.86059582,112994725.38670309,112993933.91619612,112994118.16624586,112994313.4871419,112994512.15825352,112994709.21767567,112993925.26250672,112994106.68543118,112994299.8398507,112994497.06932889,112994693.39937977,112993917.26282513,112994095.95738715,112994286.94169942,112994482.62985903,112994678.0466319,112993909.84459741,112994085.91670409,112994274.75353722,112994468.84343563,112994663.21911004,112993902.94469377,112994076.50211233,112994263.23078318,112994455.6951917,112994648.94240317,112993896.50830145,112994067.6574949,112994252.32767174,112994443.1601249,112994635.22100194,112993890.48780923,112994059.33208176,112994241.99954458,112994431.20809984,112994622.04645178,112993884.84178397,112994051.48024409,112994232.20402996,112994419.80686276,112994609.40253523,112993879.53407173,112994044.06110851,112994222.90158501,112994408.92384759,112994597.26859443,112993874.53302544,112994037.038107,112994214.05567524,112994398.52723801,112994585.62167022
6,2020-04-07,112992677.08802518,112992881.51803656,112993092.51178116,112993302.18195528,112993505.82113713,112992663.52205953,112992865.21286592,112993075.26147012,112993285.72874309,112993491.74584018,112992651.09724167,112992849.77727097,112993058.23834506,112993268.54350874,112993475.72366549,112992639.7272585,112992835.30170135,112993041.80316742,112993251.33017106,112993458.8543677,112992629.30750583,112992821.78081736,112993026.1155969,112993234.46648696,112993441.77398893,112992619.73450254,112992809.16683023,112993011.23080847,112993218.14991742,112993424.85307519,112992610.91316782,112992797.39514068,112992997.14939678,112993202.47584519,112993408.30561753,112992602.75894964,112992786.39679311,112992983.84397393,112993187.48106778,112993392.25121999,112992595.19779523,112992776.10443638,112992971.27364923,112993173.16868897,112993376.751698,112992588.1652783,112992766.45501524,112992959.39199655,112993159.52268414,112993361.83318469,112992581.60546605,112992757.39079991,112992948.15143079,112993146.5165605,112993347.49976577,112992575.46977869,112992748.85957783,112992937.5055656,112993134.11855583,112993333.74203037,112992569.71594355,112992740.81443626,112992927.41042256,112993122.29476732,112993320.54250106,112992564.30707666,112992733.21336144,112992917.82498361,112993111.01102218,112993307.87911119,112992559.21089414,112992726.0187727,112992908.7113696,112993100.23397478,112993295.72744021
7,2020-04-08,112991358.35078853,112991567.20062418,112991783.85055964,112992000.3265122,112992211.78152111,112991344.60114309,112991550.60038908,112991766.199867,112991983.40063375,112992197.22100033,112991332.0081429,112991534.88699983,112991748.78475083,112991965.72580586,112992180.65059194,112991320.48426849,112991520.15225014,112991731.97404237,112991948.02626026,112992163.20878561,112991309.92347528,112991506.3904319,112991715.9306858,112991930.69029228,112992145.55364439,112991300.22086675,112991493.55266106,112991700.71070945,112991913.92056075,112992128.06819147,112991291.28006695,112991481.57298186,112991686.31433335,112991897.8146771,112992110.97331649,112991283.01537561,112991470.38104141,112991672.71319853,112991882.41000734,112992094.3922066,112991275.35173659,112991459.90815197,112991659.86518334,112991867.70930365,112992078.38827096,112991268.22385228,112991450.09002495,112991647.72255096,112991853.6956959,112992062.9880413,112991261.57503454,112991440.86781389,112991636.23642062,112991840.34159996,112992048.19529068,112991255.3560484,112991432.18830533,112991625.35917349,112991827.61406116,112992033.99988307,112991249.52405162,112991424.0036941,112991615.04568389,112991815.4779672,112992020.38338923,112991244.04166375,112991416.27117251,112991605.2538792,112991803.89796643,112992007.32267997,112991238.87616657,112991408.95245394,112991595.94491835,112991792.83959082,112991994.79223381
8,2020-04-09,112990039.19249438,112990251.68371578,112990472.77176072,112990694.5212277,112990912.05025394,112990025.28276655,112990234.85777098,112990454.82572988,112990677.24705693,112990897.1281039,112990012.54110362,112990218.93019295,112990437.12037502,112990659.21090773,112990880.1489181,112990000.87937197,112990203.99404478,112990420.03054067,112990641.15194145,112990862.28000297,112989990.19063596,112990190.04358116,112990403.7217047,112990623.46623626,112990844.19581181,112989980.36905894,112990177.02930126,112990388.25064862,112990606.36032496,112990826.28866427,112989971.31736922,112990164.88440163,112990373.61743584,112990589.93351567,112990808.78459999,112989962.94904996,112990153.53761998,112990359.79309987,112990574.22364965,112990791.80949122,112989955.18831582,112990142.91937828,112990346.73470679,112990559.23327428,112990775.42795263,112989947.96922456,112990132.96455328,112990334.3936356,112990544.94494651,112990759.6668319,112989941.23452057,112990123.61353372,112990322.72012062,112990531.3303231,112990744.52968797,112989934.93446977,112990114.81241387,112990311.6656941,112990518.3556109,112990730.0058626,112989929.02579072,112990106.51276606,112990301.18443511,112990505.9848418,112990716.0762343,112989923.47071569,112990098.67122474,112990291.23353639,112990494.18182644,112990702.71689801,112989918.23618414,112990091.2490039,112990281.77348387,112990482.91129695,112990689.90152644
9,2020-04-10,112988710.72829732,112988926.37735215,112989151.46580954,112989377.93240303,112989600.81680937,112988696.69588988,112988909.3506087,112989133.25430566,112989360.3510848,112989585.58171481,112988683.84250759,112988893.23344514,112989115.28796172,112989341.99574955,112989568.24823862,112988672.07913722,112988878.11997889,112989097.94708963,112989323.6187337,112989550.00852095,112988661.29780683,112988864.00433558,112989081.39950126,112989305.62304214,112989531.55119388,112988651.39166565,112988850.83636694,112989065.70270014,112989288.21870561,112989513.27666898,112988642.26251589,112988838.54842196,112989050.85664192,112989271.50661084,112989495.41551292,112988633.8230205,112988827.06834438,112989036.83183654,112989255.52509356,112989478.095999,112988625.99667819,112988816.32568875,112989023.58463413,112989240.27658583,112989461.38386108,112988618.71692555,112988806.2545232,112989011.06562668,112989225.74319437,112989445.30629027,112988611.92596906,112988796.79449844,112988999.22425602,112989211.89595196,112989429.86672288,112988605.57360859,112988787.89104293,112988988.01129083,112989198.70036303,112989415.05410342,112988599.61615807,112988779.49513203,112988977.38009237,112989186.11973442,112989400.84875858,112988594.01549748,112988771.56286651,112988967.28718843,112989174.11716191,112989387.2261521,112988588.73825867,112988764.05498374,112988957.69245419,112989162.6566908,112989374.15929355
