,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2020-04-01,113001130.12517457,113001161.39407502,113001182.71172199,113001197.99391283,113001209.3852416,113001127.25632109,113001159.24486293,113001181.13542774,113001196.87383224,113001208.63321307,113001124.53479016,113001157.1474164,113001179.53950767,113001195.67931649,113001207.76334895,113001121.96056828,113001155.12191977,113001177.9589688,113001194.45675161,113001206.83115566,113001119.52701624,113001153.17624612,113001176.41232486,113001193.23277041,113001205.86971305,113001117.22492927,113001151.31196667,113001174.90905702,113001192.02286841,113001204.89926109,113001115.0444277,113001149.52741848,113001173.45354863,113001190.83601862,113001203.932377,113001112.97583385,113001147.81932804,113001172.04725425,113001189.67726345,113001202.97691235,113001111.0100591,113001146.18369094,113001170.6899375,113001188.54922748,113001202.03772797,113001109.13874975,113001144.61625369,113001169.38039647,113001187.4530286,113001201.11775343,113001107.3543142,113001143.1127767,113001168.11689718,113001186.38884085,113001200.21865256,113001105.64989363,113001141.66917424,113001166.897436,113001185.35624935,113001199.34125139,113001104.01930758,113001140.28158419,113001165.71989931,113001184.35447758,113001198.48581852,113001102.45699091,113001138.94639769,113001164.58216037,113001183.3825349,113001197.65225212,113001100.95793015,113001137.66026607,113001163.4821372,113001182.43931282,113001196.84020612
1,2020-04-02,113000858.58645576,113000934.87881228,113000988.92123121,113001028.71889,113001058.97469588,113000851.98888347,113000929.6792444,113000984.9716577,113001025.8400348,113001057.00437376,113000845.75317624,113000924.61978483,113000980.9819695,113001022.77507252,113001054.72808364,113000839.87547867,113000919.74771713,113000977.0396577,113001019.64367568,113001052.2919636,113000834.33714226,113000915.08035864,113000973.19043119,113001016.51422976,113001049.78293931,113000829.11413574,113000910.61985071,113000969.45720401,113001013.42623739,113001047.25402576,113000824.18135804,113000906.36067401,113000965.85009645,113001010.40232328,113001044.73801197,113000819.51458873,113000902.29359993,113000962.3719354,113001007.45497411,113001042.25523007,113000815.09130882,113000898.4078125,113000959.02138297,113001004.5904681,113001039.81814425,113000810.89097427,113000894.69205669,113000955.79476196,113001001.81123716,113001037.43415233,113000806.89502622,113000891.13525368,113000952.68714036,113000999.11732273,113001035.10734355,113000803.08678044,113000887.72681916,113000949.69298321,113000996.50729072,113001032.83962701,113000799.45126732,113000884.45681378,113000946.80654517,113000993.97881547,113001030.63147014,113000795.97505867,113000881.315999,113000944.02210578,113000991.52905636,113001028.48238955,113000792.64609893,113000878.29583995,113000941.33410725,113000989.15490241,113001026.39128157
2,2020-04-03,113000507.09908243,113000633.58266322,113000726.14606039,113000795.92068939,113000849.89698286,113000496.7487153,113000625.06217518,113000719.4722892,113000790.9448243,113000846.43210867,113000486.9934539,113000616.79053959,113000712.74322838,113000785.65482022,113000842.43332551,113000477.82250987,113000608.84310725,113000706.10633522,113000780.25813456,113000838.15867096,113000469.20248261,113000601.24591991,113000699.63784574,113000774.87283061,113000833.76136859,113000461.09219177,113000594.00027063,113000693.37526761,113000769.56668179,113000829.33460376,113000453.44938748,113000587.09513457,113000687.33447538,113000764.37813164,113000824.93577187,113000446.23372017,113000580.51366916,113000681.51909354,113000759.32805657,113000820.60025197,113000439.40793823,113000574.23667853,113000675.92581806,113000754.4266165,113000816.34954278,113000432.93823758,113000568.24446844,113000670.54750955,113000749.67736661,113000812.19622704,113000426.79421175,113000562.51782504,113000665.3750222,113000745.0797857,113000808.14708349,113000420.94862436,113000557.03850773,113000660.3982956,113000740.63086088,113000804.20508225,113000415.37711497,113000551.78947061,113000655.60700701,113000736.32609536,113000800.37068817,113000410.05789262,113000546.75493196,113000650.99095738,113000732.16015577,113000796.64272541,113000404.97144319,113000541.92036054,113000646.54029368,113000728.12729008,113000793.01895805
3,2020-04-04,113000095.8888116,113000273.22023356,113000406.76438904,113000509.53936267,113000590.29559882,113000082.11967325,113000261.43760246,113000397.27792874,113000502.31992047,113000585.1884639,113000069.17067817,113000250.02063687,113000387.72762741,113000494.65396592,113000579.29963233,113000057.02241133,113000239.07104714,113000378.32257368,113000486.84321499,113000573.01076037,113000045.62604465,113000228.62215535,113000369.1698951,113000479.05876005,113000566.54813293,113000034.9231276,113000218.67321865,113000360.32143295,113000471.39827983,113000560.04902491,113000024.85444473,113000209.20674366,113000351.79827298,113000463.91671123,113000553.59767804,113000015.36386475,113000200.19749816,113000343.60418597,113000456.6434551,113000547.2457457,113000006.39983433,113000191.61728373,113000335.73323137,113000449.59238769,113000541.02436937,112999997.91575661,113000183.43746796,113000328.17416233,113000442.7678607,113000534.95154366,112999989.86985317,113000175.63030206,113000320.91301925,113000436.16838369,113000529.03672957,112999982.22480372,113000168.16956905,113000313.93466921,113000429.78892641,113000523.28380874,112999974.94730827,113000161.03086023,113000307.22371893,113000423.62237844,113000517.6930103,112999968.00764275,113000154.19164607,113000300.76504922,113000417.66048315,113000512.2621866,112999961.37924004,113000147.63123573,113000294.54411788,113000411.89443773,113000506.98766784
4,2020-04-05,112999639.22484776,112999865.5449211,113000040.44536507,113000177.60297422,113000286.92265715,112999622.51702091,112999850.73339981,113000028.21577999,113000168.11859097,113000280.11447723,112999606.83188178,112999836.4038326,113000015.91992082,113000158.05806522,113000272.2703613,112999592.14088362,112999822.68141925,113000003.82672076,113000147.81854543,113000263.90059504,112999578.38046938,112999809.60520478,112999992.07289112,113000137.62453522,113000255.30731842,112999565.47613369,112999797.17159642,112999980.72362523,113000127.60359165,113000246.67341653,112999553.35309619,112999785.35625352,112999969.80447316,113000117.82691546,113000238.11075507,112999541.94086824,112999774.1254358,112999959.31877865,113000108.33211207,113000229.68760203,112999531.17496519,112999763.44198056,112999949.25752234,113000099.13642418,113000221.4448238,112999520.9972793,112999753.2684494,112999939.60500789,113000090.24465212,113000213.40575886,112999511.35584134,112999743.56874564,112999930.34219709,113000081.65400633,113000205.58239725,112999502.20432599,112999734.30889323,112999921.4486799,113000073.35713474,113000197.9793339,112999493.50147517,112999725.45735243,112999912.90383497,113000065.3440368,113000190.59634326,112999485.21052234,112999716.98508215,112999904.68750246,113000057.6032839,113000183.43008122,112999477.29865552,112999708.86546646,112999896.78035967,113000050.12280014,113000176.47522259
5,2020-04-06,112999147.4396289,112999419.48360856,112999634.8003038,112999806.60841215,112999945.36341313,112999128.3118074,112999401.96226105,112999619.99002202,112999794.91858016,112999936.85647938,112999110.3800182,112999385.03298607,112999605.11600979,112999782.52979186,112999927.06184182,112999093.60693698,112999368.84121247,112999590.50326985,112999769.93234532,112999916.6187515,112999077.91580674,112999353.43028526,112999576.31588651,112999757.40263644,112999905.90525019,112999063.2180222,112999338.7933069,112999562.63109116,112999745.09704024,112999895.149713,112999049.42527464,112999324.89915161,112999549.4781209,112999733.10225709,112999884.49142404,112999036.45468093,112999311.70590638,112999536.85944727,112999721.46353444,112999874.01502441,112999024.23064882,112999299.16791761,112999524.762737,112999710.2010613,112999863.77085671,112999012.68522273,112999287.23947538,112999513.16774407,112999699.31976987,112999853.78736258,112999001.75774424,112999275.87668741,112999502.05033888,112999688.81533173,112999844.07883663,112998991.39423251,112999265.03836374,112999491.38487805,112999678.6778911,112999834.65038182,112998981.54668163,112999254.6863585,112999481.1455921,112999668.89441963,112999825.50113304,112998972.17236786,112999244.78561638,112999471.30738303,112999659.45021324,112999816.6263844,112998963.23320818,112999235.30406335,112999461.84626374,112999650.32984602,112999808.01900859
6,2020-04-07,112998628.42840445,112998942.11715654,112999196.04424897,112999401.98525877,112999570.37451541,112998607.38611163,112998922.24211748,112999178.86959505,112999388.20219366,112999560.21372512,112998587.681659,112998903.05952832,112999161.63749023,112999373.60649759,112999548.5219747,112998569.26986495,112998884.73176461,112999144.72410752,112999358.77706091,112999536.06451157,112998552.06275585,112998867.30525921,112999128.31822616,112999344.03942572,112999523.29339753,112998535.95993832,112998850.7696507,112999112.50767247,112999329.57707895,112999510.48123856,112998520.86189081,112998835.08740334,112999097.32463822,112999315.49114178,112999497.793861,112998506.67551565,112998820.20906734,112999082.7704088,112999301.83381733,112999485.33165152,112998493.31610587,112998806.08124688,112999068.82927236,112999288.62780775,112999473.15397012,112998480.7076528,112998792.65074198,112999055.4765171,112999275.87791108,112999461.29402128,112998468.78241323,112998779.86663546,112999042.68309295,112999263.57810573,112999449.76814917,112998457.48018035,112998767.68126102,112999030.41834314,112999251.7159541,112999438.58177273,112998446.74747309,112998756.05056006,112999018.65159506,112999240.27537377,112999427.7332423,112998436.5367442,112998744.93410833,112999007.35306779,112999229.23839454,112999417.21638103,112998426.80565102,112998734.29497024,112998996.49436568,112999218.58627395,112999407.0221777
7,2020-04-08,112998088.42891623,112998439.21494412,112998729.36481255,112998968.3553273,112999166.07117769,112998065.93701278,112998417.35041162,112998710.07110304,112998952.62502632,112999154.3310896,112998044.8935776,112998396.26685733,112998690.72880413,112998935.97879569,112999140.82936612,112998025.24683176,112998376.14048736,112998671.75978032,112998919.07808852,112999126.45194995,112998006.89976145,112998357.01983488,112998653.37462415,112998902.29407085,112999111.72169007,112997989.74260168,112998338.89114444,112998635.6702982,112998885.83524357,112999096.95337626,112997973.66698264,112998321.71105766,112998618.68129303,112998869.81589389,112999082.33804555,112997958.57178648,112998305.42341155,112998602.40751225,112998854.29444146,112999067.99094844,112997944.36517662,112998289.9679797,112998586.82993482,112998839.2956851,112999053.97987285,112997930.96486466,112998275.28499317,112998571.91960254,112998824.82407756,112999040.3423916,112997918.29759721,112998261.3173998,112998557.64284621,112998810.87182516,112999027.09663653,112997906.29833652,112998248.01189585,112998543.96433705,112998797.4239145,112999014.24817277,112997894.90936191,112998235.31928973,112998530.84885609,112998784.46126997,112999001.79446077,112997884.07939826,112998223.19450705,112998518.2622962,112998771.96275033,112998989.72779305,112997873.76281661,112998211.59640989,112998506.17220086,112998759.9064127,112998978.03724734
8,2020-04-09,112997532.5123648,112997915.58981974,112998239.17779736,112998509.71881546,112998736.0652042,112997508.98019929,112997892.09028186,112998218.02301426,112998492.20802979,112998722.84080087,112997486.97805353,112997869.44733617,112998196.83008097,112998473.68893965,112998707.63936457,112997466.44897364,112997847.84816527,112998176.06084709,112998454.89861427,112998691.4606019,112997447.28908852,112997827.34262776,112998155.94479676,112998436.24985337,112998674.8939796,112997429.38160779,112997807.91381383,112998136.58661845,112998417.9738512,112998658.29388551,112997412.61157198,112997789.5132636,112998118.02253264,112998400.19672024,112998641.87493154,112997396.87191698,112997772.07902995,112998100.25096647,112998382.98234716,112998625.76618695,112997382.0655383,112997755.54505011,112998083.24976076,112998366.35724218,112998610.04320034,112997368.1055206,112997739.84597188,112998066.98602736,112998350.3253547,112998594.74749285,112997354.91456042,112997724.91954848,112998051.42186825,112998334.87710312,112998579.89872876,112997342.4240766,112997710.70771702,112998036.51770501,112998319.99497136,112998565.502475,112997330.57324485,112997697.15696326,112998022.2342013,112998305.6570178,112998551.55523324,112997319.30806588,112997684.21830495,112998008.53334484,112998291.83908951,112998538.0477481,112997308.58051305,112997671.84707928,112997995.37902312,112998278.51621997,112998524.9672041
9,2020-04-10,112996964.77602527,112997375.23738445,112997729.22214098,112998029.51618557,112998283.50327918,112996940.54718298,112997350.4347441,112997706.46472298,112998010.40238991,112998268.90266441,112996917.90425517,112997326.5511329,112997683.68031354,112997990.19888203,112998252.1265251,112996896.78655419,112997303.78217986,112997661.36507396,112997969.71091242,112998234.28032865,112996877.08539298,112997282.17849146,112997639.7645362,112997949.38869154,112998216.01538214,112996858.67909585,112997261.7203635,112997618.98979613,112997929.48369187,112998197.7227434,112996841.44814683,112997242.35502821,112997599.07832627,112997910.13249013,112998179.63877687,112996825.28138618,112997224.01572451,112997580.02706647,112997891.4037101,112998161.90523174,112996810.078092,112997206.63156837,112997561.81096536,112997873.32522793,112998144.6047121,112996795.74817953,112997190.13261734,112997544.39358649,112997855.9003805,112998127.78226279,112996782.21157694,112997174.45236877,112997527.73324987,112997839.11783457,112998111.4588403,112996769.39728568,112997159.52887137,112997511.78659813,112997822.95769581,112998095.63989548,112996757.24236776,112997145.30508712,112997496.51064795,112997807.3953332,112998080.32093498,112996745.69097137,112997131.72885437,112997481.8639384,112997792.40378757,112998065.4911734,112996734.693442,112997118.75264746,112997467.807136,112997777.95528805,112998051.1359559
