,Wuhan-Hu-1*_as_people_fully_vaccinated,Wuhan-Hu-1*_as_total_boosters,date
0,20768,0.0,2021-01-10
1,16065,0.0,2021-01-11
2,9745,0.0,2021-01-12
3,5257,0.0,2021-01-13
4,4208,0.0,2021-01-14
5,2620,0.0,2021-01-15
6,2239,0.0,2021-01-16
7,4565,0.0,2021-01-17
8,3759,0.0,2021-01-18
9,3411,0.0,2021-01-19
10,2760,0.0,2021-01-20
11,1821,0.0,2021-01-21
12,1043,0.0,2021-01-22
13,818,0.0,2021-01-23
14,1968,0.0,2021-01-24
15,1710,0.0,2021-01-25
16,2329,0.0,2021-01-26
17,1769,0.0,2021-01-27
18,2178,0.0,2021-01-28
19,10621,0.0,2021-01-29
20,3156,0.0,2021-01-30
21,2587,0.0,2021-01-31
22,2166,0.0,2021-02-01
23,2995,0.0,2021-02-02
24,4036,0.0,2021-02-03
25,4064,0.0,2021-02-04
26,1662,0.0,2021-02-05
27,862,0.0,2021-02-06
28,3811,0.0,2021-02-07
29,3161,0.0,2021-02-08
30,4894,0.0,2021-02-09
31,5647,0.0,2021-02-10
32,4775,0.0,2021-02-11
33,2846,0.0,2021-02-12
34,1915,0.0,2021-02-13
35,6535,0.0,2021-02-14
36,12412,0.0,2021-02-15
37,15147,0.0,2021-02-16
38,15867,0.0,2021-02-17
39,15294,0.0,2021-02-18
40,10263,0.0,2021-02-19
41,9177,0.0,2021-02-20
42,18463,0.0,2021-02-21
43,26317,0.0,2021-02-22
44,31613,0.0,2021-02-23
45,35319,0.0,2021-02-24
46,32773,0.0,2021-02-25
47,27322,0.0,2021-02-26
48,19684,0.0,2021-02-27
49,28282,0.0,2021-02-28
50,51314,0.0,2021-03-01
51,68450,0.0,2021-03-02
52,70206,0.0,2021-03-03
53,56772,0.0,2021-03-04
54,31562,0.0,2021-03-05
55,20241,0.0,2021-03-06
56,38788,0.0,2021-03-07
57,72922,0.0,2021-03-08
58,97162,0.0,2021-03-09
59,93563,0.0,2021-03-10
60,87676,0.0,2021-03-11
61,52155,0.0,2021-03-12
62,25371,0.0,2021-03-13
63,53366,0.0,2021-03-14
64,95799,0.0,2021-03-15
65,119609,0.0,2021-03-16
66,132016,0.0,2021-03-17
67,125725,0.0,2021-03-18
68,91977,0.0,2021-03-19
69,52612,0.0,2021-03-20
70,82300,0.0,2021-03-21
71,169155,0.0,2021-03-22
72,242642,0.0,2021-03-23
73,234382,0.0,2021-03-24
74,283654,0.0,2021-03-25
75,238861,0.0,2021-03-26
76,147594,0.0,2021-03-27
77,168230,0.0,2021-03-28
78,277682,0.0,2021-03-29
79,387574,0.0,2021-03-30
80,445416,0.0,2021-03-31
81,246631,0.0,2021-04-01
82,178913,0.0,2021-04-02
83,47708,0.0,2021-04-03
84,64590,0.0,2021-04-04
85,186793,0.0,2021-04-05
86,408396,0.0,2021-04-06
87,449269,0.0,2021-04-07
88,450136,0.0,2021-04-08
89,475230,0.0,2021-04-09
90,189665,0.0,2021-04-10
91,201191,0.0,2021-04-11
92,312685,0.0,2021-04-12
93,343783,0.0,2021-04-13
94,417683,0.0,2021-04-14
95,499664,0.0,2021-04-15
96,499635,0.0,2021-04-16
97,221193,0.0,2021-04-17
98,273751,0.0,2021-04-18
99,350027,0.0,2021-04-19
100,416784,0.0,2021-04-20
101,431070,0.0,2021-04-21
102,465015,0.0,2021-04-22
103,547636,0.0,2021-04-23
104,260801,0.0,2021-04-24
105,304688,0.0,2021-04-25
106,379265,0.0,2021-04-26
107,462885,0.0,2021-04-27
108,491567,0.0,2021-04-28
109,421785,0.0,2021-04-29
110,372304,0.0,2021-04-30
111,172891,0.0,2021-05-01
112,127499,0.0,2021-05-02
113,257486,0.0,2021-05-03
114,404226,0.0,2021-05-04
115,473001,0.0,2021-05-05
116,465822,0.0,2021-05-06
117,438837,0.0,2021-05-07
118,187171,0.0,2021-05-08
119,231835,0.0,2021-05-09
120,350147,0.0,2021-05-10
121,452437,0.0,2021-05-11
122,428041,0.0,2021-05-12
123,393402,0.0,2021-05-13
124,391246,0.0,2021-05-14
125,183745,0.0,2021-05-15
126,259049,0.0,2021-05-16
127,324001,0.0,2021-05-17
128,369018,0.0,2021-05-18
129,420312,0.0,2021-05-19
130,426683,0.0,2021-05-20
131,556951,0.0,2021-05-21
132,252139,0.0,2021-05-22
133,332955,0.0,2021-05-23
134,387987,0.0,2021-05-24
135,427458,0.0,2021-05-25
