,date,vaccinated
0,2021-01-10,20768.0
1,2021-01-11,16065.0
2,2021-01-12,9745.0
3,2021-01-13,5257.0
4,2021-01-14,4208.0
5,2021-01-15,2620.0
6,2021-01-16,2239.0
7,2021-01-17,4565.0
8,2021-01-18,3759.0
9,2021-01-19,3411.0
10,2021-01-20,2760.0
11,2021-01-21,1821.0
12,2021-01-22,1043.0
13,2021-01-23,818.0
14,2021-01-24,1968.0
15,2021-01-25,1710.0
16,2021-01-26,2329.0
17,2021-01-27,1769.0
18,2021-01-28,2178.0
19,2021-01-29,10621.0
20,2021-01-30,3156.0
21,2021-01-31,2587.0
22,2021-02-01,2166.0
23,2021-02-02,2995.0
24,2021-02-03,4036.0
25,2021-02-04,4064.0
26,2021-02-05,1662.0
27,2021-02-06,862.0
28,2021-02-07,3811.0
29,2021-02-08,3161.0
30,2021-02-09,4894.0
31,2021-02-10,5647.0
32,2021-02-11,4775.0
33,2021-02-12,2846.0
34,2021-02-13,1915.0
35,2021-02-14,6535.0
36,2021-02-15,12412.0
37,2021-02-16,15147.0
38,2021-02-17,15867.0
39,2021-02-18,15294.0
40,2021-02-19,10263.0
41,2021-02-20,9177.0
42,2021-02-21,18463.0
43,2021-02-22,26317.0
44,2021-02-23,31613.0
45,2021-02-24,35319.0
46,2021-02-25,32773.0
47,2021-02-26,27322.0
48,2021-02-27,19684.0
49,2021-02-28,28282.0
50,2021-03-01,51314.0
51,2021-03-02,68450.0
52,2021-03-03,70206.0
53,2021-03-04,56772.0
54,2021-03-05,31562.0
55,2021-03-06,20241.0
56,2021-03-07,38788.0
57,2021-03-08,72922.0
58,2021-03-09,97162.0
59,2021-03-10,93563.0
60,2021-03-11,87676.0
61,2021-03-12,52155.0
62,2021-03-13,25371.0
63,2021-03-14,53366.0
64,2021-03-15,95799.0
65,2021-03-16,119609.0
66,2021-03-17,132016.0
67,2021-03-18,125725.0
68,2021-03-19,91977.0
69,2021-03-20,52612.0
70,2021-03-21,82300.0
71,2021-03-22,169155.0
72,2021-03-23,242642.0
73,2021-03-24,234382.0
74,2021-03-25,283654.0
75,2021-03-26,238861.0
76,2021-03-27,147594.0
77,2021-03-28,168230.0
78,2021-03-29,277682.0
79,2021-03-30,387574.0
80,2021-03-31,445416.0
81,2021-04-01,246631.0
82,2021-04-02,178913.0
83,2021-04-03,47708.0
84,2021-04-04,64590.0
85,2021-04-05,186793.0
86,2021-04-06,408396.0
87,2021-04-07,449269.0
88,2021-04-08,450136.0
89,2021-04-09,475230.0
90,2021-04-10,189665.0
91,2021-04-11,201191.0
92,2021-04-12,312685.0
93,2021-04-13,343783.0
94,2021-04-14,417683.0
95,2021-04-15,499664.0
96,2021-04-16,499635.0
97,2021-04-17,221193.0
98,2021-04-18,273751.0
99,2021-04-19,350027.0
100,2021-04-20,416784.0
101,2021-04-21,431070.0
102,2021-04-22,465015.0
103,2021-04-23,547636.0
104,2021-04-24,260801.0
105,2021-04-25,304688.0
106,2021-04-26,379265.0
107,2021-04-27,462885.0
108,2021-04-28,491567.0
109,2021-04-29,421785.0
110,2021-04-30,372304.0
111,2021-05-01,172891.0
112,2021-05-02,127499.0
113,2021-05-03,257486.0
114,2021-05-04,404226.0
115,2021-05-05,473001.0
116,2021-05-06,465822.0
117,2021-05-07,438837.0
118,2021-05-08,187171.0
119,2021-05-09,231835.0
120,2021-05-10,350147.0
121,2021-05-11,452437.0
122,2021-05-12,428041.0
123,2021-05-13,393402.0
124,2021-05-14,391246.0
125,2021-05-15,183745.0
126,2021-05-16,259049.0
127,2021-05-17,324001.0
128,2021-05-18,369018.0
129,2021-05-19,420312.0
130,2021-05-20,426683.0
131,2021-05-21,556951.0
132,2021-05-22,252139.0
133,2021-05-23,332955.0
134,2021-05-24,387987.0
135,2021-05-25,427458.0
136,2021-05-26,434096.0
137,2021-05-27,435951.0
138,2021-05-28,418848.0
139,2021-05-29,206322.0
140,2021-05-30,195546.0
141,2021-05-31,338565.0
142,2021-06-01,349019.0
143,2021-06-02,377641.0
144,2021-06-03,388031.0
145,2021-06-04,473378.0
146,2021-06-05,259941.0
147,2021-06-06,306068.0
148,2021-06-07,313482.0
149,2021-06-08,316258.0
150,2021-06-09,308038.0
151,2021-06-10,307192.0
152,2021-06-11,320326.0
153,2021-06-12,181121.0
154,2021-06-13,235928.0
155,2021-06-14,230666.0
156,2021-06-15,234834.0
157,2021-06-16,223260.0
158,2021-06-17,205677.0
159,2021-06-18,236363.0
160,2021-06-19,109408.0
161,2021-06-20,39325.0
162,2021-06-21,250875.0
163,2021-06-22,167988.0
164,2021-06-23,177813.0
165,2021-06-24,174770.0
166,2021-06-25,199505.0
167,2021-06-26,123555.0
168,2021-06-27,138016.0
169,2021-06-28,150688.0
170,2021-06-29,175749.0
171,2021-06-30,193066.0
172,2021-07-01,177478.0
173,2021-07-02,196209.0
174,2021-07-03,111410.0
175,2021-07-04,147814.0
176,2021-07-05,153126.0
177,2021-07-06,171477.0
178,2021-07-07,175467.0
179,2021-07-08,178819.0
180,2021-07-09,211446.0
181,2021-07-10,107620.0
182,2021-07-11,125360.0
183,2021-07-12,158276.0
184,2021-07-13,185661.0
185,2021-07-14,201893.0
186,2021-07-15,202314.0
187,2021-07-16,225214.0
188,2021-07-17,128878.0
189,2021-07-18,143560.0
190,2021-07-19,161279.0
191,2021-07-20,183338.0
192,2021-07-21,188297.0
193,2021-07-22,189341.0
194,2021-07-23,203886.0
195,2021-07-24,117956.0
196,2021-07-25,148936.0
197,2021-07-26,151650.0
198,2021-07-27,171173.0
199,2021-07-28,179918.0
200,2021-07-29,171096.0
201,2021-07-30,212014.0
202,2021-07-31,118044.0
203,2021-08-01,126192.0
204,2021-08-02,142761.0
205,2021-08-03,165669.0
206,2021-08-04,172692.0
207,2021-08-05,168356.0
208,2021-08-06,213583.0
209,2021-08-07,122070.0
210,2021-08-08,137028.0
211,2021-08-09,151143.0
212,2021-08-10,173761.0
213,2021-08-11,192559.0
214,2021-08-12,171585.0
215,2021-08-13,199584.0
216,2021-08-14,126383.0
217,2021-08-15,138390.0
218,2021-08-16,145875.0
219,2021-08-17,169223.0
220,2021-08-18,175059.0
221,2021-08-19,167392.0
222,2021-08-20,194881.0
223,2021-08-21,116352.0
224,2021-08-22,131283.0
225,2021-08-23,130676.0
226,2021-08-24,161705.0
227,2021-08-25,144936.0
228,2021-08-26,131456.0
229,2021-08-27,133688.0
230,2021-08-28,79440.0
231,2021-08-29,66648.0
232,2021-08-30,119402.0
233,2021-08-31,113385.0
234,2021-09-01,119375.0
235,2021-09-02,110590.0
236,2021-09-03,128553.0
237,2021-09-04,73193.0
238,2021-09-05,80015.0
239,2021-09-06,85848.0
240,2021-09-07,87960.0
241,2021-09-08,96702.0
242,2021-09-09,91811.0
243,2021-09-10,98059.0
244,2021-09-11,52615.0
245,2021-09-12,60653.0
246,2021-09-13,66725.0
247,2021-09-14,63290.0
248,2021-09-15,63973.0
249,2021-09-16,60384.0
250,2021-09-17,72497.0
251,2021-09-18,35157.0
252,2021-09-19,46342.0
253,2021-09-20,43406.0
254,2021-09-21,44047.0
255,2021-09-22,44588.0
256,2021-09-23,44759.0
257,2021-09-24,47118.0
258,2021-09-25,25539.0
259,2021-09-26,33177.0
260,2021-09-27,33532.0
261,2021-09-28,34093.0
262,2021-09-29,902661.0
263,2021-09-30,188201.0
264,2021-10-01,228852.0
265,2021-10-02,111050.0
266,2021-10-03,153214.0
267,2021-10-04,184672.0
268,2021-10-05,190673.0
269,2021-10-06,206285.0
270,2021-10-07,202996.0
271,2021-10-08,284286.0
272,2021-10-09,112927.0
273,2021-10-10,148168.0
274,2021-10-11,190264.0
275,2021-10-12,491304.0
276,2021-10-13,267008.0
277,2021-10-14,250320.0
278,2021-10-15,339683.0
279,2021-10-16,135297.0
280,2021-10-17,201784.0
281,2021-10-18,264842.0
282,2021-10-19,283459.0
283,2021-10-20,639020.0
284,2021-10-21,324855.0
285,2021-10-22,400672.0
286,2021-10-23,188587.0
287,2021-10-24,266438.0
288,2021-10-25,287499.0
289,2021-10-26,311091.0
290,2021-10-27,321379.0
291,2021-10-28,307507.0
292,2021-10-29,397815.0
293,2021-10-30,177398.0
294,2021-10-31,260157.0
295,2021-11-01,317592.0
296,2021-11-02,377799.0
297,2021-11-03,354880.0
298,2021-11-04,345336.0
299,2021-11-05,447382.0
300,2021-11-06,224495.0
301,2021-11-07,297939.0
302,2021-11-08,361493.0
303,2021-11-09,580004.0
304,2021-11-10,393474.0
305,2021-11-11,379822.0
306,2021-11-12,486310.0
307,2021-11-13,234397.0
308,2021-11-14,304637.0
309,2021-11-15,367431.0
310,2021-11-16,406541.0
311,2021-11-17,407707.0
312,2021-11-18,385491.0
313,2021-11-19,487257.0
314,2021-11-20,251887.0
315,2021-11-21,326683.0
316,2021-11-22,387154.0
317,2021-11-23,402385.0
318,2021-11-24,418904.0
319,2021-11-25,390427.0
320,2021-11-26,497977.0
321,2021-11-27,314780.0
322,2021-11-28,344763.0
323,2021-11-29,424746.0
324,2021-11-30,440207.0
325,2021-12-01,451886.0
326,2021-12-02,418789.0
327,2021-12-03,502414.0
328,2021-12-04,317331.0
329,2021-12-05,354177.0
330,2021-12-06,419425.0
331,2021-12-07,444082.0
332,2021-12-08,503303.0
333,2021-12-09,460923.0
334,2021-12-10,589237.0
335,2021-12-11,427727.0
336,2021-12-12,543129.0
337,2021-12-13,694599.0
338,2021-12-14,783977.0
339,2021-12-15,903803.0
340,2021-12-16,894807.0
341,2021-12-17,986504.0
342,2021-12-18,886370.0
343,2021-12-19,948917.0
344,2021-12-20,1022750.0
345,2021-12-21,893192.0
