,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2020-04-01,1156.891348249029,1099.439211221548,1040.226802678018,983.1753560856963,930.1861588360136,1160.8871824483006,1104.3594710920604,1045.338399317658,987.8626547681165,934.0046539662028,1164.5172823234477,1109.0015507970513,1050.3816666332345,992.7664623222199,938.3616500965518,1167.8132846046556,1113.3398776365623,1055.2490018307187,997.6859993777471,942.9607011311567,1170.8112000034719,1117.3780035382092,1059.8925926101751,1002.5126302526967,947.6292906002079,1173.5457099859684,1121.1322206330194,1064.2957815321402,1007.1888421186028,952.2659499787846,1176.0481633319166,1124.6237126405529,1068.4582421586229,1011.686219749107,956.811253488388,1178.346107619513,1127.8747652744526,1072.3880571751936,1015.9931650776135,961.2312620434577,1180.4634403578457,1130.9069717440204,1076.0973927851232,1020.1078417829681,965.5077567363342,1182.420783855774,1133.7404394517198,1079.600110071828,1024.0340262025618,969.6323189526205,1184.2359129530762,1136.3935025123935,1082.9104476667105,1027.778625431128,973.6026613700294,1185.9241648566474,1138.882687327018,1086.0423081891265,1031.3501761821065,977.4203128764431,1187.4988048646355,1141.2227996117367,1089.0088895441681,1034.7579329973871,981.0891375459811,1188.9713417205448,1143.4270641047774,1091.8225140790012,1038.0113165891808,984.6143775041617,1190.351794999945,1145.507281455891,1094.4945708993005,1041.1195848797142,988.0020309535195
1,2020-04-02,2407.7887988851794,2331.9713722857878,2249.396661888187,2165.655979218566,2084.199784756713,2412.8374971926164,2338.551739071384,2256.610830619559,2172.605229375002,2090.1169411615256,2417.40949735552,2344.7365334968913,2263.7008723884087,2179.849362695033,2096.8482272173865,2421.5485752988116,2350.4958965318656,2270.517473113662,2187.0899205460664,2103.929985961627,2425.303206574668,2355.838658853062,2276.9967936111857,2194.167649968304,2111.0941777094395,2428.7194769816333,2360.790100487486,2283.119062894022,2201.0001668375585,2118.184821865119,2431.8387004266265,2365.381415163535,2288.88724790099,2207.5485115955785,2125.1120360410437,2434.6969596394893,2369.644705642436,2294.3157370179133,2213.7985568854224,2131.8257909671042,2437.3254029551163,2373.6106743649257,2299.4242214698734,2219.7503769404047,2138.3004514830686,2439.750798699343,2377.307651279556,2304.2343614315123,2225.4120375098173,2144.5254351031313,2441.996136317006,2380.7612865641263,2308.7679811590124,2230.7959130286886,2150.499448665599,2444.0811892272636,2383.99456823348,2313.0461183227844,2235.9164836821483,2156.2268735442153,2446.023010494163,2387.0279897510227,2317.0885554674787,2240.7890167151004,2161.715470394422,2447.8363563449934,2389.8797775576595,2320.91362403601,2245.4287837207535,2166.974909920993,2449.534042662689,2392.5661327870876,2324.538161215047,2249.850606924203,2172.0158289826377
2,2020-04-03,3683.2242661115206,3599.7286378204712,3506.66787260678,3409.9358309856925,3313.5112560143057,3688.6821915244063,3606.991204957237,3514.821706235914,3417.985304888837,3320.5314998504127,3693.621357559304,3613.8081911406007,3522.822003875379,3426.3618815832187,3328.505052633005,3698.090112669291,3620.148461869909,3530.5014044860704,3434.7195875823045,3336.8793063308312,3702.141632270155,3626.0234261937962,3537.7896343932744,3442.875122636897,3345.335976910556,3705.8263025177434,3631.462376913102,3544.6662281252875,3450.7347861187036,3353.6909328430074,3709.1891947735326,3636.500860867558,3551.1362312461138,3458.2552953342365,3361.839021161868,3712.2696101972347,3641.175190531363,3557.217354248912,3465.422039822208,3369.7225604135847,3715.1014316997916,3645.519937843219,3562.9330592906394,3472.2366801959865,3377.3128008602966,3717.7137462877076,3649.566900726513,3568.3088168583345,3478.7099293626006,3384.598742343731,3720.1315115977586,3653.3447972816134,3573.370097162366,3484.8572907816174,3391.580253597305,3722.3761764797546,3656.879312009961,3578.1413264210823,3490.696524394711,3398.2637716563668,3724.4662255381872,3660.1933020098554,3582.645384803989,3496.2461410311535,3404.659582875276,3726.417643406166,3663.307064567434,3586.903408395807,3501.52451833181,3410.780091771219,3728.244304654946,3666.2386168384105,3590.9347599026664,3506.549395917046,3416.638716297856
3,2020-04-04,4977.470176053032,4889.8361310050195,4791.013742256565,4686.93386409574,4581.743388438148,4983.137678057797,4897.455808815325,4799.672587000134,4695.595369276328,4589.401089905053,4988.265010043664,4904.603995451667,4808.161853679059,4704.6009888635335,4598.09123622842,4992.902795387846,4911.2488397310635,4816.304540333955,4713.57835018505,4607.209605298382,4997.106570477239,4917.403052382623,4824.026972503443,4722.3308938094915,4616.408904706647,5000.928893434307,4923.097984565643,4831.308359200538,4730.758766121506,4625.488880081906,5004.416740777081,4928.371426615818,4838.154899800339,4738.816417330479,4634.335745213533,5007.611050397955,4933.261866013579,4844.586117097374,4746.489090117797,4642.887595305169,5010.547099436349,4937.805877412041,4850.627518735842,4753.779430260235,4651.114067433968,5013.255159681672,4942.037056077023,4856.3066357992775,4760.699707292286,4659.004086540544,5015.761196363659,4945.985711948179,4861.650906171467,4767.267232808054,4666.558336650487,5018.087517487453,4949.67893016557,4866.686582162453,4773.501644690415,4673.784564564604,5020.253342878291,4953.140796669113,4871.438211241392,4779.423300005619,4680.694617957231,5022.275288864697,4956.392686424475,4875.928437689403,4785.052336615106,4687.302565275868,5024.167775168901,4959.453562395904,4880.17798121302,4790.408141891152,4693.623500657276
4,2020-04-05,6275.775129663915,6184.94506485139,6082.354968562788,5973.738679845699,5863.177585801297,6281.638448441364,6192.812097133298,6091.323564992608,5982.763037799557,5871.214844691681,6286.946616096451,6200.193507645673,6100.115037701212,5992.14257539535,5880.33178442882,6291.751259436378,6207.05636173677,6108.5463357210965,6001.48935383185,5889.893517817864,6296.1092040881995,6213.413690434377,6116.541458076797,6010.598938090587,5899.535534709284,6300.074311467777,6219.297753831773,6124.079147753816,6019.36776128246,5909.048020275648,6303.69477024806,6224.747457897425,6131.166055360963,6027.748841414996,5918.3120729459915,6307.012605562894,6229.80243339241,6137.822583128254,6035.72723865913,5927.263285962995,6310.064053371287,6234.50034456254,6144.075289917341,6043.3060885218165,5935.870338889489,6312.880224651324,6238.875789238535,6149.952795499784,6050.498494308201,5944.122107715684,6315.487817197071,6242.959983115292,6155.483595410014,6057.322757854715,5952.019752311713,6317.909778583825,6246.780821661246,6160.694935458436,6063.799556470668,5959.571786120778,6320.165887946127,6250.363112399615,6165.612278974279,6069.950275780429,5966.790970996986,6322.2732519556985,6253.728871495951,6170.259105256258,6075.79603863297,5973.692349376387,6324.246721581251,6256.897631664786,6174.656890575595,6081.357157482019,5980.291996053923
5,2020-04-06,7590.169008195768,7496.7670925478415,7391.043677908262,7278.7535273182775,7163.984951560978,7596.172360501309,7504.837344350909,7400.267038851321,7288.065747886859,7172.313214446834,7601.607582009463,7512.409488168047,7409.307510683375,7297.742879662908,7181.758210775189,7606.527451754956,7519.449744537197,7417.97695240466,7307.384622223601,7191.661701172163,7610.990089959724,7525.971480653211,7426.197332024384,7316.7801865120955,7201.645982206599,7615.050597423994,7532.00778571235,7433.9469077018075,7325.822921775346,7211.49383664676,7618.758278936984,7537.5985645394985,7441.232620221323,7334.464570115721,7221.082332723475,7622.156137860874,7542.784464731013,7448.075533800842,7342.689919136468,7230.345026388887,7625.281257070393,7547.60411650755,7454.503027046938,7350.502381773318,7239.249746586729,7628.165477214649,7552.093004854928,7460.544583718437,7357.915629153094,7247.785224187025,7630.836124195158,7556.283145766749,7466.229548103223,7364.948671234228,7255.952887939308,7633.316686960325,7560.203149919635,7471.585969974133,7371.622946801437,7263.761755303619,7635.6274124354,7563.878460889871,7476.640058663686,7377.960606444173,7271.225216828996,7637.785812829796,7567.331659421095,7481.415977376011,7383.983513653909,7278.35900016322,7639.80709191337,7570.582779210272,7485.9358249644265,7389.712682447248,7285.179879906693
6,2020-04-07,8911.689144022645,8816.51877621177,8708.592176243603,8593.675729313398,8475.867285309521,8917.782587035857,8824.72398556782,8717.98981910018,8603.188729311263,8484.401080811565,8923.29973345314,8832.422750414797,8727.200544540434,8613.073392964705,8494.077781717428,8928.294080331672,8839.580746829315,8736.032735464683,8622.920791660326,8504.222652069895,8932.824557741122,8846.211579198509,8744.406980592124,8632.5157023422,8514.448665848666,8936.947042710653,8852.348898141483,8752.30121759011,8641.749323660291,8524.533373406244,8940.71153943519,8858.033279803105,8759.722596491065,8650.5725098424,8534.35099297838,8944.16166445463,8863.306052738066,8766.692644008592,8658.96986131585,8543.833638966513,8947.335031639772,8868.206492585698,8773.239308026956,8666.944987958615,8552.948537672222,8950.26393924998,8872.770675978774,8779.39267050022,8674.511960561362,8561.684316449895,8952.976107253367,8877.031151941463,8785.182662406847,8681.690286557334,8570.042593482563,8955.495364320615,8881.017006867138,8790.63788851851,8688.501939297996,8578.032742173666,8957.842251113274,8884.754106969434,8795.785072686906,8694.969606116125,8585.668597530983,8960.034534602482,8888.265407755189,8800.64884941197,8701.115670070323,8592.96637177997,8962.08764028013,8891.571275204493,8805.25174619994,8706.961637224325,8599.943334518717
7,2020-04-08,10236.867477244112,10140.28187094682,10030.689989972925,9913.830209487081,9793.78607609375,10243.036659810272,10148.588368584016,10040.213291440208,9923.48630980646,9802.466347948419,10248.62358355396,10156.382817511301,10049.547190767746,9933.519133657488,9812.308304693559,10253.682161275821,10163.630392972029,10058.497539624828,9943.51361585125,9822.62548271477,10258.271847165217,10170.344783657114,10066.983888421277,9953.251361509072,9833.024219123397,10262.449044391378,10176.559976755625,10074.983895433423,9962.622014040833,9843.278329985378,10266.264244611075,10182.316979276902,10082.504815181537,9971.575768606841,9853.25999087191,10269.761500313094,10187.657569545981,10089.56846596609,9980.097065932805,9862.900274642818,10272.978808929445,10192.621456683873,10096.203169372591,9988.189631579764,9872.16596330188,10275.94880375174,10197.245119436517,10102.439407095004,9995.867798902813,9881.045595978756,10278.699496619067,10201.561472321537,10108.307506143921,10003.151410137947,9889.54091245802,10281.254970582746,10205.599930404083,10113.83644865323,10010.06280231152,9897.66152764313,10283.635988356587,10209.386653734406,10119.053310085508,10016.62503034372,9905.421582292825,10285.860511223975,10212.944859919753,10123.983048430317,10022.86083457194,9912.837624236667,10287.944135346857,10216.295148502311,10128.648486485003,10028.792060579211,9919.92726732258
8,2020-04-09,11560.52831428301,11462.038438272084,11350.705181769084,11232.129865149425,11110.298032170807,11566.829792883083,11470.471562805365,11360.35029248753,11241.904011706303,11119.08886431174,11572.540842570126,11478.388122293976,11369.80559227827,11252.06037169382,11129.056280664672,11577.715591800523,11485.752281356552,11378.874344762015,11262.178884798295,11139.505131721493,11582.413994146047,11492.57745316853,11387.474871632568,11272.038475581825,11150.036786961033,11586.693043136578,11498.89770696818,11395.584319567266,11281.527381827005,11160.422215205315,11590.603825578237,11504.754301118075,11403.209815684924,11290.595112434468,11170.531985482427,11594.190956699103,11510.189338113474,11410.373256097671,11299.22583351887,11180.296303981204,11597.492949917903,11515.242874061705,11417.103146737161,11307.423232333907,11189.681532678716,11600.542904331478,11519.951731651205,11423.430204816741,11315.2017379588,11198.676061605389,11603.369248988865,11524.349153491394,11429.38501273958,11322.58136193383,11207.281645089795,11605.996439325205,11528.464861033723,11434.996810246634,11329.584647949374,11215.508009794456,11608.445570027328,11532.32529705883,11440.29292300116,11336.234873186253,11223.369463902205,11610.73489846156,11535.953938176697,11445.298546651677,11342.555002947518,11230.882752105003,11612.880285189553,11539.371620316311,11450.03672680898,11348.567102828438,11238.065698136063
9,2020-04-10,12895.16899615111,12795.357927112247,12682.379456166576,12561.975589879585,12438.193017699623,12901.526845229837,12803.890561088616,12692.148959259328,12571.88190243795,12447.108134258482,12907.287812989918,12811.900212451801,12701.72634419615,12582.175810094945,12457.216547995287,12912.506729888893,12819.350630915373,12710.912298963014,12592.431571217454,12467.813300890868,12917.244274223056,12826.255408327343,12719.624052384986,12602.425098132777,12478.494132334494,12921.558105907838,12832.649041859193,12727.838422038869,12612.043086602873,12489.0267704429,12925.499896569412,12838.573304312888,12735.562599357878,12621.234331026899,12499.279947018364,12929.11476405699,12844.070822109281,12742.81874177266,12629.982753908054,12509.182871777219,12932.441649977773,12849.182149596123,12749.635707361107,12638.292066379068,12518.701420523974,12935.5140170909,12853.944567502143,12756.044598561084,12646.176870463742,12527.82380857147,12938.360603466708,12858.391732003265,12762.076384829446,12653.657429782781,12536.551804941239,12941.0061276009,12862.553734363417,12767.760678411441,12660.756577568522,12544.895264486882,12943.471908853127,12866.457346403282,12773.125154879192,12667.497893379821,12552.868689175057,12945.776397181357,12870.126336868774,12778.195333858741,12673.904643031861,12560.489052886613,12947.935618865447,12873.58180089896,12782.994558384778,12679.999182509571,12567.774424643287
