,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2020-04-01,113000134.10865176,113000191.56078878,113000250.77319732,113000307.82464391,113000360.81384116,113000130.11281756,113000186.6405289,113000245.66160068,113000303.13734522,113000356.99534604,113000126.48271768,113000181.9984492,113000240.61833337,113000298.23353767,113000352.6383499,113000123.1867154,113000177.66012236,113000235.75099817,113000293.31400062,113000348.03929886,113000120.18879999,113000173.62199646,113000231.10740739,113000288.48736975,113000343.3707094,113000117.45429002,113000169.86777937,113000226.70421846,113000283.81115788,113000338.73405002,113000114.95183668,113000166.37628736,113000222.54175784,113000279.31378025,113000334.18874651,113000112.65389238,113000163.12523472,113000218.61194283,113000275.00683492,113000329.76873796,113000110.53655964,113000160.09302826,113000214.90260722,113000270.89215821,113000325.49224326,113000108.57921614,113000157.25956056,113000211.39988993,113000266.9659738,113000321.36768104,113000106.76408705,113000154.60649748,113000208.08955233,113000263.22137457,113000317.39733863,113000105.07583514,113000152.11731267,113000204.9576918,113000259.64982381,113000313.57968712,113000103.50119513,113000149.77720039,113000201.99111046,113000256.24206701,113000309.91086246,113000102.02865829,113000147.5729359,113000199.17748593,113000252.98868342,113000306.3856225,113000100.648205,113000145.49271855,113000196.5054291,113000249.88041513,113000302.99796905
1,2020-04-02,112998883.21120112,112998959.02862771,112999041.60333811,112999125.34402078,112999206.80021524,112998878.16250281,112998952.44826093,112999034.38916938,112999118.39477062,112999200.88305883,112998873.59050265,112998946.2634665,112999027.29912761,112999111.1506373,112999194.15177278,112998869.4514247,112998940.50410347,112999020.48252688,112999103.91007945,112999187.07001404,112998865.69679342,112998935.16134115,112999014.00320639,112999096.83235003,112999179.90582229,112998862.28052302,112998930.20989951,112999007.8809371,112999089.99983317,112999172.81517814,112998859.16129957,112998925.61858484,112999002.1127521,112999083.4514884,112999165.88796397,112998856.30304036,112998921.35529436,112998996.68426298,112999077.20144312,112999159.17420903,112998853.67459704,112998917.38932563,112998991.57577853,112999071.24962306,112999152.69954851,112998851.2492013,112998913.69234872,112998986.76563857,112999065.5879625,112999146.4745649,112998849.00386368,112998910.23871344,112998982.23201884,112999060.20408697,112999140.50055133,112998846.91881077,112998907.00543177,112998977.95388168,112999055.08351631,112999134.77312645,112998844.97698951,112998903.97201025,112998973.91144453,112999050.21098329,112999129.28452961,112998843.16364366,112998901.12022245,112998970.08637597,112999045.57121629,112999124.02509008,112998841.46595734,112998898.43386722,112998966.46183878,112999041.14939308,112999118.98417102
2,2020-04-03,112997607.77573389,112997691.27136219,112997784.33212739,112997881.06416902,112997977.48874399,112997602.31780848,112997684.00879504,112997776.17829376,112997873.01469511,112997970.46850015,112997597.37864244,112997677.19180886,112997768.17799613,112997864.63811842,112997962.49494737,112997592.90988733,112997670.85153814,112997760.49859552,112997856.28041242,112997954.12069367,112997588.85836773,112997664.97657381,112997753.21036561,112997848.12487736,112997945.66402309,112997585.17369749,112997659.53762309,112997746.33377187,112997840.26521388,112997937.30906716,112997581.81080523,112997654.49913913,112997739.86376876,112997832.74470466,112997929.16097884,112997578.7303898,112997649.82480946,112997733.78264575,112997825.57796018,112997921.27743958,112997575.8985683,112997645.48006216,112997728.06694071,112997818.7633198,112997913.68719915,112997573.2862537,112997641.43309927,112997722.69118313,112997812.29007064,112997906.40125765,112997570.8684884,112997637.65520272,112997717.62990284,112997806.14270923,112997899.4197464,112997568.62382352,112997634.12068799,112997712.85867357,112997800.3034756,112997892.73622835,112997566.53377447,112997630.806698,112997708.3546152,112997794.75385897,112997886.34041713,112997564.58235659,112997627.69293544,112997704.0965916,112997789.47548167,112997880.21990822,112997562.75569534,112997624.76138316,112997700.0652401,112997784.45060408,112997874.3612837
3,2020-04-04,112996313.52982394,112996401.163869,112996499.98625775,112996604.0661359,112996709.25661156,112996307.86232194,112996393.54419118,112996491.327413,112996595.40463072,112996701.5989101,112996302.73498996,112996386.39600454,112996482.83814631,112996586.39901114,112996692.90876377,112996298.09720461,112996379.75116026,112996474.69545966,112996577.42164981,112996683.79039471,112996293.89342952,112996373.59694761,112996466.9730275,112996568.66910619,112996674.5910953,112996290.07110657,112996367.90201543,112996459.6916408,112996560.24123389,112996665.51111992,112996286.58325922,112996362.62857339,112996452.8451002,112996552.18358266,112996656.66425478,112996283.3889496,112996357.73813398,112996446.4138829,112996544.51090989,112996648.11240469,112996280.45290056,112996353.19412258,112996440.37248126,112996537.22056974,112996639.88593256,112996277.74484032,112996348.96294393,112996434.6933642,112996530.3002927,112996631.99591346,112996275.23880364,112996345.01428805,112996429.34909382,112996523.7327672,112996624.44166335,112996272.91248251,112996341.32106984,112996424.31341784,112996517.49835531,112996617.21543543,112996270.74665712,112996337.85920332,112996419.56178875,112996511.57669999,112996610.30538204,112996268.72471114,112996334.60731357,112996415.0715623,112996505.94766338,112996603.69743472,112996266.83222483,112996331.5464376,112996410.82201879,112996500.5918581,112996597.37649934
4,2020-04-05,112995015.22487034,112995106.05493514,112995208.64503144,112995317.26132016,112995427.8224142,112995009.36155155,112995098.18790287,112995199.67643501,112995308.2369622,112995419.78515531,112995004.0533839,112995090.80649236,112995190.8849623,112995298.8574246,112995410.66821557,112994999.24874057,112995083.94363827,112995182.45366427,112995289.51064616,112995401.10648218,112994994.89079592,112995077.58630957,112995174.45854193,112995280.4010619,112995391.46446529,112994990.92568853,112995071.70224617,112995166.92085224,112995271.63223872,112995381.95197973,112994987.30522975,112995066.25254211,112995159.83394463,112995263.25115858,112995372.68792705,112994983.98739444,112995061.19756661,112995153.17741688,112995255.27276134,112995363.73671404,112994980.93594663,112995056.49965544,112995146.92471008,112995247.69391148,112995355.12966111,112994978.11977535,112995052.12421076,112995141.0472045,112995240.50150569,112995346.87789229,112994975.5121828,112995048.04001689,112995135.51640458,112995233.67724214,112995338.98024769,112994973.09022142,112995044.21917833,112995130.30506454,112995227.20044354,112995331.42821388,112994970.83411205,112995040.6368876,112995125.38772103,112995221.04972422,112995324.209029,112994968.72674805,112995037.2711285,112995120.74089475,112995215.20396137,112995317.30765063,112994966.75327842,112995034.10236834,112995116.34310943,112995209.64284252,112995310.70800395
5,2020-04-06,112993700.8309918,112993794.23290746,112993899.95632209,112994012.24647269,112994127.01504844,112993694.8276395,112993786.16265565,112993890.73296115,112994002.93425211,112994118.68678555,112993689.392418,112993778.59051183,112993881.69248931,112993993.25712034,112994109.24178922,112993684.47254825,112993771.55025546,112993873.0230476,112993983.61537778,112994099.33829883,112993680.00991005,112993765.02851935,112993864.80266798,112993974.21981348,112994089.3540178,112993675.94940257,112993758.99221429,112993857.0530923,112993965.17707822,112994079.50616336,112993672.24172106,112993753.40143546,112993849.76737978,112993956.53542988,112994069.91766727,112993668.84386215,112993748.21553527,112993842.9244662,112993948.31008086,112994060.65497361,112993665.71874294,112993743.39588349,112993836.49697295,112993940.49761823,112994051.75025341,112993662.83452278,112993738.90699515,112993830.45541628,112993933.08437085,112994043.21477582,112993660.1638758,112993734.71685423,112993824.7704519,112993926.05132876,112994035.04711206,112993657.68331304,112993730.79685009,112993819.41403003,112993919.3770532,112994027.2382447,112993655.37258756,112993727.12153912,112993814.35994133,112993913.03939356,112994019.77478316,112993653.21418718,112993723.66834058,112993809.58402263,112993907.01648635,112994012.64099984,112993651.1929081,112993720.41722079,112993805.06417504,112993901.28731756,112994005.8201201
6,2020-04-07,112992379.31085598,112992474.48122379,112992582.40782376,112992697.32427068,112992815.13271469,112992373.21741296,112992466.27601443,112992573.0101809,112992687.81127068,112992806.59891918,112992367.70026654,112992458.57724959,112992563.79945546,112992677.92660704,112992796.92221828,112992362.70591967,112992451.41925317,112992554.96726453,112992668.07920834,112992786.77734794,112992358.17544226,112992444.7884208,112992546.59301941,112992658.48429766,112992776.55133416,112992354.0529573,112992438.65110186,112992538.69878241,112992649.25067633,112992766.4666266,112992350.28846057,112992432.9667202,112992531.2774035,112992640.42749016,112992756.64900702,112992346.83833554,112992427.69394726,112992524.30735599,112992632.03013869,112992747.16636103,112992343.66496836,112992422.79350741,112992517.76069197,112992624.05501205,112992738.05146232,112992340.73606075,112992418.22932403,112992511.6073295,112992616.48803943,112992729.31568354,112992338.02389275,112992413.96884806,112992505.81733759,112992609.30971344,112992720.95740652,112992335.50463568,112992409.98299313,112992500.36211148,112992602.4980607,112992712.96725783,112992333.1577489,112992406.24589303,112992495.21492732,112992596.03039388,112992705.33140247,112992330.9654654,112992402.73459224,112992490.35115059,112992589.88432993,112992698.03362823,112992328.91235971,112992399.4287248,112992485.7482538,112992584.03836277,112992691.05666548
7,2020-04-08,112991054.13252276,112991150.71812905,112991260.31001003,112991377.1697905,112991497.2139239,112991047.9633402,112991142.41163142,112991250.78670856,112991367.51369019,112991488.53365205,112991042.37641644,112991134.6171825,112991241.45280923,112991357.48086634,112991478.6916953,112991037.31783873,112991127.36960703,112991232.50246038,112991347.48638415,112991468.37451729,112991032.72815284,112991120.65521634,112991224.01611158,112991337.7486385,112991457.97578087,112991028.55095561,112991114.44002324,112991216.01610456,112991328.37798595,112991447.72167002,112991024.73575538,112991108.68302073,112991208.49518482,112991319.4242314,112991437.74000913,112991021.23849969,112991103.34243046,112991201.43153404,112991310.90293407,112991428.09972535,112991018.02119108,112991098.37854332,112991194.79683062,112991302.81036842,112991418.8340367,112991015.05119625,112991093.75488056,112991188.5605929,112991295.13220109,112991409.95440403,112991012.30050339,112991089.43852767,112991182.69249386,112991287.84858987,112991401.45908754,112991009.74502942,112991085.4000696,112991177.16355135,112991280.93719769,112991393.33847235,112991007.36401165,112991081.61334626,112991171.94668992,112991274.37496966,112991385.5784177,112991005.13948877,112991078.05514008,112991167.01695158,112991268.13916543,112991378.16237576,112991003.05586465,112991074.7048515,112991162.35151352,112991262.20793942,112991371.07273267
8,2020-04-09,112989730.47168572,112989828.96156172,112989940.29481824,112990058.87013485,112990180.70196784,112989724.17020711,112989820.5284372,112989930.64970751,112990049.09598829,112990171.91113569,112989718.45915744,112989812.61187771,112989921.19440772,112990038.9396283,112990161.94371934,112989713.2844082,112989805.24771865,112989912.12565523,112990028.8211152,112990151.49486828,112989708.58600585,112989798.42254683,112989903.52512836,112990018.96152441,112990140.96321304,112989704.30695686,112989792.10229303,112989895.41568044,112990009.47261818,112990130.57778479,112989700.39617442,112989786.24569888,112989887.79018432,112990000.40488757,112990120.46801452,112989696.8090433,112989780.81066188,112989880.6267439,112989991.77416648,112990110.70369601,112989693.50705008,112989775.75712594,112989873.89685327,112989983.57676767,112990101.31846732,112989690.45709567,112989771.04826835,112989867.56979518,112989975.79826204,112990092.3239384,112989687.63075101,112989766.65084651,112989861.61498725,112989968.41863807,112990083.71835491,112989685.00356068,112989762.53513896,112989856.00318976,112989961.41535205,112990075.49199021,112989682.55442998,112989758.67470294,112989850.707077,112989954.76512681,112990067.6305361,112989680.26510154,112989755.04606183,112989845.70145334,112989948.44499706,112990060.1172479,112989678.11971481,112989751.62837969,112989840.9632732,112989942.43289717,112990052.93430187
9,2020-04-10,112988395.83100384,112988495.64207289,112988608.62054384,112988729.02441011,112988852.8069823,112988389.47315477,112988487.10943891,112988598.85104074,112988719.11809756,112988843.89186575,112988383.712187,112988479.09978755,112988589.2736558,112988708.8241899,112988833.783452,112988378.49327011,112988471.64936909,112988580.08770104,112988698.56842878,112988823.1866991,112988373.75572577,112988464.74459167,112988571.37594761,112988688.57490186,112988812.50586766,112988369.4418941,112988458.35095814,112988563.16157795,112988678.9569134,112988801.97322956,112988365.50010343,112988452.42669569,112988555.43740064,112988669.76566897,112988791.72005299,112988361.88523595,112988446.9291779,112988548.18125823,112988661.0172461,112988781.81712823,112988358.55835003,112988441.81785041,112988541.36429264,112988652.70793362,112988772.29857947,112988355.48598291,112988437.0554325,112988534.95540144,112988644.82312953,112988763.17619143,112988352.63939653,112988432.608268,112988528.92361517,112988637.34257022,112988754.44819506,112988349.9938724,112988428.44626564,112988523.23932159,112988630.24342243,112988746.10473551,112988347.52809115,112988424.54265359,112988517.87484512,112988623.50210662,112988738.13131082,112988345.22360282,112988420.87366313,112988512.80466615,112988617.09535697,112988730.51094711,112988343.06438114,112988417.4181991,112988508.00544162,112988611.0008175,112988723.22557536
