,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2020-04-01,665.8787639270994,567.6696554189858,493.10635012418527,435.55718486228193,390.3131242759863,674.2652761474501,574.8333974993668,498.8433983977137,439.8959752667382,393.3636214494414,682.1282286919472,581.7639272589882,504.6147568567164,444.5017368429333,396.8807678994236,689.4831271833509,588.4002374552999,510.293875885421,449.1929046463589,400.636474082499,696.363058371545,594.7231196840751,515.8161160225561,453.86655174266843,404.4954816815014,702.8065200167425,600.7341014808846,521.1503928484253,458.4639562956915,408.37572432205553,708.852031488839,606.4448341407898,526.2842722525454,462.9521360533723,412.2268353845361,714.5358366004224,611.871580572803,531.2158044339848,467.3134870960369,416.0179324273901,719.8910511796921,617.0323052052081,535.9489053703661,471.53975362421806,419.73040022184654,724.9474873739142,621.9451375429552,540.490682503694,475.62841318362734,423.3534881407166,729.7317859881216,626.6275790712441,544.8498615923419,479.58045792867233,426.8815518025253,734.2676768260709,631.0961188520059,549.0358541456211,483.39900726132686,430.3122861336644,738.5762791804476,635.3660752489254,553.0582054390984,487.08842830240974,433.6455725400332,742.6764004462777,639.4515619742953,556.9262724620427,490.65377320341224,436.8827154352769,746.5848140037675,643.3655209073585,560.6490422804783,494.10041770659757,440.0259306332964
1,2020-04-02,1596.3383869853124,1406.2993296751981,1252.7624826216695,1128.4495045561798,1026.9923413863062,1611.5410264601637,1420.2755599664572,1264.6060197150427,1137.8097997196412,1033.8069238337548,1625.7239486439387,1433.7354783560202,1276.474746006934,1147.7157742841068,1041.6460994247093,1638.929068037643,1446.567872001512,1288.1093724406724,1157.7735514781189,1049.9959424077458,1651.2280902580817,1458.7434782763685,1299.3806149873396,1167.7619263461352,1058.5529020372196,1662.7004085222152,1470.2728753840083,1310.2291260436643,1177.5565078279938,1067.1340031257323,1673.4235961578997,1481.1854522813499,1320.6340092422097,1187.0890196570301,1075.628026352228,1683.4695639847369,1491.5186188056846,1330.5956507775902,1196.3244900948755,1083.9677302551497,1692.9033126360548,1501.3122065001594,1340.1260733238953,1205.2480102184727,1092.113443104209,1701.782864710624,1510.6055857354572,1349.2433994488867,1213.8568266372624,1100.0430659799667,1710.1597074752767,1519.4362362619327,1357.9686320159453,1222.1555128515151,1107.7458233874231,1718.0794259604531,1527.8391050534424,1366.3237745117945,1230.1529697164478,1115.2182725922721,1725.5823747102033,1535.8463909770473,1374.330741672679,1237.86053945833,1122.4617105354712,1732.7043190320778,1543.487557519815,1382.010743129524,1245.2908115873643,1129.480465199059,1739.4770174389125,1550.7894625364515,1389.383952701136,1252.4568660109067,1136.280757711402
2,2020-04-03,2654.9388529695702,2391.803129606173,2169.7029115733317,1983.3744049570266,1826.8471846135042,2674.958374821463,2411.1587563382154,2186.7932837996455,1997.3416842764493,1837.2989321233938,2693.581846240675,2429.7453913608797,2203.8750287210464,2012.0907005787544,1849.301600843223,2710.875444996802,2447.4164690055295,2220.576365670023,2027.0316636814634,1862.0620763654738,2726.942784766712,2464.139103386698,2236.715208348082,2041.835690235289,1875.1133856200408,2741.895843590008,2479.9348973337624,2252.210951464385,2056.31987559961,1888.1754926672654,2755.842694470235,2494.850563581898,2267.0383369388455,2070.3856231156856,1901.0794729126535,2768.882725538873,2508.9429810017737,2281.2023878182254,2083.9841163942174,1913.7243388569661,2781.105247346484,2522.271533865949,2294.7243950358784,2097.0963171997364,1926.051545116002,2792.589609984943,2534.8942390209213,2307.6339269620175,2109.721057641717,1938.0294727431074,2803.405950491016,2546.8658836565974,2319.9642229249457,2121.867797927061,1949.643748099787,2813.6161555702506,2558.237240591488,2331.74953494501,2133.5521505915144,1960.8910768127973,2823.2748467994857,2569.0548592815153,2343.0236122590154,2144.793084528517,1971.7752504125733,2832.4303034582927,2579.3611576927115,2353.8188650220804,2155.611169257371,1982.304525876212,2841.1252906607615,2589.1946631335104,2364.1659346668284,2166.027473837058,1992.4898892497913
3,2020-04-04,3787.5191001761423,3467.3176177608107,3188.265603572559,2947.740776848517,2741.0419666646676,3810.9171016525847,3490.772507040856,3209.62295613039,2965.6552468094087,2754.744855871733,3832.6465053070947,3513.2530373655372,3230.9305340219144,2984.542007161801,2770.460759153522,3852.792490338213,3534.5877670916607,3251.726065608035,3003.642871457661,2787.1451294828166,3871.4826551910655,3554.7430675822984,3271.7861039002114,3022.5373257133238,2804.184488985304,3888.853092671004,3573.750720987721,3291.0144464409254,3040.9934720235656,2821.2124294741925,3905.034245199143,3591.6721376233563,3309.38388097044,3058.8880429059923,2838.0092436072982,3920.145527693353,3608.5802633243757,3326.904618601974,3076.161659208392,2854.444750273196,3934.2938835064624,3624.5503831250103,3343.6067112192545,3092.7929537280365,2870.4445429222533,3947.574071033756,3639.6555322543036,3359.530074365044,3108.783203038463,2885.969468817339,3960.0696555635845,3653.9643389446937,3374.718772255375,3124.1470099178946,2901.0028447081736,3971.8542266216405,3667.5401608800425,3389.217748523624,3138.90656794954,2915.5423313885676,3982.992620896441,3680.440905539089,3403.070985594018,3153.088096613107,2929.5946854155263,3993.542056143366,3692.7192023422613,3416.32050883451,3166.71961705106,2943.1723265132005,4003.5531420722036,3704.4227441276225,3429.005893138125,3179.829568853905,2956.2910722329307
4,2020-04-05,4963.746400095071,4599.131916117729,4273.544493379335,3986.8929640997317,3736.005754788303,4989.505352511214,4625.6635451153825,4298.286066303195,4008.080480857162,3752.5049643397338,5013.402560839093,4651.060993834695,4322.938000423506,4030.3913293038377,3771.40920227743,5035.537129012399,4675.135118284775,4346.966844360808,4052.92742207128,3791.4564864226627,5056.053931539169,4697.8526620665025,4370.117235612974,4075.192692340837,3811.907100512279,5075.10631223846,4719.253855753334,4392.281532304239,4096.915340394496,3832.320643928031,5092.8406515319775,4739.411813447966,4413.4318377186155,4117.952452526717,3852.434286583081,5109.390592860711,4758.412087516441,4433.583239184871,4138.236685707292,3872.093396487833,5124.875579783845,4776.3423380616405,4452.773387991875,4157.74547325227,3891.210599648812,5139.401274315865,4793.287225150558,4471.050953718974,4176.482769783755,3909.7409088471995,5153.060729662576,4809.326046999522,4488.469042222233,4194.4680103002975,3927.6662484512813,5165.935793120589,4824.531831271725,4505.081454861565,4211.7293348628355,3944.9856353845994,5178.098500843765,4838.971188898237,4520.940602369923,4228.299393731581,3961.7088505047327,5189.612363580299,4852.704555657128,4536.096393349293,4244.212743130486,3977.8523103922844,5200.533508537707,4865.786616515648,4550.595699632184,4259.504236414696,3993.436351736067
5,2020-04-06,6172.506883673699,5772.420012905676,5408.310354042685,5082.2886697913245,4792.669666871946,6199.969530417126,5801.304968905165,5435.755921093871,5106.186388467832,4811.554774281659,6225.430868883364,5828.931848372504,5463.076937727239,5131.328931288964,4833.176238187269,6249.000079607018,5855.098267343406,5489.683362332921,5156.70226389161,4856.085896578426,6270.834526718873,5879.771535124396,5515.294733000148,5181.748009229904,4879.436219061391,6291.100021092204,5902.998584051171,5539.794678472518,5206.161723266091,4902.723871467264,6309.954459231776,5924.8616764518665,5563.155130932525,5229.784657932381,4925.649574300548,6327.541764426611,5945.456164585154,5585.395400077138,5252.543294428968,4948.0382315083025,6343.990410912991,5964.879298988014,5606.559484653389,5274.414453710426,4969.791807009481,6359.413937703525,5983.224730068395,5626.7032778217335,5295.404643334881,4990.860715821731,6373.912252192912,6000.579995108053,5645.887298449765,5315.537589276952,5011.226041233931,6387.57316720224,6017.025579388692,5664.172579857952,5334.8466028247385,5030.88826674753,6400.473919919469,6032.634799110082,5681.618393246433,5353.369868679683,5049.860025881535,6412.682567344751,6047.474098825565,5698.281048733487,5371.1475309779025,5068.161382695212,6424.259222773963,6061.603541339174,5714.213331970594,5388.219902276579,5085.8167352076825
6,2020-04-07,7403.515531953697,6975.0741605111525,6579.06405378249,6219.5257811603215,5896.153674372663,7432.188954984832,7005.749143844321,6608.659504400657,6245.6525666596945,5917.0561574606,7458.761526809584,7035.070879007315,6638.100932697183,6273.121955829425,5940.973132488063,7483.3496395665115,7062.827059569809,6666.753455463293,6300.824491767015,5966.298599332207,7506.119579936955,7088.985568834628,6694.316873812875,6328.150701482588,5992.093806596476,7527.246059571484,7113.598562530116,6720.668101357492,6354.769530700657,6017.802340627991,7546.895194117064,7136.755366856569,6745.779141186129,6380.509468464078,6043.094327439738,7565.218242185447,7158.558874727981,6769.672840334324,6405.292167405018,6067.777625768366,7582.350120981616,7179.113701800501,6792.398396983006,6429.094172544971,6091.74544341474,7598.409988732756,7198.5203937492215,6814.017574986516,6451.924291295794,6114.944551893877,7613.502641890484,7216.872800763737,6834.596892494027,6473.80995145703,6137.355545128774,7627.720148053086,7234.257117848449,6854.203219487281,6494.78886462018,6158.980343867037,7641.143453589428,7250.751791574454,6872.9013528745145,6514.903891888505,6179.834166573402,7653.843857439176,7266.427861396245,6890.752750707908,6534.199878104765,6199.940311625889,7665.884315124016,7281.349500525385,6907.814948195328,6552.721713825272,6219.326740777544
7,2020-04-08,8649.057359353303,8197.99526597771,7775.586765948423,7387.5760569490985,7034.909926626416,8678.572330596246,8230.018434285657,7806.879785147438,7415.523659996219,7057.5050116005095,8705.917205908623,8260.616263005471,7837.994585418815,7444.892449491591,7083.34664379153,8731.213389104625,8289.569033704602,7868.260957260682,7474.494988744301,7110.696129661756,8754.633370489764,8316.845122334531,7897.363234457285,7503.680160229543,7138.538147354009,8776.358051715577,8342.500672168258,7925.173148995918,7532.095317663949,7166.271838410383,8796.559265374197,8366.630374945787,7951.662870846875,7559.558681773992,7193.541807651802,8815.393372956383,8389.342840494393,7976.858136801376,7585.988111841696,7220.141781131853,8832.999774288515,8410.748262461564,8000.812332489741,7611.360064164456,7245.957788652009,8849.501537450944,8430.952405028731,8023.591925758548,7635.685344703525,7270.933702928388,8865.006860983465,8450.053893684153,8045.268228487136,7658.994508320712,7295.049850583956,8879.610773386352,8468.1432406619,8065.912766016517,7681.328948865088,7318.3094852830145,8893.39680241011,8485.302770397977,8085.594736760016,7702.735421593038,7340.730105404754,8906.43850328448,8501.606994435648,8104.379695082254,7723.262673531957,7362.337819250618,8918.800809717632,8517.123191158822,8122.328952271291,7742.959387099864,7383.163661548443
8,2020-04-09,9904.468272347458,9435.331874077187,8990.998899578835,8578.747458435255,8200.651423804751,9934.557910017693,9468.365739743645,9023.629623289997,8608.179072075225,8224.662026334414,9962.430344876064,9499.920218003199,9056.062727110319,8639.09526801234,8252.112477504803,9988.210355275853,9529.77002753424,9087.600193779464,8670.245039950822,8281.152959853307,10012.074630308163,9557.883908721242,9117.91421093495,8700.943378706577,8310.704098885462,10034.208270051959,9584.320990692986,9146.872470592492,8730.820114864648,8340.12792284879,10054.786989592976,9609.179985284798,9174.447313649913,8759.685180689106,8369.047782629528,10073.970619045316,9632.573786776351,9200.666788252192,8787.45342050745,8397.245685828591,10091.901607419746,9654.61676985668,9225.587608653359,8814.101287385349,8424.601759241721,10108.705683941596,9675.418610784385,9249.279973517409,8839.641276417673,8451.057544649238,10124.493363880287,9695.08151524496,9271.81899209005,8864.106542738029,8476.59322925844,10139.361692930372,9713.699232561998,9293.27987451665,8887.54152505591,8501.213255710127,10153.395958172598,9731.356995047676,9313.735301054205,8909.996189226791,8524.937093727027,10166.671253160983,9748.131918055824,9333.254065015528,8931.522493446857,8547.793257366438,10179.253860757903,9764.093608786088,9351.900462312979,8952.172236272685,8569.815399139969
9,2020-04-10,11169.195035430079,10685.429823487,10222.609313705198,9789.459385303251,9389.079097595208,11199.682905850479,10719.235222563611,10256.310379342951,9820.114581798074,9414.283347054597,11227.920986571922,10751.520191278076,10289.798441316812,9852.306534637291,9443.090164334491,11254.03635884811,10782.055148582422,10322.353216260031,9884.731824432169,9473.555972716491,11278.208597025798,10810.809065661675,10353.637151530333,9916.6775075934,9504.547382571709,11300.625694629955,10837.843312108178,10383.514684661328,9947.758979187252,9535.395150333714,11321.46604730748,10863.259638047606,10411.95827341714,9977.779349993989,9565.704740195695,11340.891883107406,10887.174184967422,10438.99779817936,10006.650989707123,9595.24831716119,11359.047761202293,10909.704501589236,10464.69262223496,10034.35035834917,9623.901068274732,11376.06125399619,10930.963237433623,10489.115917666499,10060.891351762171,9651.6026045828,11392.044482531828,10951.055321634056,10512.345822632953,10086.309275612151,9678.333026663888,11407.09589152739,10970.076967750289,10534.460488018076,10110.651084486086,9704.097806663704,11421.301988896836,10988.115623098322,10555.535374007632,10133.969395745024,9728.91809975206,11434.738936158994,11005.250387498014,10575.641860792062,10156.318818710904,9752.824468289613,11447.47395320956,11021.552643890824,10594.84662873212,10177.753724045015,9775.852788873486
