,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2020-04-01,568.6590468869618,477.0415627145789,409.6565082067694,358.7969112173186,319.4627175234583,576.6481309399976,483.60997106059625,414.77986387213383,362.59838739840217,322.0974771032008,584.1636345082387,489.9809663718602,419.9438879282263,366.6395351553253,325.13834093415204,591.2158838133456,496.09678584791885,425.03527382818925,370.7617543794075,328.38908361181274,597.8325205984198,501.93781477690175,429.99550100495924,374.87477098481077,331.73315493786725,604.0469705793457,507.5035523087208,434.79584153534404,378.9267577121899,335.09964856022765,609.8932547394011,512.8029811095471,439.4242077283713,382.8883160951027,338.44487287198933,615.4037152175763,517.849535376787,443.8779317455985,386.7434852312156,341.7418822256814,620.6081176429636,522.6584221424013,448.1596700726233,390.4845038335616,344.97429213952086,625.5334086087156,527.2451899705796,452.275022847836,394.10866557054806,348.13250475359894,630.2037791255807,531.6249763543709,456.2311263155929,397.61638480686406,351.2113420339938,634.6408617701455,535.8121309276305,460.03581277032276,401.0099838652663,354.2085278219621,638.8639760398128,539.8200485831671,463.69710880191974,404.29292155006624,357.1236958877214,642.8903800932983,543.6611195541865,467.222938682786,407.4692974434912,359.9577316936757,646.7355093112571,547.3467435873724,470.6209537024063,410.543531756503,362.7123302125284
1,2020-04-02,1402.7054506334928,1214.6866703841436,1067.9874021338992,952.2649494965368,859.6918884315171,1418.0549426499867,1228.2418434709055,1079.1383699364187,960.8809314254364,865.854771017974,1432.4229439130947,1241.3324246450968,1090.3377472051477,970.0146806172743,872.9530459583856,1445.842698610409,1253.8460961366466,1101.340412997857,979.3047815599177,880.5241054252748,1458.3788271894352,1265.7497447124936,1112.0224506356521,988.5472151877432,888.2941269432392,1470.1050698647882,1277.0492239213056,1122.3254170195587,997.626333740144,896.09747259075,1481.0945351920388,1287.7691571396958,1132.2270863385334,1006.4778376318914,903.8329337585646,1491.415621008003,1297.9425010463206,1141.7254554545796,1015.0680129274625,911.4388496724335,1501.1305660132523,1307.6050749340725,1150.82972445796,1023.3816620004296,918.8784089745844,1510.2952202951733,1316.7927017141358,1159.5550943697003,1031.414881511716,926.130688591625,1518.95936080954,1325.5397555014556,1167.9197223757246,1039.170639967648,933.1850452817669,1527.1672253549516,1333.8784777974204,1175.942928748478,1046.6560207084085,940.0375282772386,1534.9581073113072,1341.838715379335,1183.6441451349583,1053.8804805882523,946.6885431960583,1542.366937018532,1349.4478874015228,1191.0423087828576,1060.8547411507543,953.1413085921865,1549.4248175452583,1356.73107341627,1198.155527836002,1067.5900806038308,959.4008246313779
2,2020-04-03,2379.1967307845794,2107.8199099564886,1886.5951048716115,1705.976054093689,1557.4943448936701,2400.202735502034,2127.3600745046765,1903.3391900790532,1719.3388096661436,1567.3036056212368,2419.8053636537784,2146.1748622072387,1920.112573767288,1733.4747734920095,1578.5836184007703,2438.062030350411,2164.109645956572,1936.549205874207,1747.8213729804497,1590.5936763492266,2455.0712510678577,2181.124280770771,1952.4670981756053,1762.0631222941538,1602.8966024724466,2470.942168875419,2197.2341855917693,1967.7831753416115,1776.0230040752065,1615.229182110425,2485.7814490732676,2212.48094466689,1982.4686658139403,1789.6041952290489,1627.4316942358573,2499.687982179781,2226.9172413322353,1996.5247945866738,1802.7574157255249,1639.4078104814093,2512.751162754336,2240.5990514654877,2009.9691395464683,1815.4619835304304,1651.1009105712724,2525.050793784109,2253.581632676858,2022.8278100236003,1827.714509497076,1662.4796564666935,2536.657694318605,2265.9175422096746,2035.1309056371522,1839.5220000341365,1673.528978625217,2547.6345694639426,2277.655752272502,2046.909870438048,1850.897577291388,1684.244323747219,2558.0369336979884,2288.8413593107666,2058.1959637824693,1861.8577919040986,1694.6279200106794,2567.913992337768,2299.515609789092,2069.019398696101,1872.4209245061763,1704.6863185745974,2577.309442161088,2309.7160877500564,2079.4088827136766,1882.6059114785198,1714.428758214196
3,2020-04-04,3441.7738183226784,3101.527819574936,2814.7108903718395,2574.0558813053035,2371.7578627175,3466.9655499936016,3125.89682968036,2836.2716260998104,2591.7191377434606,2385.006506695207,3490.428730159006,3149.3136045979795,2857.8294105482587,2610.374461403368,2400.222371904616,3512.2415166355872,3171.5918708683553,2878.915067949355,2629.2763618113377,2416.4004829145483,3532.5298512584795,3192.6882914916614,2899.298320705507,2648.0089485489552,2432.9490827362547,3551.4309391625557,3212.6282185630394,2918.8767588540472,2666.3407538349825,2449.5132490594037,3569.077740430831,3231.4688063375165,2937.6177664948846,2684.1468363833083,2465.8788263684773,3585.592852595281,3249.280221504364,2955.5269601935897,2701.365170354354,2481.9177301140244,3601.0866570241146,3266.135990185342,2972.6305370534874,2717.9713801581565,2497.555649698815,3615.6573781785332,3282.1081014688257,2988.965203411234,2733.963697903827,2512.7523937611804,3629.3919510886994,3297.2646389010306,3004.57236379094,2749.353813095688,2527.4896265625302,3642.3671736815927,3311.6687693263084,3019.4947634520795,2764.161216310969,2541.7630569721564,3654.650899182542,3325.378458788065,3033.7745708329044,2778.40966455089,2555.5773795639966,3666.3031595781745,3338.446570017941,3047.4523163503977,2792.124960617109,2568.9429546949154,3677.3771776114736,3350.9211501031264,3060.5663443077638,2805.3335595903095,2581.8736084010943
4,2020-04-05,4558.93243219328,4162.598677896175,3819.5529333560444,3525.2702803147536,3273.262144615184,4587.175102329538,4190.766369982689,3845.1232361153543,3546.675465868055,3289.6117440158323,4613.446851768542,4217.7949836183025,3870.6544529239,3569.25495927139,3308.3701968062,4637.842156891318,4243.474686322283,3895.5922372930313,3592.1037358857047,3328.292926368079,4660.5079269832495,4267.760939029849,3919.6671882047185,3614.7189840458414,3348.6485056704805,4681.602592859608,4290.688062793659,3942.7619496987295,3636.8226587698005,3368.999609590458,4701.278882606744,4312.326433314449,3964.8417879637623,3658.266269434138,3389.0835780988546,4719.677141299273,4332.7607723850815,3985.916937917083,3678.9776099928895,3408.744391355374,4736.9234106650765,4352.079065031786,4006.0216026799208,3698.929937344402,3427.8925118360066,4753.129624932994,4370.366990903386,4025.2020155356104,3718.1236540044265,3446.480463942209,4768.394686088344,4387.705274285965,4043.509585012295,3736.575192502971,3464.487614991303,4782.805836106513,4404.168592642094,4060.9969601451776,3754.3101650833955,3481.9104975278715,4796.440056254953,4419.825313590004,4077.71580414913,3771.359099334798,3498.7565543719566,4809.365375203411,4434.7376616938,4093.7155801716913,3787.754772214148,3515.0400442355217,4821.642041420986,4448.962095252571,4109.042940536561,3803.5305477186407,3530.7793368237417
5,2020-04-06,5714.871626659395,5272.614682630081,4881.555962922648,4539.908521313524,4242.748996136584,5745.348257308798,5303.763176000651,4910.431549939334,4564.51935548289,4261.839166558446,5773.6746559980165,5333.622185708171,4939.233238023757,4590.455623163077,4283.724518518705,5799.957644053871,5361.964016194065,4967.33687061764,4616.675434948129,4306.947856402699,5824.359807618215,5388.74378866784,4994.441404138787,4642.601817690638,4330.654145129602,5847.055376749862,5414.003389931478,5020.4178021501475,4667.917339508406,4354.333448184435,5868.211756141298,5437.824012014196,5045.230181494229,4692.453913721375,4377.680642711838,5887.982444147226,5460.302159382595,5068.893110134094,4716.131180499087,4400.5155004818025,5906.505073221772,5481.537455408137,5091.447841340562,4738.920891352556,4422.735519193812,5923.901713480992,5501.626558174472,5112.948841479965,4760.8257737910735,4444.287256873452,5940.280106048582,5520.660300256182,5133.456082750407,4781.866730129728,4465.148484957059,5955.735200896843,5538.722543231333,5153.0306414737,4802.07496755257,4485.316854733323,5970.350711160737,5555.88993856101,5171.732225641236,4821.487114000766,4504.80258461382,5984.200559144784,5572.232154680239,5189.617841979556,4840.1421766845615,4523.623683352109,5997.350168242288,5587.812328473443,5206.74113991449,4858.079655369553,4541.802802438397
6,2020-04-07,6898.178393275647,6418.363346872423,5986.4542797843,5603.275318048446,5265.5347508121495,6930.269235913678,6451.832654235636,6018.030428108118,5630.601613206719,5287.014268104202,6960.079256707595,6483.893360988886,6049.501314394345,5659.378195390082,5311.6230858801255,6987.724391275628,6514.304182708929,6080.185980828268,5688.447126898957,5337.718063273371,7013.378717921877,6543.020287384879,6109.757886547403,5717.168815132119,5364.336295852198,7037.228017493879,6570.089726248981,6138.078824522391,5745.192797984925,5390.90469887709,7059.45040841445,6595.602343050117,6165.112318924425,5772.334760507458,5417.081412542567,7080.208980770319,6619.664005566803,6190.876782653231,5798.507798009857,5442.665435382769,7099.64981258242,6642.383552892102,6215.419489651298,5823.682718879201,5467.5433003440585,7117.9023546675735,6663.866315733032,6238.801852127686,5847.8645145637975,5491.656685737475,7135.080781019269,6684.211097880318,6261.091021784119,5871.078129773875,5514.9822667825665,7151.285648512951,6703.5089932041665,6282.355111834684,5893.359731173347,5537.518934631168,7166.6055649643295,6721.843168894885,6302.660528406163,5914.751301927122,5559.279561234838,7181.118736134146,6739.2891425359,6322.070544979985,5935.297286134462,5580.285629327544,7194.894345089885,6755.915294151315,6340.644613102704,5955.042515902583,5600.56370134822
7,2020-04-08,8100.579943598829,7590.169420916911,7123.60824049269,6704.184182064252,6330.217565685421,8133.810585374911,7625.42643547455,7157.372295114714,6733.7903770685825,6353.759507917146,8164.667596879522,7659.181968869433,7191.0039462069735,6764.949664234576,6380.7173161317405,8193.273454459199,7691.184436929781,7223.776355629052,6796.40660376384,6409.286959687894,8219.810442490474,7721.3892099800605,7255.342534491117,6827.469159879913,6438.412360095642,8244.472574375633,7749.8492357078285,7285.5570652645165,6857.759353957685,6467.466037270382,8267.4455964937,7776.661148000842,7314.383195800163,6887.079484409406,6496.074618590758,8288.899423175182,7801.938131657151,7341.8426334736505,6915.337383450865,6524.019401160792,8308.98613793276,7825.7962105015595,7367.987683488891,6942.503279767376,6551.177685718999,8327.840437492843,7848.347466003349,7392.885514632293,6968.584253352015,6577.487158643013,8345.581066287414,7869.696899548526,7416.60920312386,6993.608805850886,6602.923749964427,8362.312563389532,7889.941222901131,7439.232652872841,7017.617407658581,6627.487600645599,8378.127011839257,7909.168660626848,7460.827770845432,7040.656657186262,6651.194031315804,8393.105657734954,7927.45926727425,7481.462969039757,7062.775664181195,6674.067661435516,8407.320351932198,7944.885487376372,7501.202450406195,7084.023822975254,6696.138549062673
8,2020-04-09,9316.430610338008,8781.232595093843,8285.324942036092,7834.337431879455,7428.1477672148585,9350.441833173887,8817.850946935569,8320.849331983996,7865.845898564156,7453.457999619778,9382.015518577144,8852.896457965113,8356.21847902453,7898.991973580426,7482.428568386995,9411.278679253346,8886.109785122659,8390.668706491513,7932.438822837528,7513.117243171848,9438.419270371316,8917.4465392185,8423.836690653035,7965.450736457481,7544.38801974677,9463.636986813595,8946.963475203256,8455.571336402603,7997.626911449931,7575.56685801502,9487.122835302273,8974.762465690534,8485.835784997062,8028.758625433912,7606.253500538209,9509.051433884744,9000.962324876473,8514.654496775996,8058.749463511829,7636.214221886862,9529.579003850271,9025.684595791943,8542.083912868206,8087.569302488656,7665.318562920305,9548.843855170959,9049.046540533891,8568.195908005828,8115.227081494624,7693.500934453516,9566.967879380496,9071.157913075824,8593.06838745743,8141.754371035535,7720.736761578573,9584.058356875801,9092.119730696342,8616.779966194086,8167.195319051828,7747.0273762322795,9600.209762439008,9112.024091991529,8639.407020322386,8191.6004485089115,7772.3903034458735,9615.505434104447,9130.954525410847,8661.022132156568,8215.02282450195,7796.8529434759685,9630.019057913141,9148.986586463252,8681.693357444474,8237.515700715418,7820.448430603903
9,2020-04-10,10542.699994693663,9987.517845482904,9466.717074927581,8988.197179232366,8553.333170080243,10577.230648820021,10025.165742354018,9503.654960104557,9021.29057100962,8580.156390426273,10609.281067803648,10061.186520089728,9540.418764545233,9056.091283668748,8610.848364514544,10638.981305088053,10095.314998601263,9576.215263131242,9091.194643298457,8643.348459045243,10666.523110946615,10127.507005522486,9610.668068939949,9125.828597034431,8676.45226051656,10692.109980527295,10157.822208983476,9643.621585611223,9159.573399230467,8709.445940261972,10715.936438210048,10186.366474245031,9675.038923579843,9192.211227179052,8741.906321020962,10738.180246947672,10213.262899956842,9704.946802801409,9223.64220700882,8773.586919520289,10759.000394187375,10238.637226673702,9733.40502811147,9253.835995140524,8804.350733311167,10778.537605146772,10262.610654690083,9760.48928950674,9282.803144106643,8834.129461203749,10796.915874768943,10285.296549582701,9786.281400852082,9310.5778372323,8862.898178638841,10814.244315463045,10306.799199632136,9810.863786168507,9337.207334492536,8890.659309839852,10830.619000218727,10327.213645988058,9834.316432251942,9362.74546960855,8917.432330248992,10846.124664782155,10346.626055240615,9856.715288696041,9387.248637888093,8943.247075314437,10860.836221211863,10365.114345012784,9878.131520640896,9410.77333792367,8968.139359693736
