,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2020-04-01,113000624.35896109,113000722.63116015,113000797.2566006,113000854.86111379,113000900.15282138,113000615.96816182,113000715.4620612,113000791.51437503,113000850.51794045,113000897.09900264,113000608.10135907,113000708.52645637,113000785.73787278,113000845.90756285,113000893.57804574,113000600.74300978,113000701.88538677,113000780.05375585,113000841.21173243,113000889.8182935,113000593.85998444,113000695.55806215,113000774.526717,113000836.53347954,113000885.95515323,113000587.41374396,113000689.54294156,113000769.18786253,113000831.93158297,113000882.07078055,113000581.36573137,113000683.82835385,113000764.04963149,113000827.43905514,113000878.21559575,113000575.6796697,113000678.3980144,113000759.11396952,113000823.07351436,113000874.4205132,113000570.32241422,113000673.23393704,113000754.37695171,113000818.84322143,113000870.70416647,113000565.26412776,113000668.3179717,113000749.8314594,113000814.75069821,113000867.07731593,113000560.47814791,113000663.63259788,113000745.46875477,113000810.79494865,113000863.54561023,113000555.94072613,113000659.16130911,113000741.27941413,113000806.97284763,113000860.11135514,113000551.63072693,113000654.8887713,113000737.25388038,113000803.28002124,113000856.77466774,113000547.52932884,113000650.80085659,113000733.3827853,113000799.71141016,113000853.53424066,113000543.6197462,113000646.88461034,113000729.65713131,113000796.26163138,113000850.38785432
1,2020-04-02,112999693.0971112,112999883.18344979,113000036.7945289,113000161.18823132,113000262.72369722,112999677.89286861,112999869.2018426,113000024.94414556,113000151.82120954,113000255.90349497,112999663.70879383,112999855.73699547,113000013.06872487,113000141.90821871,113000248.05791205,112999650.50290403,112999842.90013382,113000001.42769933,113000131.8434264,113000239.70131227,112999638.20343107,112999830.72049922,112999990.15041317,113000121.84819396,113000231.13750136,112999626.7309279,112999819.18747927,112999979.2962312,113000112.04699437,113000222.54960443,112999616.00777596,112999808.27164711,112999968.8860448,113000102.50814347,113000214.04892848,112999605.9620269,112999797.93555562,112999958.9194517,113000093.26662807,113000205.70276496,112999596.52864903,112999788.13933858,112999949.38440804,113000084.33735815,113000197.55081223,112999587.64959408,112999778.8435942,112999940.26276827,113000075.72308001,113000189.61518136,112999579.27335355,112999770.01081459,112999931.53350647,113000067.41920868,113000181.90665089,112999571.35432473,112999761.60602795,112999923.17459701,113000059.41682954,113000174.4286609,112999563.85213837,112999753.59701337,112999915.16410439,113000051.70458572,113000167.1799084,112999556.73101687,112999745.95428802,112999907.4807997,113000044.2698729,113000160.15605727,112999549.95919138,112999738.65097696,112999900.10449149,113000037.09959674,113000153.3508772
2,2020-04-03,112998633.77091517,112998896.89185415,112999119.03632876,112999305.4369651,112999462.04713649,112998613.75518271,112998877.5342408,112999101.94058025,112999291.46306053,112999451.58913657,112998595.13569447,112998858.94606471,112999084.85372622,112999276.70722179,112999439.57939003,112998577.8461967,112998841.27385946,112999068.14765216,112999261.75953068,112999426.81151053,112998561.78302,112998824.55046488,112999052.00447692,112999246.94902113,112999413.75275803,112998546.83414571,112998808.75423038,112999036.50480275,112999232.45867084,112999400.6833335,112998532.89147128,112998793.83839853,112999021.67386769,112999218.38710633,112999387.77225478,112998519.85558726,112998779.74605066,112999007.50662138,112999204.78314961,112999375.12055945,112998507.63716781,112998766.41776781,112998993.98174326,112999191.66583113,112999362.78681673,112998496.15685199,112998753.79550333,112998981.06963569,112999179.0363038,112999350.80265331,112998485.34449528,112998741.82444456,112998968.73703158,112999166.88508892,112999339.18244082,112998475.13820592,112998730.45379692,112998956.9496533,112999155.19655412,112999327.92946576,112998465.4833591,112998719.63699245,112998945.67372829,112999143.95171052,112999317.03992537,112998456.33167373,112998709.33159736,112998934.87682533,112999133.12996922,112999306.50554964,112998447.64038388,112998699.49907087,112998924.52828412,112999122.71024278,112999296.3153387
3,2020-04-04,112997500.54709235,112997820.65336743,112998099.69560164,112998340.25996386,112998547.02491297,112997477.15859999,112997797.20126486,112998078.33613971,112998322.34069076,112998533.31650513,112997455.4385505,112997774.72385351,112998057.02680036,112998303.44910343,112998517.59441817,112997435.30169618,112997753.39249487,112998036.22988345,112998284.34360662,112998500.90365446,112997416.62040305,112997733.24075168,112998016.16882448,112998265.44481848,112998483.85794881,112997399.25856231,112997714.23678888,112997996.9397975,112998246.98467948,112998466.8238527,112997383.08572713,112997696.31915411,112997978.56998047,112998229.08646627,112998450.02115013,112997367.98248519,112997679.41486846,112997961.04912741,112998211.8095495,112998433.58005938,112997353.8418999,112997663.44862084,112997944.34715353,112998195.17527878,112998417.57500063,112997340.56922206,112997648.34735566,112997928.42411336,112998179.18235582,112998402.04512623,112997328.08089682,112997634.04242875,112997913.23591596,112998163.81615475,112998387.00711086,112997316.30334571,112997620.47047003,112997898.73759416,112998149.0544591,112998372.4632806,112997305.17174317,112997607.57356238,112997884.88514493,112998134.87102744,112998358.40686338,112997294.62888245,112997595.29906893,112997871.6365249,112998121.23781817,112998344.82542299,112997284.6241645,112997583.59929116,112997858.95214352,112998108.12637275,112998331.70312528
4,2020-04-05,112996323.7415885,112996688.17804386,112997013.69109674,112997300.33551614,112997551.25731146,112996297.9971585,112996661.65414228,112996988.9514279,112997279.14598773,112997534.754227,112996274.11397603,112996636.26458803,112996964.30178984,112997256.83330795,112997515.84573218,112996251.99288262,112996612.19840205,112996940.27557115,112997234.29566662,112997495.79414843,112996231.48899232,112996589.4887612,112996917.12807451,112997212.02916619,112997475.3393774,112996212.44897185,112996568.09538293,112996894.96688853,112997190.30560754,112997454.92191693,112996194.72646245,112996547.94511929,112996873.81986417,112997169.26788837,112997434.8046434,112996178.18784745,112996528.95239627,112996853.67187552,112997148.98332801,112997415.14220542,112996162.71371189,112996511.02954045,112996834.48523925,112997129.47446676,112997396.02197662,112996148.19842242,112996494.09188427,112996816.21125925,112997110.73732354,112997377.48893425,112996134.54895362,112996478.06012599,112996798.79680781,112997092.75243825,112997359.56113884,112996121.68348457,112996462.8612373,112996782.18806566,112997075.49164763,112997342.23955597,112996109.53000383,112996448.42860855,112996766.33260734,112997058.9222804,112997325.5143864,112996098.02502368,112996434.70180658,112996751.18051222,112997043.00976144,112997309.36919539,112996087.11243826,112996421.62614997,112996736.68489861,112997027.71922058,112997293.78362866
5,2020-04-06,112995114.45416804,112995514.28412175,112995878.25174621,112996204.21242434,112996493.82520592,112995087.0101779,112995485.41149485,112995850.81224863,112996180.31593482,112996474.93840264,112995061.56670235,112995457.79693338,112995823.49771053,112996155.17500976,112996453.31521012,112995038.0145213,112995431.64266194,112995796.89801815,112996129.80364992,112996430.40396978,112995016.19628173,112995406.98128267,112995771.29352652,112996104.76018979,112996407.05230097,112994995.9462075,112995383.76581542,112995746.80053121,112996080.34902914,112996383.76357523,112994977.10644694,112995361.91397442,112995723.4470457,112996056.72887391,112996360.83708027,112994959.53312479,112995341.33039877,112995701.21372081,112996033.97320469,112996338.44790457,112994943.0978145,112995321.91783835,112995680.05652916,112996012.10516681,112996316.69406834,112994927.68702266,112995303.58264877,112995659.9195568,112995991.11822346,112996295.62513687,112994913.20088457,112995286.23730212,112995640.7422699,112995970.98862353,112996275.2600059,112994899.5516269,112995269.8013244,112995622.46362463,112995951.6830343,112996255.59817122,112994886.66204882,112995254.2014117,112995605.02434249,112995933.16325285,112996236.62697947,112994874.46412656,112995239.37113215,112995588.3681086,112995915.38911957,112996218.32634811,112994862.89777724,112995225.25043565,112995572.44213443,112995898.3203088,112996200.67186219
6,2020-04-07,112993882.95841466,112994311.07102014,112994706.87261882,112995066.29315025,112995389.612953,112993854.30688392,112994280.41240735,112994677.28722776,112995040.17095262,112995368.71122031,112993827.75516888,112994251.10686073,112994647.8562671,112995012.70673844,112995344.79534018,112993803.1868515,112994223.36649768,112994619.21437718,112994985.00978921,112995319.47130933,112993780.4356755,112994197.22334062,112994591.66160685,112994957.68945523,112995293.67785914,112993759.32698417,112994172.62519158,112994565.32094753,112994931.07670105,112995267.97137399,112993739.6947259,112994149.48271175,112994540.22033547,112994905.3429703,112995242.68169488,112993721.38770756,112994127.69301227,112994516.33688512,112994880.56655905,112995218.00092992,112993704.27107519,112994107.15149117,112994493.62137446,112994856.77088276,112995194.03583983,112993688.2257299,112994087.75762156,112994472.01202565,112994833.94710344,112995170.83962423,112993673.14693002,112994069.41757464,112994451.44231336,112994812.06776959,112995148.43166329,112993658.94265808,112994052.04517783,112994431.84536503,112994791.09515116,112995126.8100133,112993645.53201334,112994035.56200698,112994413.15638442,112994770.98637283,112995105.95943564,112993632.84373835,112994019.89704455,112994395.31391633,112994751.69657876,112995085.85661434,112993620.81491521,112994004.98613842,112994378.26042987,112994733.18086997,112995066.47357234
7,2020-04-08,112992636.95812653,112993087.62851946,112993509.76601285,112993897.60251084,112994250.1679857,112992607.46741472,112993055.6250938,112993478.48666976,112993869.66274855,112994227.57616788,112992580.14557986,112993025.04667346,112993447.38594119,112993840.30256763,112994201.73852567,112992554.87120357,112992996.11276455,112993417.13371527,112993810.70909144,112994174.39355895,112992531.47184119,112992968.85489345,112993388.04547037,112993781.53323781,112994146.55645691,112992509.7666617,112992943.21688068,112993360.24936347,112993753.1275205,112994118.82798067,112992489.58391131,112992919.1040319,112993333.77315955,112993725.6736283,112994091.56345096,112992470.76730739,112992896.407753,112993308.59108536,112993699.2536392,112994064.96908341,112992453.17752515,112992875.01787573,112993284.6497368,112993673.89105299,112994039.1588019,112992436.6915663,112992854.82866602,112993261.88263914,112993649.57503293,112994014.18869652,112992421.2012962,112992835.74153028,112993240.21848102,112993626.27500273,112993990.0784107,112992406.61174445,112992817.6659884,112993219.58574243,112993603.94955389,112993966.82466653,112992392.83943595,112992800.51974715,112993199.9152333,112993582.55192144,112993944.40994598,112992379.8108631,112992784.2283249,112993181.14140946,112993562.03335232,112993922.8081248,112992367.46113528,112992768.72447155,112993163.20297085,112993542.34516072,112993901.98815532
8,2020-04-09,112991381.10895807,112991849.80008212,112992293.80495666,112992705.82792197,112993083.77477123,112991351.04520354,112991816.78866301,112992261.191064,112992676.40716498,112993059.76989187,112991323.19730335,112991785.25616881,112992228.77516818,112992645.50275303,112993032.326249,112991297.44047314,112991755.42765073,112992197.25489718,112992614.36525092,112993003.29327928,112991273.59808053,112991727.33426899,112992166.95784341,112992583.6793972,112992973.7501143,112991251.48510738,112991700.91686387,112992138.01619074,112992553.81518973,112992944.33456242,112991230.92592792,112991676.07672971,112992110.45753033,112992524.96258534,112992915.42315848,112991211.76080036,112991652.70099781,112992084.25378014,112992497.20666726,112992887.23381288,112991193.84735915,112991630.67532879,112992059.34821284,112992470.5709352,112992859.88633877,112991177.05995217,112991609.89008595,112992035.67062962,112992445.04286388,112992833.43914995,112991161.28813446,112991590.24310431,112992013.14592902,112992420.5892795,112992807.91202602,112991146.43492402,112991571.6406746,112991991.6989135,112992397.16573276,112992783.30049951,112991132.41509137,112991553.99760309,112991971.25691819,112992374.7222528,112992759.58508216,112991119.15359485,112991537.23681085,112991951.75116669,112992353.20688036,112992736.7372461,112991106.58419846,112991521.28872487,112991933.11738056,112992332.56781855,112992714.72332865
9,2020-04-10,112990115.96106797,112990599.2356366,112991061.67635582,112991494.54647194,112991894.72997281,112990085.5001974,112990565.45483857,112991027.99483751,112991463.90487242,112991869.53377791,112990057.2876799,112990533.19390419,112990994.52667971,112991431.72758394,112991840.73643965,112990031.19643392,112990502.68217069,112990961.99171837,112991399.31746769,112991810.28097527,112990007.04694939,112990473.95056634,112990930.72725908,112991367.38713247,112991779.3004267,112989984.65132232,112990446.93769574,112990900.8687294,112991336.32097684,112991748.46381165,112989963.83125357,112990421.54182221,112990872.44360165,112991306.31576099,112991718.16551438,112989944.42460981,112990397.64683789,112990845.42196417,112991277.45903455,112991688.63326587,112989926.28692107,112990375.13523741,112990819.74444562,112991249.77428783,112991659.99180667,112989909.29069702,112990353.89441843,112990795.33787985,112991223.24759577,112991632.30147491,112989893.3238913,112990333.81949964,112990772.124143,112991197.84363697,112991605.58213432,112989878.2881267,112990314.81431404,112990750.0251033,112991173.51545027,112991579.8282878,112989864.09695627,112990296.79145865,112990728.96532217,112991150.21041787,112991555.01876305,112989850.67427328,112990279.67187543,112990708.87344222,112991127.87393416,112991531.1229863,112989837.9529073,112990263.38422036,112990689.68280612,112991106.45163496,112991508.10507376
