Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
2020-04-01,113000137.56506296,113000195.34872156,113000254.701517,113000311.77859204,113000364.72792196,113000133.53456496,113000190.40943784,113000249.58314788,113000307.09219976,113000360.91393802,113000129.87116821,113000185.74811119,113000244.53234689,113000302.18882401,113000356.561804,113000126.54334094,113000181.39059463,113000239.65690467,113000297.26917258,113000351.96754768,113000123.51507625,113000177.333508,113000235.00478186,113000292.44187899,113000347.30346192,113000120.7516465,113000173.56066476,113000230.59275365,113000287.76448792,113000342.67090352,113000118.2216333,113000170.05094483,113000226.42123996,113000283.26546127,113000338.12925091,113000115.89740983,113000166.78209895,113000222.48223218,113000278.95644832,113000333.71243279,113000113.75499727,113000163.7325523,113000218.76362291,113000274.83933613,113000329.43867841,113000111.77369384,113000160.88220398,113000215.25159761,113000270.91039589,113000325.31642807,113000109.93564908,113000158.2127183,113000211.93195443,113000267.16276373,113000321.34799632,113000108.22545502,113000155.707562,113000208.79081975,113000263.5879418,113000317.53188372,113000106.6297806,113000153.35191916,113000205.81501853,113000260.17670982,113000313.86425585,113000105.13705646,113000151.13255243,113000202.99224633,113000256.91967736,113000310.33989933,113000103.73720719,113000149.0376474,113000200.31112793,113000253.80761303,113000306.9528432
2020-04-02,112998886.28401676,112998962.53160976,112999045.37258269,112999129.26470916,112999210.79481123,112998881.19701886,112998955.923441,112999038.14108592,112999122.30649748,112999204.87437864,112998876.5887591,112998949.71129051,112999031.0331495,112999115.05246249,112999198.13903804,112998872.41547014,112998943.92532416,112999024.1984995,112999107.80141692,112999191.05262764,112998868.62859015,112998938.5568555,112999017.70122081,112999100.7128443,112999183.88331604,112998865.18190876,112998933.58066076,112999011.56123336,112999093.86928552,112999176.7871828,112998862.03397626,112998928.96555386,112999005.77566035,112999087.30980997,112999169.85418895,112998859.14857545,112998924.67941284,112999000.3301666,112999081.04862326,112999163.13442777,112998856.49443093,112998920.69150153,112998995.20509021,112999075.08570765,112999156.65358673,112998854.04465693,112998916.97344904,112998990.37878487,112999069.4130383,112999150.4222915,112998851.7761569,112998913.49956113,112998985.8294299,112999064.01827045,112999144.44187094,112998849.66906035,112998910.24680519,112998981.53598441,112999058.88694523,112999138.70797318,112998847.7062266,112998907.19464408,112998977.47865832,112999054.00381047,112999133.21286207,112998845.87282039,112998904.32480936,112998973.63910963,112999049.35360499,112999127.94688717,112998844.1559545,112998901.62106003,112998970.00048903,112999044.92151341,112999122.89942847
2020-04-03,112997617.43483962,112997702.61851537,112997796.89006501,112997894.46138915,112997991.4478175,112997611.84002301,112997695.24241552,112997788.6524605,112997886.35654275,112997984.3955418,112997606.77220121,112997688.31492056,112997780.56702213,112997877.92032972,112997976.38437067,112997602.1828605,112997681.86825033,112997772.80302776,112997869.50100428,112997967.96915527,112997598.01835327,112997675.89141333,112997765.4318003,112997861.28322922,112997959.46956706,112997594.22771598,112997670.35519053,112997758.47437021,112997853.36154069,112997951.07063307,112997590.76528634,112997665.22393158,112997751.92597727,112997845.77973992,112997942.87810218,112997587.59119934,112997660.46113212,112997745.76903099,112997838.55275847,112997934.95006096,112997584.67105184,112997656.0319882,112997739.9800906,112997831.67913036,112997927.31553817,112997581.97528501,112997651.90445657,112997734.53364809,112997825.14825475,112997919.98572734,112997579.478517,112997648.04957506,112997729.40416114,112997818.94468555,112997912.96089351,112997577.15891926,112997644.44142415,112997724.56711207,112997813.0506836,112997906.23469128,112997574.99766782,112997641.0569248,112997719.99951938,112997807.4477344,112997899.79689562,112997572.97847469,112997637.87557243,112997715.6801418,112997802.11744037,112997893.63514137,112997571.08719394,112997634.87915762,112997711.58951126,112997797.04203121,112997887.73603383
2020-04-04,112996321.64193383,112996410.86311884,112996510.91419378,112996615.92318726,112996721.80398625,112996315.853417,112996403.13546468,112996502.16885331,112996607.19873145,112996714.10521449,112996310.61276345,112996395.88272183,112996493.59226654,112996598.1258805,112996705.36733061,112996305.86911568,112996389.1376945,112996485.363379,112996589.07963145,112996696.19754697,112996301.5664469,112996382.88798916,112996477.55688615,112996580.25806762,112996686.94496408,112996297.65162998,112996377.10225286,112996470.19409356,112996571.7619416,112996677.81096533,112996294.07711972,112996371.74253519,112996463.26903044,112996563.63733263,112996668.91005696,112996290.80144332,112996366.77011453,112996456.76223814,112996555.89930235,112996660.30460827,112996287.78883511,112996362.14815296,112996450.64817892,112996548.54536904,112996652.025282,112996285.00858364,112996357.84278688,112996444.89923787,112996541.56333865,112996644.08334455,112996282.43433091,112996353.82344551,112996439.48786445,112996534.93591854,112996636.47823048,112996280.04341924,112996350.06279679,112996434.38767947,112996528.64345399,112996629.20226203,112996277.81631772,112996346.53652447,112996429.57400353,112996522.66554847,112996622.24362661,112996275.73613307,112996343.22304073,112996425.0240606,112996516.98201089,112996615.58826739,112996273.78819871,112996340.10318689,112996420.71700287,112996511.57339261,112996609.22108568
2020-04-05,112995042.20042221,112995138.99005273,112995246.49266557,112995359.07554,112995472.7981363,112995035.90550987,112995130.71317309,112995237.17376457,112995349.778017,112995464.56864956,112995030.19447899,112995122.93652986,112995228.03037652,112995340.10833412,112995455.22957432,112995025.01459675,112995115.69643715,112995219.2533162,112995330.46590306,112995445.43008952,112995020.30706294,112995108.98082818,112995210.92253439,112995321.06169699,112995435.54324077,112995016.01580538,112995102.75722016,112995203.06116906,112995312.00303732,112995425.78407356,112995012.09046286,112995096.98591466,112995195.66330044,112995303.33903226,112995416.27474149,112995008.48698883,112995091.62623759,112995188.70861115,112995295.08576977,112995407.08167896,112995005.16731517,112995086.63939774,112995182.1702668,112995287.24066447,112995398.23745649,112995002.098692,112995081.98967378,112995176.01917714,112995279.79079376,112995389.75394472,112994999.25296463,112995077.64477421,112995170.2262784,112995272.71780834,112995381.63039948,112994996.60589384,112995073.57579601,112995164.76371667,112995266.00084388,112995373.85850348,112994994.13655563,112995069.75700006,112995159.60541452,112995259.6182449,112995366.42554514,112994991.8268276,112995066.16551523,112995154.72729246,112995253.54857215,112995359.31643511,112994989.66095608,112995062.78102762,112995150.10729903,112995247.77117392,112995352.51498798
2020-04-06,112993720.68532564,112993818.67667332,112993928.31766127,112994043.88864218,112994161.37358627,112993714.36143756,112993810.29150082,112993918.81523943,112994034.35038489,112994152.87976436,112993708.62740482,112993802.41624689,112993909.4950979,112994024.4338158,112994143.24398305,112993703.42954324,112993795.08719896,112993900.55151612,112994014.54875973,112994133.13690965,112993698.70819715,112993788.2916426,112993892.06559685,112994004.91138206,112994122.94362582,112993694.4065687,112993781.99623907,112993884.06049846,112993995.63137774,112994112.88582896,112993690.47369622,112993776.1604079,112993876.52978489,112993986.75869203,112994103.08920082,112993686.86504106,112993770.74264461,112993869.4523902,112993978.3094158,112994093.62187006,112993683.54213294,112993765.70340757,112993862.80065621,112993970.28052446,112994084.51702023,112993680.47189309,112993761.00631164,112993856.54467313,112993962.65843636,112994075.78650154,112993677.62589721,112993756.61848412,112993850.65460077,112993955.42404927,112994067.42918567,112993674.97968414,112993752.51051569,112993845.10186857,112993948.5557236,112994059.43617207,112993672.51214644,112993748.65622714,112993839.85974762,112993942.03104563,112994051.79406674,112993670.20500953,112993745.03236471,112993834.90357114,112993935.82785589,112994044.48706046,112993668.0423928,112993741.61828133,112993830.21076092,112993929.92483032,112994037.4982471
2020-04-07,112992402.29278918,112992502.87877199,112992615.54083852,112992734.52246358,112992855.78319691,112992395.83231801,112992494.30432166,112992605.80781135,112992724.73074836,112992847.03977753,112992389.97325747,112992486.25055881,112992596.2614565,112992714.55133303,112992837.12192047,112992384.66102244,112992478.75468686,112992587.10073395,112992704.40491198,112992826.72018738,112992379.83488208,112992471.80380642,112992578.40868974,112992694.51331083,112992816.2309654,112992375.43698235,112992465.36392061,112992570.20902899,112992684.9890366,112992805.88235645,112992371.41539504,112992459.39361577,112992562.49515182,112992675.88326105,112992795.80358416,112992367.7247247,112992453.85052092,112992555.24547933,112992667.21241263,112992786.06461895,112992364.32575245,112992448.6942611,112992548.43168423,112992658.97331008,112992776.69946688,112992361.18474945,112992443.88767911,112992542.02313562,112992651.1519478,112992767.72018848,112992358.27272794,112992439.39720112,112992535.9892755,112992643.728665,112992759.12550184,112992355.56473799,112992435.19278789,112992530.30084713,112992636.68120633,112992750.90614153,112992353.03924742,112992431.24769723,112992524.9304805,112992629.98653036,112992743.04823275,112992350.67761135,112992427.53817378,112992519.85291776,112992623.62186378,112992735.53542851,112992348.46362537,112992424.04312353,112992515.04504028,112992617.56529653,112992728.35026516
2020-04-08,112991085.39373551,112991189.10383023,112991305.00163762,112991427.3416619,112991552.09828554,112991078.7557188,112991180.31958742,112991295.03862858,112991417.31520952,112991543.13564673,112991072.73195374,112991172.0658943,112991285.26488821,112991406.89096041,112991532.96906893,112991067.26715122,112991164.3812858,112991275.88417514,112991396.49962232,112991522.30638035,112991062.29956944,112991157.25297144,112991266.98168038,112991386.36834823,112991511.55386192,112991057.77029055,112991150.64650436,112991258.58187455,112991376.61239383,112991500.9452986,112991053.62637457,112991144.51978463,112991250.67820166,112991367.28422825,112991490.61312802,112991049.82150428,112991138.82967794,112991243.2487549,112991358.4007509,112991480.62905858,112991046.31563848,112991133.53504726,112991236.2646984,112991349.9587809,112991471.02794068,112991043.07432182,112991128.59801143,112991229.69481656,112991341.94404952,112991461.82213551,112991040.06792745,112991123.98432676,112991223.50794855,112991334.33649161,112991453.0103322,112991037.2709437,112991119.6633429,112991217.67424786,112991327.113379,112991444.58303975,112991034.6613444,112991115.60776459,112991212.16578393,112991320.25117226,112991436.5260446,112991032.22004934,112991111.79333787,112991206.95677516,112991313.72660054,112991428.8226008,112991029.93046953,112991108.19852039,112991202.0236182,112991307.51727143,112991421.45481852
2020-04-09,112989778.0271642,112989887.9718196,112990009.70911378,112990137.55512692,112990267.557116,112989770.98785436,112989878.76792717,112989999.33694752,112990127.15337025,112990258.27587281,112989764.59016319,112989870.11147106,112989989.1554818,112990116.3347432,112990247.74552052,112989758.77762604,112989862.04412468,112989979.37727088,112990105.54586443,112990236.69850525,112989753.48654602,112989854.5537747,112989970.09171116,112990095.02259634,112990225.55541414,112989748.65585607,112989847.6054759,112989961.32504372,112990084.88490203,112990214.55843785,112989744.23052326,112989841.15609136,112989953.07117026,112990075.18767104,112990203.84493595,112989740.16229433,112989835.16123448,112989945.30793537,112990065.94889238,112990193.4894318,112989736.40938069,112989829.57846555,112989938.00588416,112990057.16569379,112990183.52829435,112989732.93576911,112989824.36863373,112989931.13300183,112990048.8236585,112990173.9745968,112989729.71045145,112989819.49629815,112989924.6572559,112990040.90231152,112990164.82723655,112989726.70669447,112989814.92970029,112989918.54791732,112990033.37837186,112990156.07661794,112989723.9013911,112989810.64052993,112989912.77619605,112990026.22767688,112990147.70823133,112989721.274504,112989806.6036088,112989907.31549224,112990019.4263069,112990139.70492148,112989718.80859485,112989802.79655555,112989902.14143434,112990012.95122229,112990132.04832724
2020-04-10,112988428.78081065,112988536.2802209,112988656.30972968,112988783.0566429,112988912.48305625,112988421.93848054,112988527.23719038,112988646.05416346,112988772.72652705,112988903.23337227,112988415.7265031,112988518.73756541,112988635.9913987,112988761.98556402,112988892.74107172,112988410.08854093,112988510.82146198,112988626.33131292,112988751.27743375,112988881.73659018,112988404.96148096,112988503.47614957,112988617.16182476,112988740.83619845,112988870.63917288,112988400.28500752,112988496.66655236,112988608.50836894,112988730.78068349,112988859.69005945,112988396.00487342,112988490.34965514,112988600.36443058,112988721.1650463,112988849.02591,112988392.07358442,112988484.48132053,112988592.70766926,112988712.00680208,112988838.72072145,112988388.45005842,112988479.01941752,112988585.50858442,112988703.30277401,112988828.81046103,112988385.09892717,112988473.92512524,112988578.73519953,112988695.03835425,112988819.30789256,112988381.98976566,112988469.16333328,112988572.35557029,112988687.19295412,112988810.21167433,112988379.0963649,112988464.70260273,112988566.3390845,112988679.743232,112988801.51202537,112988376.39608842,112988460.51492634,112988560.65708408,112988672.66500169,112988793.19429256,112988373.86932093,112988456.57540967,112988555.28310777,112988665.93434548,112988785.2412101,112988371.49900284,112988452.8619351,112988550.19292393,112988659.52824338,112988777.63433193
