date,min_n_true,smoothed_phi,smoothed_cases,method
2021-02-01,18519,841.076521043047,10678,GInPipe
2021-02-02,18684,848.540644748558,10537,GInPipe
2021-02-03,18888,857.83632528917,10365,GInPipe
2021-02-04,19137,869.117573880963,10160,GInPipe
2021-02-05,19428,882.347550983378,9928,GInPipe
2021-02-06,19757,897.271124063492,9673,GInPipe
2021-02-07,20113,913.472109930898,9401,GInPipe
2021-02-08,20488,930.477784282989,9115,GInPipe
2021-02-09,20870,947.834778247442,8819,GInPipe
2021-02-10,21251,965.123886933607,8519,GInPipe
2021-02-11,21621,981.945013888606,8226,GInPipe
2021-02-12,21973,997.915118914638,7959,GInPipe
2021-02-13,22298,1012.69255691632,7732,GInPipe
2021-02-14,22591,1026.01460827466,7557,GInPipe
2021-02-15,22849,1037.72812087202,7436,GInPipe
2021-02-16,23071,1047.79944575107,7364,GInPipe
2021-02-17,23258,1056.30001250159,7333,GInPipe
2021-02-18,23414,1063.37279933747,7332,GInPipe
2021-02-19,23542,1069.19030193268,7354,GInPipe
2021-02-20,23646,1073.91574586182,7395,GInPipe
2021-02-21,23729,1077.67692019525,7449,GInPipe
2021-02-22,23792,1080.5576924684,7515,GInPipe
2021-02-23,23837,1082.60762404163,7590,GInPipe
2021-02-24,23865,1083.86623676326,7672,GInPipe
2021-02-25,23877,1084.39584396777,7757,GInPipe
2021-02-26,23875,1084.3155268418,7840,GInPipe
2021-02-27,23864,1083.82880694608,7917,GInPipe
2021-02-28,23851,1083.23884050523,7987,GInPipe
2021-03-01,23845,1082.94739241,8048,GInPipe
2021-03-02,23856,1083.43692724149,8103,GInPipe
2021-03-03,23895,1085.23801097719,8154,GInPipe
2021-03-04,23976,1088.88597202124,8202,GInPipe
2021-03-05,24107,1094.87108440801,8250,GInPipe
2021-03-06,24299,1103.58596594842,8305,GInPipe
2021-03-07,24557,1115.27368271584,8376,GInPipe
2021-03-08,24880,1129.98136569116,8473,GInPipe
2021-03-09,25267,1147.5270107719,8611,GInPipe
2021-03-10,25706,1167.48994718165,8798,GInPipe
2021-03-11,26185,1189.23550255098,9035,GInPipe
2021-03-12,26686,1211.97939487764,9318,GInPipe
2021-03-13,27190,1234.88734279553,9638,GInPipe
2021-03-14,27681,1257.19340253559,9988,GInPipe
2021-03-15,28146,1278.31174087051,10366,GInPipe
2021-03-16,28578,1297.91546108498,10771,GInPipe
2021-03-17,28975,1315.96399028431,11200,GInPipe
2021-03-18,29343,1332.67458174965,11641,GInPipe
2021-03-19,29691,1348.44828069366,12083,GInPipe
2021-03-20,30028,1363.77110952384,12516,GInPipe
2021-03-21,30366,1379.11465325316,12940,GInPipe
2021-03-22,30713,1394.85708352788,13365,GInPipe
2021-03-23,31073,1411.23825770405,13805,GInPipe
2021-03-24,31450,1428.35350872401,14267,GInPipe
2021-03-25,31843,1446.18213412748,14745,GInPipe
2021-03-26,32249,1464.63972760524,15220,GInPipe
2021-03-27,32667,1483.63930365666,15665,GInPipe
2021-03-28,33097,1503.14531515889,16053,GInPipe
2021-03-29,33539,1523.20735156373,16361,GInPipe
2021-03-30,33996,1543.96592005831,16570,GInPipe
2021-03-31,34473,1565.62976012681,16666,GInPipe
2021-04-01,34975,1588.43064905576,16639,GInPipe
2021-04-02,35506,1612.5659187839,16489,GInPipe
2021-04-03,36069,1638.14020884223,16233,GInPipe
2021-04-04,36663,1665.11685017658,15907,GInPipe
2021-04-05,37284,1693.2870381693,15570,GInPipe
2021-04-06,37922,1722.26280643637,15292,GInPipe
2021-04-07,38565,1751.49794999613,15147,GInPipe
2021-04-08,39200,1780.33850745091,15195,GInPipe
2021-04-09,39812,1808.09992834223,15460,GInPipe
2021-04-10,40385,1834.1614407652,15932,GInPipe
2021-04-11,40912,1858.06120503294,16564,GInPipe
2021-04-12,41385,1879.57189240118,17291,GInPipe
2021-04-13,41807,1898.73827818603,18039,GInPipe
2021-04-14,42184,1915.86675402966,18733,GInPipe
2021-04-15,42528,1931.46867676935,19314,GInPipe
2021-04-16,42852,1946.17070337652,19750,GInPipe
2021-04-17,43170,1960.61188406139,20043,GInPipe
2021-04-18,43494,1975.34798104538,20225,GInPipe
2021-04-19,43834,1990.77951909862,20335,GInPipe
2021-04-20,44193,2007.11384441882,20411,GInPipe
2021-04-21,44573,2024.36478003022,20471,GInPipe
2021-04-22,44970,2042.3868884709,20518,GInPipe
2021-04-23,45379,2060.93487077361,20546,GInPipe
2021-04-24,45792,2079.7328202214,20539,GInPipe
2021-04-25,46206,2098.53461619142,20481,GInPipe
2021-04-26,46616,2117.15781631903,20354,GInPipe
2021-04-27,47020,2135.48000264268,20146,GInPipe
2021-04-28,47414,2153.39737109676,19855,GInPipe
2021-04-29,47797,2170.75697883691,19492,GInPipe
2021-04-30,48161,2187.28242126662,19075,GInPipe
2021-05-01,48496,2202.51508476969,18627,GInPipe
2021-05-02,48788,2215.78926625777,18161,GInPipe
2021-05-03,49019,2226.25128828181,17684,GInPipe
2021-05-04,49165,2232.92302715533,17196,GInPipe
2021-05-05,49207,2234.80123533808,16698,GInPipe
2021-05-06,49123,2230.97679101335,16198,GInPipe
2021-05-07,48897,2220.75294232632,15704,GInPipe
2021-05-08,48523,2203.73926116111,15222,GInPipe
2021-05-09,47998,2179.89954376843,14747,GInPipe
2021-05-10,47329,2149.53866516433,14261,GInPipe
2021-05-11,46530,2113.22577321207,13744,GInPipe
2021-05-12,45615,2071.66734552657,13178,GInPipe
2021-05-13,44600,2025.55926363122,12567,GInPipe
2021-05-14,43496,1975.45673067043,11931,GInPipe
2021-05-15,42313,1921.70006442752,11302,GInPipe
2021-05-16,41052,1864.42155089486,10710,GInPipe
2021-05-17,39713,1803.63594102625,10168,GInPipe
2021-05-18,38299,1739.39073829062,9677,GInPipe
2021-05-19,36813,1671.93042522155,9229,GInPipe
2021-05-20,35270,1601.81958676094,8814,GInPipe
2021-05-21,33688,1529.97887235775,8417,GInPipe
2021-05-22,32094,1457.61409948728,8018,GInPipe
2021-05-23,30519,1386.05427120088,7597,GInPipe
2021-05-24,28988,1316.5454927219,7140,GInPipe
2021-05-25,27524,1250.06210198584,6652,GInPipe
2021-05-26,26140,1187.18821661261,6155,GInPipe
2021-05-27,24839,1128.09667107648,5684,GInPipe
2021-05-28,23617,1072.6196265438,5271,GInPipe
2021-05-29,22467,1020.37881400776,4934,GInPipe
2021-05-30,21378,970.931631554379,4672,GInPipe
2021-05-31,20343,923.893332235583,4466,GInPipe
2021-06-01,19354,879.010696138096,4286,GInPipe
2021-06-02,18411,836.181621792191,4104,GInPipe
2021-06-03,17514,795.431167387026,3901,GInPipe
2021-06-04,16665,756.863335341938,3676,GInPipe
2021-06-05,15867,720.608231098066,3443,GInPipe
2021-06-06,15122,686.778123987361,3216,GInPipe
2021-06-07,14432,655.43730464414,3008,GInPipe
2021-06-08,13796,626.583560481918,2820,GInPipe
2021-06-09,13214,600.136204230295,2652,GInPipe
2021-06-10,12681,575.9272134843,2499,GInPipe
2021-06-11,12192,553.696438864763,2356,GInPipe
2021-06-12,11738,533.096251873963,2220,GInPipe
2021-06-13,11311,513.71283370836,2084,GInPipe
2021-06-14,10902,495.109017585297,1944,GInPipe
2021-06-15,10500,476.887204484934,1799,GInPipe
2021-06-16,10101,458.762120495869,1650,GInPipe
2021-06-17,9702,440.625366825145,1505,GInPipe
2021-06-18,9305,422.580808592233,1370,GInPipe
2021-06-19,8916,404.934772174773,1250,GInPipe
2021-06-20,8546,388.137576561096,1148,GInPipe
2021-06-21,8206,372.688873053918,1061,GInPipe
2021-06-22,7905,359.031802079322,986,GInPipe
2021-06-23,7651,347.464291840375,921,GInPipe
2021-06-24,7444,338.088585127798,863,GInPipe
2021-06-25,7284,330.806225967988,813,GInPipe
2021-06-26,7164,325.351948441006,771,GInPipe
2021-06-27,7076,321.351614286715,736,GInPipe
2021-06-28,7010,318.38808503232,709,GInPipe
2021-06-29,6959,316.062550321453,688,GInPipe
2021-06-30,6915,314.043841123695,671,GInPipe
2021-07-01,6872,312.102123821991,658,GInPipe
2021-07-02,6828,310.125598191402,649,GInPipe
2021-07-03,6784,308.120314990088,644,GInPipe
2021-07-04,6742,306.194970681194,643,GInPipe
2021-07-05,6705,304.534628395656,647,GInPipe
2021-07-06,6680,303.368963153734,657,GInPipe
2021-07-07,6670,302.94089730867,672,GInPipe
2021-07-08,6682,303.480106779589,694,GInPipe
2021-07-09,6720,305.183482243982,721,GInPipe
2021-07-10,6786,308.20235035947,754,GInPipe
2021-07-11,6884,312.635004839808,794,GInPipe
2021-07-12,7013,318.523088079197,842,GInPipe
2021-07-13,7175,325.85116694508,898,GInPipe
2021-07-14,7366,334.549754556072,962,GInPipe
2021-07-15,7585,344.502485065584,1032,GInPipe
2021-07-16,7829,355.557958464753,1106,GInPipe
2021-07-17,8093,367.546078509503,1181,GInPipe
2021-07-18,8374,380.297803956216,1256,GInPipe
2021-07-19,8668,393.666381851692,1332,GInPipe
2021-07-20,8974,407.547457068251,1408,GInPipe
2021-07-21,9289,421.894963517833,1484,GInPipe
2021-07-22,9616,436.72941363386,1559,GInPipe
2021-07-23,9955,452.135300467948,1632,GInPipe
2021-07-24,10310,468.245270934009,1700,GInPipe
2021-07-25,10684,485.211124934344,1764,GInPipe
2021-07-26,11079,503.165827313135,1825,GInPipe
2021-07-27,11498,522.185873950743,1886,GInPipe
2021-07-28,11940,542.267434474827,1947,GInPipe
2021-07-29,12404,563.329787883338,2009,GInPipe
2021-07-30,12886,585.253624407237,2070,GInPipe
