,Day since vacc (data),Processed VE,Days Err (+/-),VE errorbar (min),VE errorbar (max)
0,22.0,0.4,8.0,0.014000000000000012,0.012999999999999956
1,45.5,0.319,14.5,0.01200000000000001,0.01100000000000001
2,75.5,0.323,14.5,0.014000000000000012,0.014000000000000012
3,105.5,0.313,14.5,0.010000000000000009,0.01100000000000001
4,134.5,0.126,14.5,0.006000000000000005,0.007000000000000006
5,22.0,0.399,8.0,0.136,0.10999999999999999
6,45.5,0.39,14.5,0.11399999999999999,0.09699999999999998
7,75.5,0.252,14.5,0.162,0.134
8,105.5,0.24,14.5,0.126,0.10799999999999998
9,134.5,0.044,14.5,0.044,0.043
10,15.5,0.367,14.5,0.367,0.367
11,45.5,0.3,14.5,0.3,0.3
12,75.5,0.04,14.5,0.04,0.04
13,120.5,0.0,29.5,0.0,0.0
14,15.5,0.552,14.5,0.31700000000000006,0.18499999999999994
15,45.5,0.161,14.5,0.161,0.161
16,75.5,0.098,14.5,0.098,0.098
17,120.5,0.0,29.5,0.0,0.0
